"Date_Analyse";"hypothese";"Etang";"Date_Debut_Orage";"Date_Fin_Orage";"Pluie_Total_BV_mm";"Ruissellement_Reel_Sonde_mm";"Volume_Calcule_INRAE_mm";"Volume_Calcule_CN_mm";"Biais_Global_INRAE_mm";"Biais_Global_CN_mm";"RMSE_INRAE_mm";"RMSE_CN_mm"
"2026-06-15 10:21";"0.20/150/1";"CARRONNIER";2025-10-19;2025-10-30;89,16;5,94;6,91;6,08;0,97;0,14;1,1;1,45
"2026-06-15 10:21";"0.30/150/1";"CARRONNIER";2025-10-19;2025-10-30;89,16;5,94;10,12;6,08;4,18;0,14;1,3;1,45
"2026-06-15 10:21";"0.35/150/1";"CARRONNIER";2025-10-19;2025-10-30;89,16;5,94;11,73;6,08;5,79;0,14;1,41;1,45
"2026-06-15 10:21";"0.40/150/1";"CARRONNIER";2025-10-19;2025-10-30;89,16;5,94;13,33;6,08;7,4;0,14;1,54;1,45
"2026-06-15 10:21";"0.50/150/1";"CARRONNIER";2025-10-19;2025-10-30;89,16;5,94;18,4;6,08;12,46;0,14;1,98;1,45
"2026-06-15 10:21";"0.20/175/1";"CARRONNIER";2025-10-19;2025-10-30;89,16;5,94;6,45;6,08;0,51;0,14;1,07;1,45
"2026-06-15 10:21";"0.30/175/1";"CARRONNIER";2025-10-19;2025-10-30;89,16;5,94;9,43;6,08;3,5;0,14;1,25;1,45
"2026-06-15 10:21";"0.35/175/1";"CARRONNIER";2025-10-19;2025-10-30;89,16;5,94;10,93;6,08;4,99;0,14;1,36;1,45
"2026-06-15 10:21";"0.40/175/1";"CARRONNIER";2025-10-19;2025-10-30;89,16;5,94;12,42;6,08;6,48;0,14;1,47;1,45
"2026-06-15 10:21";"0.50/175/1";"CARRONNIER";2025-10-19;2025-10-30;89,16;5,94;15,4;6,08;9,47;0,14;1,72;1,45
"2026-06-15 10:21";"0.20/200/1";"CARRONNIER";2025-10-19;2025-10-30;89,16;5,94;6,04;6,08;0,1;0,14;1,05;1,45
"2026-06-15 10:21";"0.30/200/1";"CARRONNIER";2025-10-19;2025-10-30;89,16;5,94;8,82;6,08;2,88;0,14;1,21;1,45
"2026-06-15 10:21";"0.35/200/1";"CARRONNIER";2025-10-19;2025-10-30;89,16;5,94;10,21;6,08;4,27;0,14;1,31;1,45
"2026-06-15 10:21";"0.40/200/1";"CARRONNIER";2025-10-19;2025-10-30;89,16;5,94;11,6;6,08;5,66;0,14;1,41;1,45
"2026-06-15 10:21";"0.50/200/1";"CARRONNIER";2025-10-19;2025-10-30;89,16;5,94;14,38;6,08;8,44;0,14;1,63;1,45
"2026-06-15 10:21";"0.20/225/1";"CARRONNIER";2025-10-19;2025-10-30;89,16;5,94;5,68;6,08;-0,26;0,14;1,04;1,45
"2026-06-15 10:21";"0.30/225/1";"CARRONNIER";2025-10-19;2025-10-30;89,16;5,94;8,27;6,08;2,34;0,14;1,18;1,45
"2026-06-15 10:21";"0.35/225/1";"CARRONNIER";2025-10-19;2025-10-30;89,16;5,94;9,57;6,08;3,64;0,14;1,26;1,45
"2026-06-15 10:21";"0.40/225/1";"CARRONNIER";2025-10-19;2025-10-30;89,16;5,94;10,87;6,08;4,93;0,14;1,35;1,45
"2026-06-15 10:21";"0.50/225/1";"CARRONNIER";2025-10-19;2025-10-30;89,16;5,94;13,47;6,08;7,53;0,14;1,56;1,45
"2026-06-15 10:21";"0.20/250/1";"CARRONNIER";2025-10-19;2025-10-30;89,16;5,94;5,35;6,08;-0,59;0,14;1,03;1,45
"2026-06-15 10:21";"0.30/250/1";"CARRONNIER";2025-10-19;2025-10-30;89,16;5,94;7,79;6,08;1,85;0,14;1,15;1,45
"2026-06-15 10:21";"0.35/250/1";"CARRONNIER";2025-10-19;2025-10-30;89,16;5,94;9;6,08;3,07;0,14;1,22;1,45
"2026-06-15 10:22";"0.40/250/1";"CARRONNIER";2025-10-19;2025-10-30;89,16;5,94;10,22;6,08;4,28;0,14;1,31;1,45
"2026-06-15 10:22";"0.50/250/1";"CARRONNIER";2025-10-19;2025-10-30;89,16;5,94;12,66;6,08;6,72;0,14;1,49;1,45
"2026-06-15 10:22";"0.20/150/2";"CARRONNIER";2025-10-19;2025-10-30;89,16;5,94;5,54;6,08;-0,4;0,14;1,02;1,45
