"Date_Analyse";"hypothese";"Etang";"Date_Debut_Orage";"Date_Fin_Orage";"Pluie_Total_BV_mm";"Ruissellement_Reel_Sonde_mm";"Volume_Calcule_INRAE_mm";"Volume_Calcule_CN_mm";"Biais_Global_INRAE_mm";"Biais_Global_CN_mm";"RMSE_INRAE_mm";"RMSE_CN_mm"
"2026-06-15 10:18";"0.20/150/1";"CORVEYZIEUX";2024-10-06;2024-10-09;79,6;39,07;7,05;28,55;-32,02;-10,52;15,39;7,32
"2026-06-15 10:18";"0.30/150/1";"CORVEYZIEUX";2024-10-06;2024-10-09;79,6;39,07;15,42;28,55;-23,64;-10,52;13,71;7,32
"2026-06-15 10:18";"0.35/150/1";"CORVEYZIEUX";2024-10-06;2024-10-09;79,6;39,07;21,14;28,55;-17,93;-10,52;11,86;7,32
"2026-06-15 10:18";"0.40/150/1";"CORVEYZIEUX";2024-10-06;2024-10-09;79,6;39,07;29,22;28,55;-9,85;-10,52;10,84;7,32
"2026-06-15 10:18";"0.50/150/1";"CORVEYZIEUX";2024-10-06;2024-10-09;79,6;39,07;46,53;28,55;7,46;-10,52;10,83;7,32
"2026-06-15 10:18";"0.20/175/1";"CORVEYZIEUX";2024-10-06;2024-10-09;79,6;39,07;6,36;28,55;-32,71;-10,52;15,47;7,32
"2026-06-15 10:18";"0.30/175/1";"CORVEYZIEUX";2024-10-06;2024-10-09;79,6;39,07;12,09;28,55;-26,98;-10,52;14,8;7,32
"2026-06-15 10:18";"0.35/175/1";"CORVEYZIEUX";2024-10-06;2024-10-09;79,6;39,07;17,25;28,55;-21,82;-10,52;13,07;7,32
"2026-06-15 10:18";"0.40/175/1";"CORVEYZIEUX";2024-10-06;2024-10-09;79,6;39,07;22,68;28,55;-16,39;-10,52;11,44;7,32
"2026-06-15 10:18";"0.50/175/1";"CORVEYZIEUX";2024-10-06;2024-10-09;79,6;39,07;38,25;28,55;-0,82;-10,52;10,45;7,32
"2026-06-15 10:18";"0.20/200/1";"CORVEYZIEUX";2024-10-06;2024-10-09;79,6;39,07;5,79;28,55;-33,28;-10,52;15,53;7,32
