"Date_Analyse";"hypothese";"Etang";"Date_Debut_Orage";"Date_Fin_Orage";"Pluie_Total_BV_mm";"Ruissellement_Reel_Sonde_mm";"Volume_Calcule_INRAE_mm";"Volume_Calcule_CN_mm";"Biais_Global_INRAE_mm";"Biais_Global_CN_mm";"RMSE_INRAE_mm";"RMSE_CN_mm"
"2026-06-15 10:07";"0.20/150/1";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;6,58;14,82;-19,4;-11,16;4,41;4,84
"2026-06-15 10:07";"0.30/150/1";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;9,87;14,82;-16,11;-11,16;4,19;4,84
"2026-06-15 10:07";"0.35/150/1";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;11,51;14,82;-14,46;-11,16;4,12;4,84
"2026-06-15 10:07";"0.40/150/1";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;13,16;14,82;-12,82;-11,16;4,09;4,84
"2026-06-15 10:07";"0.50/150/1";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;16,45;14,82;-9,53;-11,16;4,1;4,84
"2026-06-15 10:07";"0.20/175/1";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;7,07;14,82;-18,91;-11,16;4,42;4,84
"2026-06-15 10:07";"0.30/175/1";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;10,6;14,82;-15,38;-11,16;4,23;4,84
"2026-06-15 10:07";"0.35/175/1";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;12,37;14,82;-13,61;-11,16;4,18;4,84
"2026-06-15 10:07";"0.40/175/1";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;14,13;14,82;-11,84;-11,16;4,17;4,84
"2026-06-15 10:07";"0.50/175/1";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;17,67;14,82;-8,31;-11,16;4,25;4,84
"2026-06-15 10:07";"0.20/200/1";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;7,4;14,82;-18,58;-11,16;4,43;4,84
"2026-06-15 10:07";"0.30/200/1";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;11,09;14,82;-14,88;-11,16;4,26;4,84
"2026-06-15 10:07";"0.35/200/1";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;12,94;14,82;-13,03;-11,16;4,23;4,84
"2026-06-15 10:07";"0.40/200/1";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;14,79;14,82;-11,19;-11,16;4,24;4,84
"2026-06-15 10:07";"0.50/200/1";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;18,49;14,82;-7,49;-11,16;4,36;4,84
"2026-06-15 10:07";"0.20/225/1";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;7,6;14,82;-18,37;-11,16;4,43;4,84
"2026-06-15 10:07";"0.30/225/1";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;11,4;14,82;-14,57;-11,16;4,28;4,84
"2026-06-15 10:07";"0.35/225/1";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;13,3;14,82;-12,67;-11,16;4,27;4,84
"2026-06-15 10:07";"0.40/225/1";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;15,21;14,82;-10,77;-11,16;4,29;4,84
"2026-06-15 10:07";"0.50/225/1";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;19,01;14,82;-6,97;-11,16;4,44;4,84
"2026-06-15 10:07";"0.20/250/1";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;7,72;14,82;-18,26;-11,16;4,44;4,84
"2026-06-15 10:07";"0.30/250/1";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;11,58;14,82;-14,4;-11,16;4,3;4,84
"2026-06-15 10:07";"0.35/250/1";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;13,5;14,82;-12,47;-11,16;4,29;4,84
"2026-06-15 10:07";"0.40/250/1";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;15,43;14,82;-10,54;-11,16;4,32;4,84
"2026-06-15 10:07";"0.50/250/1";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;19,29;14,82;-6,68;-11,16;4,49;4,84
"2026-06-15 10:07";"0.20/150/2";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;5,55;14,82;-20,43;-11,16;4,42;4,84
"2026-06-15 10:07";"0.30/150/2";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;8,32;14,82;-17,66;-11,16;4,15;4,84
"2026-06-15 10:07";"0.35/150/2";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;9,71;14,82;-16,27;-11,16;4,04;4,84
"2026-06-15 10:07";"0.40/150/2";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;11,09;14,82;-14,88;-11,16;3,96;4,84
"2026-06-15 10:07";"0.50/150/2";"GRAND ETANG LA ROUE";2025-04-12;2025-04-19;91,58;25,98;13,87;14,82;-12,11;-11,16;3,85;4,84
