"Date_Analyse";"hypothese";"Etang";"Date_Debut_Orage";"Date_Fin_Orage";"Pluie_Total_BV_mm";"Ruissellement_Reel_Sonde_mm";"Volume_Calcule_INRAE_mm";"Volume_Calcule_CN_mm";"Biais_Global_INRAE_mm";"Biais_Global_CN_mm";"RMSE_INRAE_mm";"RMSE_CN_mm"
"2026-06-15 10:02";"0.20/150/1";"REMONDET NORD";2025-11-22;2025-11-29;27,31;8,83;3,66;0;-5,18;-8,83;1,38;1,32
"2026-06-15 10:02";"0.30/150/1";"REMONDET NORD";2025-11-22;2025-11-29;27,31;8,83;5,49;0;-3,35;-8,83;1,55;1,32
"2026-06-15 10:02";"0.35/150/1";"REMONDET NORD";2025-11-22;2025-11-29;27,31;8,83;6,4;0;-2,43;-8,83;1,66;1,32
"2026-06-15 10:02";"0.40/150/1";"REMONDET NORD";2025-11-22;2025-11-29;27,31;8,83;7,31;0;-1,52;-8,83;1,78;1,32
"2026-06-15 10:02";"0.50/150/1";"REMONDET NORD";2025-11-22;2025-11-29;27,31;8,83;9,14;0;0,31;-8,83;2,04;1,32
"2026-06-15 10:02";"0.20/175/1";"REMONDET NORD";2025-11-22;2025-11-29;27,31;8,83;3,45;0;-5,38;-8,83;1,37;1,32
"2026-06-15 10:02";"0.30/175/1";"REMONDET NORD";2025-11-22;2025-11-29;27,31;8,83;5,18;0;-3,66;-8,83;1,52;1,32
"2026-06-15 10:02";"0.35/175/1";"REMONDET NORD";2025-11-22;2025-11-29;27,31;8,83;6,04;0;-2,79;-8,83;1,61;1,32
"2026-06-15 10:02";"0.40/175/1";"REMONDET NORD";2025-11-22;2025-11-29;27,31;8,83;6,91;0;-1,93;-8,83;1,72;1,32
"2026-06-15 10:02";"0.50/175/1";"REMONDET NORD";2025-11-22;2025-11-29;27,31;8,83;8,63;0;-0,2;-8,83;1,97;1,32
"2026-06-15 10:02";"0.20/200/1";"REMONDET NORD";2025-11-22;2025-11-29;27,31;8,83;3,26;0;-5,57;-8,83;1,36;1,32
"2026-06-15 10:02";"0.30/200/1";"REMONDET NORD";2025-11-22;2025-11-29;27,31;8,83;4,89;0;-3,94;-8,83;1,49;1,32
"2026-06-15 10:02";"0.35/200/1";"REMONDET NORD";2025-11-22;2025-11-29;27,31;8,83;5,71;0;-3,12;-8,83;1,57;1,32
"2026-06-15 10:02";"0.40/200/1";"REMONDET NORD";2025-11-22;2025-11-29;27,31;8,83;6,53;0;-2,31;-8,83;1,67;1,32
"2026-06-15 10:02";"0.50/200/1";"REMONDET NORD";2025-11-22;2025-11-29;27,31;8,83;8,16;0;-0,68;-8,83;1,9;1,32
"2026-06-15 10:02";"0.20/225/1";"REMONDET NORD";2025-11-22;2025-11-29;27,31;8,83;3,09;0;-5,75;-8,83;1,35;1,32
"2026-06-15 10:02";"0.30/225/1";"REMONDET NORD";2025-11-22;2025-11-29;27,31;8,83;4,63;0;-4,2;-8,83;1,46;1,32
"2026-06-15 10:02";"0.35/225/1";"REMONDET NORD";2025-11-22;2025-11-29;27,31;8,83;5,4;0;-3,43;-8,83;1,54;1,32
"2026-06-15 10:02";"0.40/225/1";"REMONDET NORD";2025-11-22;2025-11-29;27,31;8,83;6,18;0;-2,66;-8,83;1,63;1,32
"2026-06-15 10:02";"0.50/225/1";"REMONDET NORD";2025-11-22;2025-11-29;27,31;8,83;7,72;0;-1,12;-8,83;1,83;1,32
"2026-06-15 10:02";"0.20/250/1";"REMONDET NORD";2025-11-22;2025-11-29;27,31;8,83;2,93;0;-5,91;-8,83;1,34;1,32
"2026-06-15 10:02";"0.30/250/1";"REMONDET NORD";2025-11-22;2025-11-29;27,31;8,83;4,39;0;-4,44;-8,83;1,44;1,32
"2026-06-15 10:02";"0.35/250/1";"REMONDET NORD";2025-11-22;2025-11-29;27,31;8,83;5,12;0;-3,71;-8,83;1,51;1,32
