"Date_Analyse";"hypothese";"Etang";"Date_Debut_Orage";"Date_Fin_Orage";"Pluie_Total_BV_mm";"Ruissellement_Reel_Sonde_mm";"Volume_Calcule_INRAE_mm";"Volume_Calcule_CN_mm";"Biais_Global_INRAE_mm";"Biais_Global_CN_mm";"RMSE_INRAE_mm";"RMSE_CN_mm"
"2026-06-15 10:08";"0.20/150/1";"ROUE RONZUEL";2025-04-14;2025-04-19;89,29;20,3;6,46;20,35;-13,84;0,04;4,22;6,94
"2026-06-15 10:08";"0.30/150/1";"ROUE RONZUEL";2025-04-14;2025-04-19;89,29;20,3;9,69;20,35;-10,61;0,04;4,22;6,94
"2026-06-15 10:08";"0.35/150/1";"ROUE RONZUEL";2025-04-14;2025-04-19;89,29;20,3;11,31;20,35;-8,99;0,04;4,28;6,94
"2026-06-15 10:08";"0.40/150/1";"ROUE RONZUEL";2025-04-14;2025-04-19;89,29;20,3;12,93;20,35;-7,38;0,04;4,37;6,94
"2026-06-15 10:08";"0.50/150/1";"ROUE RONZUEL";2025-04-14;2025-04-19;89,29;20,3;16,16;20,35;-4,15;0,04;4,66;6,94
"2026-06-15 10:08";"0.20/175/1";"ROUE RONZUEL";2025-04-14;2025-04-19;89,29;20,3;6,93;20,35;-13,38;0,04;4,26;6,94
"2026-06-15 10:08";"0.30/175/1";"ROUE RONZUEL";2025-04-14;2025-04-19;89,29;20,3;10,39;20,35;-9,91;0,04;4,31;6,94
"2026-06-15 10:08";"0.35/175/1";"ROUE RONZUEL";2025-04-14;2025-04-19;89,29;20,3;12,12;20,35;-8,18;0,04;4,39;6,94
"2026-06-15 10:08";"0.40/175/1";"ROUE RONZUEL";2025-04-14;2025-04-19;89,29;20,3;13,85;20,35;-6,45;0,04;4,52;6,94
"2026-06-15 10:08";"0.50/175/1";"ROUE RONZUEL";2025-04-14;2025-04-19;89,29;20,3;17,32;20,35;-2,99;0,04;4,89;6,94
"2026-06-15 10:08";"0.20/200/1";"ROUE RONZUEL";2025-04-14;2025-04-19;89,29;20,3;7,24;20,35;-13,06;0,04;4,28;6,94
"2026-06-15 10:08";"0.30/200/1";"ROUE RONZUEL";2025-04-14;2025-04-19;89,29;20,3;10,86;20,35;-9,44;0,04;4,37;6,94
"2026-06-15 10:08";"0.35/200/1";"ROUE RONZUEL";2025-04-14;2025-04-19;89,29;20,3;12,67;20,35;-7,63;0,04;4,48;6,94
"2026-06-15 10:08";"0.40/200/1";"ROUE RONZUEL";2025-04-14;2025-04-19;89,29;20,3;14,48;20,35;-5,82;0,04;4,64;6,94
"2026-06-15 10:08";"0.50/200/1";"ROUE RONZUEL";2025-04-14;2025-04-19;89,29;20,3;18,1;20,35;-2,2;0,04;5,06;6,94
"2026-06-15 10:08";"0.20/225/1";"ROUE RONZUEL";2025-04-14;2025-04-19;89,29;20,3;7,44;20,35;-12,87;0,04;4,3;6,94
