"hypothese";"RMSE_Moyen_Global";"Nombre_Apparitions_Top_12"
"0.20/200/4";3,9;5
"0.50/225/5";4;5
"0.50/150/4";4,2;5
"0.20/150/5";3,8;4
"0.20/175/4";3,8;4
"0.20/175/5";3,8;4
"0.20/225/4";3,9;4
"0.30/200/5";3,9;4
"0.35/200/5";3,9;4
"0.40/200/5";3,9;4
"0.50/200/5";3,9;4
"0.20/150/3";3,8;3
"0.20/150/4";3,8;3
"0.30/175/4";3,8;3
"0.35/175/5";3,8;3
"0.20/200/5";3,9;3
"0.20/225/5";3,9;3
"0.20/250/3";3,9;3
"0.20/250/4";3,9;3
"0.20/250/5";3,9;3
"0.35/200/4";3,9;3
"0.40/150/4";3,9;3
"0.50/225/4";4;3
"0.50/150/3";4,2;3
"0.50/150/5";4,2;3
"0.20/150/2";3,8;2
"0.20/175/3";3,8;2
"0.30/150/3";3,8;2
"0.30/175/5";3,8;2
"0.30/200/4";3,8;2
"0.20/200/3";3,9;2
"0.20/225/3";3,9;2
"0.30/225/4";3,9;2
"0.35/150/4";3,9;2
"0.35/225/4";3,9;2
"0.35/225/5";3,9;2
"0.40/150/5";3,9;2
"0.40/175/5";3,9;2
"0.40/200/4";3,9;2
"0.40/225/4";3,9;2
"0.40/225/5";3,9;2
"0.40/150/3";4;2
"0.50/175/5";4;2
"0.50/175/3";4,1;2
"0.40/150/1";4,3;2
"0.50/250/1";4,4;2
"0.50/175/1";4,5;2
"0.50/200/1";4,5;2
"0.50/225/1";4,5;2
"0.50/150/1";4,6;2
"0.30/150/5";3,8;1
"0.30/175/3";3,8;1
"0.35/175/4";3,8;1
"0.20/200/1";3,9;1
"0.20/200/2";3,9;1
"0.20/225/1";3,9;1
"0.20/225/2";3,9;1
"0.20/250/1";3,9;1
"0.20/250/2";3,9;1
"0.30/150/2";3,9;1
"0.30/175/2";3,9;1
"0.30/200/2";3,9;1
"0.30/225/3";3,9;1
"0.30/250/3";3,9;1
"0.30/250/4";3,9;1
"0.35/150/3";3,9;1
"0.35/150/5";3,9;1
"0.35/175/3";3,9;1
"0.35/200/2";3,9;1
"0.35/200/3";3,9;1
"0.35/250/3";3,9;1
"0.35/250/4";3,9;1
"0.40/175/3";3,9;1
"0.40/175/4";3,9;1
"0.40/200/3";3,9;1
"0.35/175/2";4;1
"0.40/250/3";4;1
"0.40/250/4";4;1
"0.50/175/4";4;1
"0.50/200/3";4;1
"0.50/200/4";4;1
"0.50/250/4";4;1
"0.50/250/5";4;1
"0.40/150/2";4,1;1
"0.35/150/1";4,2;1
"0.35/175/1";4,2;1
"0.40/250/1";4,2;1
"0.40/175/1";4,3;1
"0.40/200/1";4,3;1
"0.40/225/1";4,3;1
"0.50/150/2";4,5;1
