Annee_Gestion;Scenario;Etang;Nb_Jours_Total;Jours_Rempli_Plus_80;Jours_Moins_15_Pourcent;Volume_Ruissele_m3;Volume_Evapore_m3;Volume_Sortant_m3;Taux_Renouvellement;CR_Annuel_Global;Nb_Jours_Avec_Sonde;RMSE_Volume_m3;Nb_Orages_Valides;CR_Terrain_Moyen;CR_Modele_Moyen;Biais_CR
2010-2011;L0.05_Pant10_CN_base_20260519;BIETONNAY;365;83;103;33578;24758;148720;0.31;11.3;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant10_CN_base_20260519;BIETONNAY;366;0;81;30769;46184;40263;0.28;9.3;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant10_CN_base_20260519;BIETONNAY;365;151;16;54923;86893;192341;0.5;13.8;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant10_CN_base_20260519;BIETONNAY;365;56;264;73742;34849;215366;0.67;18.9;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant10_CN_base_20260519;BIETONNAY;365;0;161;62051;-33109;79988;0.56;21.7;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant10_CN_base_20260519;BIETONNAY;366;100;47;53860;66456;80128;0.49;14.7;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant10_CN_base_20260519;BIETONNAY;365;27;98;21290;2584;122552;0.19;8.3;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant10_CN_base_20260519;BIETONNAY;365;0;124;32032;10476;33905;0.29;10.4;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant10_CN_base_20260519;BIETONNAY;365;0;320;41065;12031;99250;0.37;14.2;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant10_CN_base_20260519;BIETONNAY;366;0;168;41900;-31011;40147;0.38;15.1;0;NA;0;NA;NA;NA
2020-2021;L0.05_Pant10_CN_base_20260519;BIETONNAY;365;114;53;90544;93615;173332;0.82;21.5;0;NA;0;NA;NA;NA
2021-2022;L0.05_Pant10_CN_base_20260519;BIETONNAY;365;84;130;27331;18606;154172;0.25;10.5;0;NA;0;NA;NA;NA
2022-2023;L0.05_Pant10_CN_base_20260519;BIETONNAY;365;0;148;22898;6488;47469;0.21;8.2;0;NA;0;NA;NA;NA
2023-2024;L0.05_Pant10_CN_base_20260519;BIETONNAY;366;36;285;121588;77216;278549;1.11;27.2;0;NA;0;NA;NA;NA
2024-2025;L0.05_Pant10_CN_base_20260519;BIETONNAY;365;0;148;60797;-9645;53302;0.55;17.6;0;NA;0;NA;NA;NA
2010-2011;L0.05_Pant10_CN_base_20260519;CARRONNIER;365;85;171;15379;7383;73148;0.26;8;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant10_CN_base_20260519;CARRONNIER;366;24;39;13598;14020;21096;0.23;6.3;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant10_CN_base_20260519;CARRONNIER;365;105;24;25677;26432;87579;0.44;9.9;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant10_CN_base_20260519;CARRONNIER;365;44;277;29665;10815;108260;0.51;11.7;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant10_CN_base_20260519;CARRONNIER;365;0;137;26905;-11372;38208;0.46;14.5;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant10_CN_base_20260519;CARRONNIER;366;111;70;26133;18476;45427;0.45;11;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant10_CN_base_20260519;CARRONNIER;365;83;275;9371;-897;66790;0.16;5.6;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant10_CN_base_20260519;CARRONNIER;365;6;124;14866;3171;9178;0.25;7.5;0;NA;0;NA;NA;NA
2018-2019;L0.05_Pant10_CN_base_20260519;CARRONNIER;365;0;279;15796;1063;64737;0.27;8.4;0;NA;0;NA;NA;NA
2019-2020;L0.05_Pant10_CN_base_20260519;CARRONNIER;366;0;176;16971;-9709;24200;0.29;9.4;0;NA;0;NA;NA;NA
2020-2021;L0.05_Pant10_CN_base_20260519;CARRONNIER;365;114;51;47938;28441;72784;0.82;17.6;0;NA;0;NA;NA;NA
2021-2022;L0.05_Pant10_CN_base_20260519;CARRONNIER;365;85;34;12310;-10496;72273;0.21;7.3;51;11036;0;NA;NA;NA
2022-2023;L0.05_Pant10_CN_base_20260519;CARRONNIER;365;0;213;10224;7528;39176;0.18;5.6;365;9348;8;17.7;2.1;-15.7
2023-2024;L0.05_Pant10_CN_base_20260519;CARRONNIER;366;307;49;51130;30331;98184;0.88;17.6;366;12411;22;32.8;15.6;-17.2
2024-2025;L0.05_Pant10_CN_base_20260519;CARRONNIER;365;99;43;23682;9835;75039;0.41;10.6;365;21133;11;32.4;7.4;-25
2010-2011;L0.05_Pant10_CN_base_20260519;CHANTEMERLE;365;0;365;18992;1116;15774;0.55;11.5;0;NA;0;NA;NA;NA
2011-2012;L0.05_Pant10_CN_base_20260519;CHANTEMERLE;366;0;171;14591;12373;17868;0.42;7.9;0;NA;0;NA;NA;NA
2012-2013;L0.05_Pant10_CN_base_20260519;CHANTEMERLE;365;46;38;26707;23440;46164;0.77;12;0;NA;0;NA;NA;NA
2013-2014;L0.05_Pant10_CN_base_20260519;CHANTEMERLE;365;52;245;29733;13734;60881;0.86;13.7;0;NA;0;NA;NA;NA
2014-2015;L0.05_Pant10_CN_base_20260519;CHANTEMERLE;365;0;225;26825;-3669;23156;0.77;16.8;0;NA;0;NA;NA;NA
2015-2016;L0.05_Pant10_CN_base_20260519;CHANTEMERLE;366;86;27;26795;17663;20018;0.77;13.1;0;NA;0;NA;NA;NA
2016-2017;L0.05_Pant10_CN_base_20260519;CHANTEMERLE;365;63;239;9982;6795;39236;0.29;7;0;NA;0;NA;NA;NA
2017-2018;L0.05_Pant10_CN_base_20260519;CHANTEMERLE;365;0;349;19069;6351;27401;0.55;11.2;0;NA;0;NA;NA;NA
