"Date_Analyse";"hypothese";"Etang";"Date_Debut_Orage";"Date_Fin_Orage";"Pluie_Total_BV_m3";"Ruissellement_Reel_Sonde_m3";"Volume_Calcule_INRAE_m3";"Volume_Calcule_CN_m3";"Biais_Global_INRAE";"Biais_Global_CN";"RMSE_INRAE_m3";"RMSE_CN_m3"
"2026-06-11 16:05";"0.2/150/1";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;559;0;114;-444;102;107
"2026-06-11 16:06";"0.3/150/1";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;838;0;394;-444;151;107
"2026-06-11 16:07";"0.35/150/1";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;977;0;533;-444;180;107
"2026-06-11 16:09";"0.4/150/1";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;1117;0;673;-444;209;107
"2026-06-11 16:10";"0.5/150/1";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;1396;0;952;-444;271;107
"2026-06-11 16:12";"0.2/175/1";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;514;0;69;-444;98;107
"2026-06-11 16:13";"0.3/175/1";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;770;0;326;-444;140;107
"2026-06-11 16:15";"0.35/175/1";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;899;0;455;-444;165;107
"2026-06-11 16:16";"0.4/175/1";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;1027;0;583;-444;192;107
"2026-06-11 16:17";"0.5/175/1";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;1284;0;840;-444;248;107
"2026-06-11 16:19";"0.2/200/1";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;474;0;29;-444;94;107
"2026-06-11 16:20";"0.3/200/1";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;710;0;266;-444;130;107
"2026-06-11 16:22";"0.35/200/1";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;829;0;385;-444;152;107
"2026-06-11 16:23";"0.4/200/1";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;947;0;503;-444;176;107
"2026-06-11 16:25";"0.5/200/1";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;1184;0;740;-444;227;107
"2026-06-11 16:26";"0.2/225/1";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;439;0;-6;-444;91;107
"2026-06-11 16:28";"0.3/225/1";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;658;0;214;-444;121;107
"2026-06-11 16:29";"0.35/225/1";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;767;0;323;-444;141;107
"2026-06-11 16:31";"0.4/225/1";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;877;0;433;-444;163;107
"2026-06-11 16:32";"0.5/225/1";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;1096;0;652;-444;209;107
"2026-06-11 16:33";"0.2/250/1";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;408;0;-36;-444;89;107
"2026-06-11 16:35";"0.3/250/1";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;612;0;167;-444;114;107
"2026-06-11 16:36";"0.35/250/1";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;714;0;269;-444;132;107
"2026-06-11 16:38";"0.4/250/1";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;816;0;371;-444;151;107
"2026-06-11 16:39";"0.5/250/1";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;1019;0;575;-444;193;107
"2026-06-11 16:40";"0.2/150/2";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;292;0;-153;-444;72;107
"2026-06-11 16:42";"0.3/150/2";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;437;0;-7;-444;73;107
"2026-06-11 16:43";"0.35/150/2";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;510;0;66;-444;79;107
"2026-06-11 16:44";"0.4/150/2";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;583;0;139;-444;88;107
"2026-06-11 16:46";"0.5/150/2";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;729;0;285;-444;111;107
"2026-06-11 16:47";"0.2/175/2";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;231;0;-213;-444;76;107
"2026-06-11 16:49";"0.3/175/2";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;346;0;-98;-444;71;107
"2026-06-11 16:50";"0.35/175/2";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;404;0;-40;-444;72;107
"2026-06-11 16:52";"0.4/175/2";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;462;0;18;-444;75;107
"2026-06-11 16:53";"0.5/175/2";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;577;0;133;-444;88;107
"2026-06-11 16:54";"0.2/200/2";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;186;0;-258;-444;81;107
"2026-06-11 16:56";"0.3/200/2";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;279;0;-165;-444;73;107
"2026-06-11 16:57";"0.35/200/2";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;325;0;-119;-444;72;107
"2026-06-11 16:58";"0.4/200/2";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;372;0;-72;-444;71;107
"2026-06-11 17:00";"0.5/200/2";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;465;0;21;-444;76;107
"2026-06-11 17:01";"0.2/225/2";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;152;0;-292;-444;85;107
"2026-06-11 17:03";"0.3/225/2";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;228;0;-216;-444;77;107
"2026-06-11 17:04";"0.35/225/2";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;266;0;-178;-444;74;107
"2026-06-11 17:05";"0.4/225/2";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;304;0;-140;-444;72;107
"2026-06-11 17:07";"0.5/225/2";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;380;0;-64;-444;72;107
"2026-06-11 17:08";"0.2/250/2";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;126;0;-318;-444;88;107
"2026-06-11 17:10";"0.3/250/2";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;190;0;-255;-444;80;107
"2026-06-11 17:11";"0.35/250/2";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;221;0;-223;-444;77;107
"2026-06-11 17:12";"0.4/250/2";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;253;0;-191;-444;75;107
"2026-06-11 17:14";"0.5/250/2";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;316;0;-128;-444;72;107
"2026-06-11 17:15";"0.2/150/3";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;151;0;-293;-444;81;107
"2026-06-11 17:17";"0.3/150/3";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;227;0;-217;-444;70;107
"2026-06-11 17:18";"0.35/150/3";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;265;0;-179;-444;66;107
"2026-06-11 17:19";"0.4/150/3";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;303;0;-141;-444;62;107
"2026-06-11 17:21";"0.5/150/3";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;379;0;-66;-444;59;107
"2026-06-11 17:22";"0.2/175/3";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;101;0;-343;-444;89;107
"2026-06-11 17:24";"0.3/175/3";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;152;0;-292;-444;81;107
"2026-06-11 17:25";"0.35/175/3";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;177;0;-267;-444;77;107
"2026-06-11 17:26";"0.4/175/3";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;202;0;-242;-444;73;107
"2026-06-11 17:28";"0.5/175/3";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;253;0;-191;-444;67;107
"2026-06-11 17:29";"0.2/200/3";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;70;0;-374;-444;94;107
"2026-06-11 17:31";"0.3/200/3";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;105;0;-339;-444;88;107
"2026-06-11 17:32";"0.35/200/3";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;123;0;-321;-444;85;107
"2026-06-11 17:33";"0.4/200/3";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;140;0;-304;-444;82;107
"2026-06-11 17:35";"0.5/200/3";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;175;0;-269;-444;77;107
"2026-06-11 17:36";"0.2/225/3";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;50;0;-394;-444;98;107
"2026-06-11 17:37";"0.3/225/3";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;76;0;-369;-444;93;107
"2026-06-11 17:39";"0.35/225/3";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;88;0;-356;-444;91;107
"2026-06-11 17:40";"0.4/225/3";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;101;0;-344;-444;89;107
"2026-06-11 17:42";"0.5/225/3";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;126;0;-318;-444;85;107
"2026-06-11 17:43";"0.2/250/3";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;37;0;-407;-444;100;107
"2026-06-11 17:45";"0.3/250/3";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;56;0;-388;-444;97;107
"2026-06-11 17:46";"0.35/250/3";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;65;0;-379;-444;95;107
"2026-06-11 17:47";"0.4/250/3";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;74;0;-370;-444;94;107
"2026-06-11 17:49";"0.5/250/3";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;93;0;-351;-444;90;107
"2026-06-11 17:50";"0.2/150/4";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;78;0;-366;-444;92;107
"2026-06-11 17:52";"0.3/150/4";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;117;0;-327;-444;84;107
"2026-06-11 17:53";"0.35/150/4";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;136;0;-308;-444;81;107
"2026-06-11 17:54";"0.4/150/4";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;156;0;-288;-444;77;107
"2026-06-11 17:56";"0.5/150/4";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;195;0;-250;-444;70;107
"2026-06-11 17:57";"0.2/175/4";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;44;0;-401;-444;99;107
"2026-06-11 17:58";"0.3/175/4";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;66;0;-379;-444;94;107
"2026-06-11 18:00";"0.35/175/4";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;77;0;-368;-444;92;107
"2026-06-11 18:01";"0.4/175/4";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;88;0;-357;-444;90;107
"2026-06-11 18:03";"0.5/175/4";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;109;0;-335;-444;86;107
"2026-06-11 18:04";"0.2/200/4";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;26;0;-418;-444;102;107
"2026-06-11 18:05";"0.3/200/4";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;39;0;-405;-444;99;107
"2026-06-11 18:07";"0.35/200/4";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;46;0;-398;-444;98;107
"2026-06-11 18:08";"0.4/200/4";"ROUE RONZUEL";2025-09-20;2025-09-25;11115;444;52;0;-392;-444;97;107
