NOM;jour de vidange ;Exutoire_1
LES RAGES;2;CARRONNIER
QUEUE1;1;FOUR
QUEUE2;1;FOUR
FRENE;4;PETIT ETANG LA ROUE
GRAND RONZUEL;22;FRENE
PLAT;17;POLLET
LECHERE DU FRAYET;7;CORVEYZIEUX
GRAND ETANG LA ROUE;10;CORVEYZIEUX
REMONDET NORD;18;REMONDET SUD
LIGNIERE;24;REMONDET SUD
CORVEYZIEUX;15;LIGNIERE
PETIT ETANG LA ROUE;4;CORVEYZIEUX
REMONDET SUD;24;PARADIS
POLLET;18;VIEUX
PETIT RONZUEL;14;GRAND RONZUEL
PARADIS;10;SALE
FOUR;12;PLAT
VIEUX BURLAT;3;GRAND RONZUEL
VIEUX;6;PARADIS
NEUF DE BURLAT;3;VIEUX BURLAT
CARRONNIER;6;FOUR
SALE;14;OUTPUT
RIOUX;7;TRIPOUX
LECHERE;4;FOUR
TRIPOUX;8;SALE
BIETONNAY;18;TRIPOUX
GRANGES;3;BIETONNAY
ONDONNIERE;12;TRIPOUX
LONGEVAVRE;7;ONDONNIERE
CHANTEMERLE;5;LONGEVAVRE
ROUE RONZUEL;8;PETIT ETANG LA ROUE
