"Evenement";"Etang";"Date_Debut_Orage";"hypothese";"RMSE"
"CARRONNIER (2024-10-06)";"CARRONNIER";"2024-10-06";"0.50/150/1";8,05
"CARRONNIER (2024-10-06)";"CARRONNIER";"2024-10-06";"0.50/175/1";8,63
"CARRONNIER (2024-10-06)";"CARRONNIER";"2024-10-06";"0.50/200/1";9,14
"CARRONNIER (2024-10-06)";"CARRONNIER";"2024-10-06";"0.50/150/3";9,33
"CARRONNIER (2024-10-06)";"CARRONNIER";"2024-10-06";"0.50/225/1";9,39
"CARRONNIER (2024-10-06)";"CARRONNIER";"2024-10-06";"0.50/150/2";9,4
"CARRONNIER (2024-10-06)";"CARRONNIER";"2024-10-06";"0.50/150/4";9,48
"CARRONNIER (2024-10-06)";"CARRONNIER";"2024-10-06";"0.40/150/1";9,51
"CARRONNIER (2024-10-06)";"CARRONNIER";"2024-10-06";"0.50/250/1";9,56
"CARRONNIER (2024-10-06)";"CARRONNIER";"2024-10-06";"0.50/150/5";9,7
"CARRONNIER (2024-10-06)";"CARRONNIER";"2024-10-06";"0.40/150/3";9,73
"CARRONNIER (2024-10-06)";"CARRONNIER";"2024-10-06";"0.40/150/2";9,74
"CARRONNIER (2024-10-15)";"CARRONNIER";"2024-10-15";"0.30/200/5";6,57
"CARRONNIER (2024-10-15)";"CARRONNIER";"2024-10-15";"0.35/200/5";6,57
"CARRONNIER (2024-10-15)";"CARRONNIER";"2024-10-15";"0.40/225/5";6,57
"CARRONNIER (2024-10-15)";"CARRONNIER";"2024-10-15";"0.50/225/5";6,57
"CARRONNIER (2024-10-15)";"CARRONNIER";"2024-10-15";"0.35/225/4";6,58
"CARRONNIER (2024-10-15)";"CARRONNIER";"2024-10-15";"0.40/225/4";6,58
"CARRONNIER (2024-10-15)";"CARRONNIER";"2024-10-15";"0.50/250/4";6,58
"CARRONNIER (2024-10-15)";"CARRONNIER";"2024-10-15";"0.20/175/5";6,58
"CARRONNIER (2024-10-15)";"CARRONNIER";"2024-10-15";"0.40/200/5";6,58
"CARRONNIER (2024-10-15)";"CARRONNIER";"2024-10-15";"0.35/225/5";6,58
"CARRONNIER (2024-10-15)";"CARRONNIER";"2024-10-15";"0.20/200/4";6,59
"CARRONNIER (2024-10-15)";"CARRONNIER";"2024-10-15";"0.30/200/4";6,59
"CARRONNIER (2025-09-20)";"CARRONNIER";"2025-09-20";"0.20/250/3";0,19
"CARRONNIER (2025-09-20)";"CARRONNIER";"2025-09-20";"0.20/175/4";0,19
"CARRONNIER (2025-09-20)";"CARRONNIER";"2025-09-20";"0.20/200/4";0,19
"CARRONNIER (2025-09-20)";"CARRONNIER";"2025-09-20";"0.30/200/4";0,19
"CARRONNIER (2025-09-20)";"CARRONNIER";"2025-09-20";"0.35/200/4";0,19
"CARRONNIER (2025-09-20)";"CARRONNIER";"2025-09-20";"0.20/225/4";0,19
"CARRONNIER (2025-09-20)";"CARRONNIER";"2025-09-20";"0.30/225/4";0,19
"CARRONNIER (2025-09-20)";"CARRONNIER";"2025-09-20";"0.35/225/4";0,19
"CARRONNIER (2025-09-20)";"CARRONNIER";"2025-09-20";"0.40/225/4";0,19
"CARRONNIER (2025-09-20)";"CARRONNIER";"2025-09-20";"0.50/225/4";0,19
"CARRONNIER (2025-09-20)";"CARRONNIER";"2025-09-20";"0.20/250/4";0,19
"CARRONNIER (2025-09-20)";"CARRONNIER";"2025-09-20";"0.30/250/4";0,19
"CARRONNIER (2025-10-19)";"CARRONNIER";"2025-10-19";"0.20/200/4";0,93
"CARRONNIER (2025-10-19)";"CARRONNIER";"2025-10-19";"0.30/225/4";0,93
"CARRONNIER (2025-10-19)";"CARRONNIER";"2025-10-19";"0.35/250/4";0,93
"CARRONNIER (2025-10-19)";"CARRONNIER";"2025-10-19";"0.40/250/4";0,93
"CARRONNIER (2025-10-19)";"CARRONNIER";"2025-10-19";"0.20/175/5";0,93
"CARRONNIER (2025-10-19)";"CARRONNIER";"2025-10-19";"0.20/200/5";0,93
"CARRONNIER (2025-10-19)";"CARRONNIER";"2025-10-19";"0.30/200/5";0,93
"CARRONNIER (2025-10-19)";"CARRONNIER";"2025-10-19";"0.35/200/5";0,93
"CARRONNIER (2025-10-19)";"CARRONNIER";"2025-10-19";"0.35/225/5";0,93
"CARRONNIER (2025-10-19)";"CARRONNIER";"2025-10-19";"0.40/225/5";0,93
"CARRONNIER (2025-10-19)";"CARRONNIER";"2025-10-19";"0.50/225/5";0,93
"CARRONNIER (2025-10-19)";"CARRONNIER";"2025-10-19";"0.20/200/3";0,94
"CORVEYZIEUX (2023-10-18)";"CORVEYZIEUX";"2023-10-18";"0.20/200/3";5,12
"CORVEYZIEUX (2023-10-18)";"CORVEYZIEUX";"2023-10-18";"0.20/225/3";5,12
"CORVEYZIEUX (2023-10-18)";"CORVEYZIEUX";"2023-10-18";"0.30/225/3";5,12
"CORVEYZIEUX (2023-10-18)";"CORVEYZIEUX";"2023-10-18";"0.20/250/3";5,12
"CORVEYZIEUX (2023-10-18)";"CORVEYZIEUX";"2023-10-18";"0.30/250/3";5,12
"CORVEYZIEUX (2023-10-18)";"CORVEYZIEUX";"2023-10-18";"0.35/250/3";5,12
"CORVEYZIEUX (2023-10-18)";"CORVEYZIEUX";"2023-10-18";"0.40/250/3";5,12
"CORVEYZIEUX (2023-10-18)";"CORVEYZIEUX";"2023-10-18";"0.20/150/4";5,12
"CORVEYZIEUX (2023-10-18)";"CORVEYZIEUX";"2023-10-18";"0.20/175/4";5,12
"CORVEYZIEUX (2023-10-18)";"CORVEYZIEUX";"2023-10-18";"0.30/175/4";5,12
"CORVEYZIEUX (2023-10-18)";"CORVEYZIEUX";"2023-10-18";"0.35/175/4";5,12
"CORVEYZIEUX (2023-10-18)";"CORVEYZIEUX";"2023-10-18";"0.40/175/4";5,12
"CORVEYZIEUX (2024-10-06)";"CORVEYZIEUX";"2024-10-06";"0.50/175/1";10,45
"CORVEYZIEUX (2024-10-06)";"CORVEYZIEUX";"2024-10-06";"0.50/200/1";10,65
"CORVEYZIEUX (2024-10-06)";"CORVEYZIEUX";"2024-10-06";"0.50/150/1";10,83
"CORVEYZIEUX (2024-10-06)";"CORVEYZIEUX";"2024-10-06";"0.40/150/1";10,84
"CORVEYZIEUX (2024-10-06)";"CORVEYZIEUX";"2024-10-06";"0.50/225/1";10,95
"CORVEYZIEUX (2024-10-06)";"CORVEYZIEUX";"2024-10-06";"0.50/250/1";11,21
"CORVEYZIEUX (2024-10-06)";"CORVEYZIEUX";"2024-10-06";"0.40/175/1";11,44
"CORVEYZIEUX (2024-10-06)";"CORVEYZIEUX";"2024-10-06";"0.35/150/1";11,86
"CORVEYZIEUX (2024-10-06)";"CORVEYZIEUX";"2024-10-06";"0.40/200/1";12,34
"CORVEYZIEUX (2024-10-06)";"CORVEYZIEUX";"2024-10-06";"0.40/225/1";12,75
"CORVEYZIEUX (2024-10-06)";"CORVEYZIEUX";"2024-10-06";"0.40/250/1";12,99
"CORVEYZIEUX (2024-10-06)";"CORVEYZIEUX";"2024-10-06";"0.35/175/1";13,07
"GRAND ETANG LA ROUE (2025-04-12)";"GRAND ETANG LA ROUE";"2025-04-12";"0.50/150/5";3,39
"GRAND ETANG LA ROUE (2025-04-12)";"GRAND ETANG LA ROUE";"2025-04-12";"0.50/175/5";3,51
"GRAND ETANG LA ROUE (2025-04-12)";"GRAND ETANG LA ROUE";"2025-04-12";"0.50/150/4";3,52
"GRAND ETANG LA ROUE (2025-04-12)";"GRAND ETANG LA ROUE";"2025-04-12";"0.50/200/5";3,61
"GRAND ETANG LA ROUE (2025-04-12)";"GRAND ETANG LA ROUE";"2025-04-12";"0.50/175/4";3,63
"GRAND ETANG LA ROUE (2025-04-12)";"GRAND ETANG LA ROUE";"2025-04-12";"0.40/150/5";3,65
"GRAND ETANG LA ROUE (2025-04-12)";"GRAND ETANG LA ROUE";"2025-04-12";"0.50/150/3";3,67
"GRAND ETANG LA ROUE (2025-04-12)";"GRAND ETANG LA ROUE";"2025-04-12";"0.50/225/5";3,69
"GRAND ETANG LA ROUE (2025-04-12)";"GRAND ETANG LA ROUE";"2025-04-12";"0.50/200/4";3,73
"GRAND ETANG LA ROUE (2025-04-12)";"GRAND ETANG LA ROUE";"2025-04-12";"0.40/175/5";3,75
"GRAND ETANG LA ROUE (2025-04-12)";"GRAND ETANG LA ROUE";"2025-04-12";"0.40/150/4";3,76
"GRAND ETANG LA ROUE (2025-04-12)";"GRAND ETANG LA ROUE";"2025-04-12";"0.50/250/5";3,76
"GRAND ETANG LA ROUE (2025-09-20)";"GRAND ETANG LA ROUE";"2025-09-20";"0.50/150/4";0,21
"GRAND ETANG LA ROUE (2025-09-20)";"GRAND ETANG LA ROUE";"2025-09-20";"0.35/150/4";0,22
"GRAND ETANG LA ROUE (2025-09-20)";"GRAND ETANG LA ROUE";"2025-09-20";"0.40/150/4";0,22
"GRAND ETANG LA ROUE (2025-09-20)";"GRAND ETANG LA ROUE";"2025-09-20";"0.20/150/3";0,23
"GRAND ETANG LA ROUE (2025-09-20)";"GRAND ETANG LA ROUE";"2025-09-20";"0.30/150/3";0,23
"GRAND ETANG LA ROUE (2025-09-20)";"GRAND ETANG LA ROUE";"2025-09-20";"0.30/175/3";0,23
"GRAND ETANG LA ROUE (2025-09-20)";"GRAND ETANG LA ROUE";"2025-09-20";"0.35/175/3";0,23
"GRAND ETANG LA ROUE (2025-09-20)";"GRAND ETANG LA ROUE";"2025-09-20";"0.40/175/3";0,23
"GRAND ETANG LA ROUE (2025-09-20)";"GRAND ETANG LA ROUE";"2025-09-20";"0.50/175/3";0,23
"GRAND ETANG LA ROUE (2025-09-20)";"GRAND ETANG LA ROUE";"2025-09-20";"0.35/200/3";0,23
"GRAND ETANG LA ROUE (2025-09-20)";"GRAND ETANG LA ROUE";"2025-09-20";"0.40/200/3";0,23
"GRAND ETANG LA ROUE (2025-09-20)";"GRAND ETANG LA ROUE";"2025-09-20";"0.50/200/3";0,23
"GRAND ETANG LA ROUE (2025-10-30)";"GRAND ETANG LA ROUE";"2025-10-30";"0.50/200/5";1,5
"GRAND ETANG LA ROUE (2025-10-30)";"GRAND ETANG LA ROUE";"2025-10-30";"0.40/200/5";1,53
"GRAND ETANG LA ROUE (2025-10-30)";"GRAND ETANG LA ROUE";"2025-10-30";"0.30/175/5";1,56
"GRAND ETANG LA ROUE (2025-10-30)";"GRAND ETANG LA ROUE";"2025-10-30";"0.35/175/5";1,6
"GRAND ETANG LA ROUE (2025-10-30)";"GRAND ETANG LA ROUE";"2025-10-30";"0.35/200/5";1,6
"GRAND ETANG LA ROUE (2025-10-30)";"GRAND ETANG LA ROUE";"2025-10-30";"0.50/225/4";1,62
"GRAND ETANG LA ROUE (2025-10-30)";"GRAND ETANG LA ROUE";"2025-10-30";"0.40/200/4";1,63
"GRAND ETANG LA ROUE (2025-10-30)";"GRAND ETANG LA ROUE";"2025-10-30";"0.50/225/5";1,64
"GRAND ETANG LA ROUE (2025-10-30)";"GRAND ETANG LA ROUE";"2025-10-30";"0.35/200/4";1,65
"GRAND ETANG LA ROUE (2025-10-30)";"GRAND ETANG LA ROUE";"2025-10-30";"0.20/150/5";1,67
"GRAND ETANG LA ROUE (2025-10-30)";"GRAND ETANG LA ROUE";"2025-10-30";"0.30/200/5";1,68
"GRAND ETANG LA ROUE (2025-10-30)";"GRAND ETANG LA ROUE";"2025-10-30";"0.30/175/4";1,69
"REMONDET NORD (2025-04-13)";"REMONDET NORD";"2025-04-13";"0.20/150/4";1,52
"REMONDET NORD (2025-04-13)";"REMONDET NORD";"2025-04-13";"0.20/175/5";1,52
"REMONDET NORD (2025-04-13)";"REMONDET NORD";"2025-04-13";"0.20/200/5";1,54
"REMONDET NORD (2025-04-13)";"REMONDET NORD";"2025-04-13";"0.20/175/4";1,55
