NOM;Exutoire_1;Vidange2026;peche2026;Vidange2027;peche2027;Vidange2028;peche2028;Vidange2029;peche2029;Vidange2030;peche2030;Vidange2031;peche2031;Vidange2032;peche2032;Vidange2033;peche2033;Vidange2034;peche2034;Vidange2035;peche2035;Vidange2036;peche2036;Vidange2037;peche2037;Vidange2038;peche2038;Vidange2039;peche2039;Vidange2040;peche2040;Vidange2041;peche2041;Vidange2042;peche2042;Vidange2043;peche2043;Vidange2044;peche2044;Vidange2045;peche2045;Vidange2046;peche2046;Vidange2047;peche2047;Vidange2048;peche2048;Vidange2049;peche2049;Vidange2050;peche2050;Vidange2051;peche2051;Vidange2052;peche2052;Vidange2053;peche2053;Vidange2054;peche2054;Vidange2055;peche2055;Vidange2056;peche2056;Vidange2057;peche2057;Vidange2058;peche2058;Vidange2059;peche2059;Vidange2060;peche2060;Vidange2061;peche2061;Vidange2062;peche2062;Vidange2063;peche2063;Vidange2064;peche2064;Vidange2065;peche2065;Vidange2066;peche2066;Vidange2067;peche2067;Vidange2068;peche2068;Vidange2069;peche2069;Vidange2070;peche2070
LEYE;VAREPPE;2026-12-16;2026-12-19;2027-12-16;2027-12-19;2028-12-16;2028-12-19;2029-12-16;2029-12-19;2030-12-16;2030-12-19;2031-12-16;2031-12-19;2032-12-16;2032-12-19;2033-12-16;2033-12-19;2034-12-16;2034-12-19;2035-12-16;2035-12-19;2036-12-16;2036-12-19;2037-12-16;2037-12-19;2038-12-16;2038-12-19;2039-12-16;2039-12-19;2040-12-16;2040-12-19;2041-12-16;2041-12-19;2042-12-16;2042-12-19;2043-12-16;2043-12-19;2044-12-16;2044-12-19;2045-12-16;2045-12-19;2046-12-16;2046-12-19;2047-12-16;2047-12-19;2048-12-16;2048-12-19;2049-12-16;2049-12-19;2050-12-16;2050-12-19;2051-12-16;2051-12-19;2052-12-16;2052-12-19;2053-12-16;2053-12-19;2054-12-16;2054-12-19;2055-12-16;2055-12-19;2056-12-16;2056-12-19;2057-12-16;2057-12-19;2058-12-16;2058-12-19;2059-12-16;2059-12-19;2060-12-16;2060-12-19;2061-12-16;2061-12-19;2062-12-16;2062-12-19;2063-12-16;2063-12-19;2064-12-16;2064-12-19;2065-12-16;2065-12-19;2066-12-16;2066-12-19;2067-12-16;2067-12-19;2068-12-16;2068-12-19;2069-12-16;2069-12-19;2070-12-16;2070-12-19
ORCET;RIVIERE;2026-10-15;2026-11-06;2027-10-15;2027-11-06;2028-10-15;2028-11-06;2029-10-15;2029-11-06;2030-10-15;2030-11-06;2031-10-15;2031-11-06;2032-10-15;2032-11-06;2033-10-15;2033-11-06;2034-10-15;2034-11-06;2035-10-15;2035-11-06;2036-10-15;2036-11-06;2037-10-15;2037-11-06;2038-10-15;2038-11-06;2039-10-15;2039-11-06;2040-10-15;2040-11-06;2041-10-15;2041-11-06;2042-10-15;2042-11-06;2043-10-15;2043-11-06;2044-10-15;2044-11-06;2045-10-15;2045-11-06;2046-10-15;2046-11-06;2047-10-15;2047-11-06;2048-10-15;2048-11-06;2049-10-15;2049-11-06;2050-10-15;2050-11-06;2051-10-15;2051-11-06;2052-10-15;2052-11-06;2053-10-15;2053-11-06;2054-10-15;2054-11-06;2055-10-15;2055-11-06;2056-10-15;2056-11-06;2057-10-15;2057-11-06;2058-10-15;2058-11-06;2059-10-15;2059-11-06;2060-10-15;2060-11-06;2061-10-15;2061-11-06;2062-10-15;2062-11-06;2063-10-15;2063-11-06;2064-10-15;2064-11-06;2065-10-15;2065-11-06;2066-10-15;2066-11-06;2067-10-15;2067-11-06;2068-10-15;2068-11-06;2069-10-15;2069-11-06;2070-10-15;2070-11-06
LONGE ETANG;PETITES VERNAYS;2027-01-26;2027-02-02;2028-01-26;2028-02-02;2029-01-26;2029-02-02;2030-01-26;2030-02-02;2031-01-26;2031-02-02;2032-01-26;2032-02-02;2033-01-26;2033-02-02;2034-01-26;2034-02-02;2035-01-26;2035-02-02;2036-01-26;2036-02-02;2037-01-26;2037-02-02;2038-01-26;2038-02-02;2039-01-26;2039-02-02;2040-01-26;2040-02-02;2041-01-26;2041-02-02;2042-01-26;2042-02-02;2043-01-26;2043-02-02;2044-01-26;2044-02-02;2045-01-26;2045-02-02;2046-01-26;2046-02-02;2047-01-26;2047-02-02;2048-01-26;2048-02-02;2049-01-26;2049-02-02;2050-01-26;2050-02-02;2051-01-26;2051-02-02;2052-01-26;2052-02-02;2053-01-26;2053-02-02;2054-01-26;2054-02-02;2055-01-26;2055-02-02;2056-01-26;2056-02-02;2057-01-26;2057-02-02;2058-01-26;2058-02-02;2059-01-26;2059-02-02;2060-01-26;2060-02-02;2061-01-26;2061-02-02;2062-01-26;2062-02-02;2063-01-26;2063-02-02;2064-01-26;2064-02-02;2065-01-26;2065-02-02;2066-01-26;2066-02-02;2067-01-26;2067-02-02;2068-01-26;2068-02-02;2069-01-26;2069-02-02;2070-01-26;2070-02-02;2071-01-26;2071-02-02
GRAND PRA;ORCET;2026-11-06;2026-11-12;2027-11-06;2027-11-12;2028-11-06;2028-11-12;2029-11-06;2029-11-12;2030-11-06;2030-11-12;2031-11-06;2031-11-12;2032-11-06;2032-11-12;2033-11-06;2033-11-12;2034-11-06;2034-11-12;2035-11-06;2035-11-12;2036-11-06;2036-11-12;2037-11-06;2037-11-12;2038-11-06;2038-11-12;2039-11-06;2039-11-12;2040-11-06;2040-11-12;2041-11-06;2041-11-12;2042-11-06;2042-11-12;2043-11-06;2043-11-12;2044-11-06;2044-11-12;2045-11-06;2045-11-12;2046-11-06;2046-11-12;2047-11-06;2047-11-12;2048-11-06;2048-11-12;2049-11-06;2049-11-12;2050-11-06;2050-11-12;2051-11-06;2051-11-12;2052-11-06;2052-11-12;2053-11-06;2053-11-12;2054-11-06;2054-11-12;2055-11-06;2055-11-12;2056-11-06;2056-11-12;2057-11-06;2057-11-12;2058-11-06;2058-11-12;2059-11-06;2059-11-12;2060-11-06;2060-11-12;2061-11-06;2061-11-12;2062-11-06;2062-11-12;2063-11-06;2063-11-12;2064-11-06;2064-11-12;2065-11-06;2065-11-12;2066-11-06;2066-11-12;2067-11-06;2067-11-12;2068-11-06;2068-11-12;2069-11-06;2069-11-12;2070-11-06;2070-11-12
GRAND VERNAYES;OSIERS;2026-12-20;2027-01-23;2027-12-20;2028-01-23;2028-12-20;2029-01-23;2029-12-20;2030-01-23;2030-12-20;2031-01-23;2031-12-20;2032-01-23;2032-12-20;2033-01-23;2033-12-20;2034-01-23;2034-12-20;2035-01-23;2035-12-20;2036-01-23;2036-12-20;2037-01-23;2037-12-20;2038-01-23;2038-12-20;2039-01-23;2039-12-20;2040-01-23;2040-12-20;2041-01-23;2041-12-20;2042-01-23;2042-12-20;2043-01-23;2043-12-20;2044-01-23;2044-12-20;2045-01-23;2045-12-20;2046-01-23;2046-12-20;2047-01-23;2047-12-20;2048-01-23;2048-12-20;2049-01-23;2049-12-20;2050-01-23;2050-12-20;2051-01-23;2051-12-20;2052-01-23;2052-12-20;2053-01-23;2053-12-20;2054-01-23;2054-12-20;2055-01-23;2055-12-20;2056-01-23;2056-12-20;2057-01-23;2057-12-20;2058-01-23;2058-12-20;2059-01-23;2059-12-20;2060-01-23;2060-12-20;2061-01-23;2061-12-20;2062-01-23;2062-12-20;2063-01-23;2063-12-20;2064-01-23;2064-12-20;2065-01-23;2065-12-20;2066-01-23;2066-12-20;2067-01-23;2067-12-20;2068-01-23;2068-12-20;2069-01-23;2069-12-20;2070-01-23;2070-12-20;2071-01-23
OSIERS;LECHERE DE LA MONTAGNE SAINTE;2026-12-04;2026-12-20;2027-12-04;2027-12-20;2028-12-04;2028-12-20;2029-12-04;2029-12-20;2030-12-04;2030-12-20;2031-12-04;2031-12-20;2032-12-04;2032-12-20;2033-12-04;2033-12-20;2034-12-04;2034-12-20;2035-12-04;2035-12-20;2036-12-04;2036-12-20;2037-12-04;2037-12-20;2038-12-04;2038-12-20;2039-12-04;2039-12-20;2040-12-04;2040-12-20;2041-12-04;2041-12-20;2042-12-04;2042-12-20;2043-12-04;2043-12-20;2044-12-04;2044-12-20;2045-12-04;2045-12-20;2046-12-04;2046-12-20;2047-12-04;2047-12-20;2048-12-04;2048-12-20;2049-12-04;2049-12-20;2050-12-04;2050-12-20;2051-12-04;2051-12-20;2052-12-04;2052-12-20;2053-12-04;2053-12-20;2054-12-04;2054-12-20;2055-12-04;2055-12-20;2056-12-04;2056-12-20;2057-12-04;2057-12-20;2058-12-04;2058-12-20;2059-12-04;2059-12-20;2060-12-04;2060-12-20;2061-12-04;2061-12-20;2062-12-04;2062-12-20;2063-12-04;2063-12-20;2064-12-04;2064-12-20;2065-12-04;2065-12-20;2066-12-04;2066-12-20;2067-12-04;2067-12-20;2068-12-04;2068-12-20;2069-12-04;2069-12-20;2070-12-04;2070-12-20
GOUILLES;GRAND VERNAYES;2027-01-23;2027-01-31;2028-01-23;2028-01-31;2029-01-23;2029-01-31;2030-01-23;2030-01-31;2031-01-23;2031-01-31;2032-01-23;2032-01-31;2033-01-23;2033-01-31;2034-01-23;2034-01-31;2035-01-23;2035-01-31;2036-01-23;2036-01-31;2037-01-23;2037-01-31;2038-01-23;2038-01-31;2039-01-23;2039-01-31;2040-01-23;2040-01-31;2041-01-23;2041-01-31;2042-01-23;2042-01-31;2043-01-23;2043-01-31;2044-01-23;2044-01-31;2045-01-23;2045-01-31;2046-01-23;2046-01-31;2047-01-23;2047-01-31;2048-01-23;2048-01-31;2049-01-23;2049-01-31;2050-01-23;2050-01-31;2051-01-23;2051-01-31;2052-01-23;2052-01-31;2053-01-23;2053-01-31;2054-01-23;2054-01-31;2055-01-23;2055-01-31;2056-01-23;2056-01-31;2057-01-23;2057-01-31;2058-01-23;2058-01-31;2059-01-23;2059-01-31;2060-01-23;2060-01-31;2061-01-23;2061-01-31;2062-01-23;2062-01-31;2063-01-23;2063-01-31;2064-01-23;2064-01-31;2065-01-23;2065-01-31;2066-01-23;2066-01-31;2067-01-23;2067-01-31;2068-01-23;2068-01-31;2069-01-23;2069-01-31;2070-01-23;2070-01-31;2071-01-23;2071-01-31
PLAT;GRAND PRA;2026-11-12;2026-11-20;2027-11-12;2027-11-20;2028-11-12;2028-11-20;2029-11-12;2029-11-20;2030-11-12;2030-11-20;2031-11-12;2031-11-20;2032-11-12;2032-11-20;2033-11-12;2033-11-20;2034-11-12;2034-11-20;2035-11-12;2035-11-20;2036-11-12;2036-11-20;2037-11-12;2037-11-20;2038-11-12;2038-11-20;2039-11-12;2039-11-20;2040-11-12;2040-11-20;2041-11-12;2041-11-20;2042-11-12;2042-11-20;2043-11-12;2043-11-20;2044-11-12;2044-11-20;2045-11-12;2045-11-20;2046-11-12;2046-11-20;2047-11-12;2047-11-20;2048-11-12;2048-11-20;2049-11-12;2049-11-20;2050-11-12;2050-11-20;2051-11-12;2051-11-20;2052-11-12;2052-11-20;2053-11-12;2053-11-20;2054-11-12;2054-11-20;2055-11-12;2055-11-20;2056-11-12;2056-11-20;2057-11-12;2057-11-20;2058-11-12;2058-11-20;2059-11-12;2059-11-20;2060-11-12;2060-11-20;2061-11-12;2061-11-20;2062-11-12;2062-11-20;2063-11-12;2063-11-20;2064-11-12;2064-11-20;2065-11-12;2065-11-20;2066-11-12;2066-11-20;2067-11-12;2067-11-20;2068-11-12;2068-11-20;2069-11-12;2069-11-20;2070-11-12;2070-11-20
VAREPPE;LECHERE DE LA MONTAGNE SAINTE;2026-12-04;2026-12-16;2027-12-04;2027-12-16;2028-12-04;2028-12-16;2029-12-04;2029-12-16;2030-12-04;2030-12-16;2031-12-04;2031-12-16;2032-12-04;2032-12-16;2033-12-04;2033-12-16;2034-12-04;2034-12-16;2035-12-04;2035-12-16;2036-12-04;2036-12-16;2037-12-04;2037-12-16;2038-12-04;2038-12-16;2039-12-04;2039-12-16;2040-12-04;2040-12-16;2041-12-04;2041-12-16;2042-12-04;2042-12-16;2043-12-04;2043-12-16;2044-12-04;2044-12-16;2045-12-04;2045-12-16;2046-12-04;2046-12-16;2047-12-04;2047-12-16;2048-12-04;2048-12-16;2049-12-04;2049-12-16;2050-12-04;2050-12-16;2051-12-04;2051-12-16;2052-12-04;2052-12-16;2053-12-04;2053-12-16;2054-12-04;2054-12-16;2055-12-04;2055-12-16;2056-12-04;2056-12-16;2057-12-04;2057-12-16;2058-12-04;2058-12-16;2059-12-04;2059-12-16;2060-12-04;2060-12-16;2061-12-04;2061-12-16;2062-12-04;2062-12-16;2063-12-04;2063-12-16;2064-12-04;2064-12-16;2065-12-04;2065-12-16;2066-12-04;2066-12-16;2067-12-04;2067-12-16;2068-12-04;2068-12-16;2069-12-04;2069-12-16;2070-12-04;2070-12-16
BOTTE;FENIERES;2026-11-17;2026-11-25;2027-11-17;2027-11-25;2028-11-17;2028-11-25;2029-11-17;2029-11-25;2030-11-17;2030-11-25;2031-11-17;2031-11-25;2032-11-17;2032-11-25;2033-11-17;2033-11-25;2034-11-17;2034-11-25;2035-11-17;2035-11-25;2036-11-17;2036-11-25;2037-11-17;2037-11-25;2038-11-17;2038-11-25;2039-11-17;2039-11-25;2040-11-17;2040-11-25;2041-11-17;2041-11-25;2042-11-17;2042-11-25;2043-11-17;2043-11-25;2044-11-17;2044-11-25;2045-11-17;2045-11-25;2046-11-17;2046-11-25;2047-11-17;2047-11-25;2048-11-17;2048-11-25;2049-11-17;2049-11-25;2050-11-17;2050-11-25;2051-11-17;2051-11-25;2052-11-17;2052-11-25;2053-11-17;2053-11-25;2054-11-17;2054-11-25;2055-11-17;2055-11-25;2056-11-17;2056-11-25;2057-11-17;2057-11-25;2058-11-17;2058-11-25;2059-11-17;2059-11-25;2060-11-17;2060-11-25;2061-11-17;2061-11-25;2062-11-17;2062-11-25;2063-11-17;2063-11-25;2064-11-17;2064-11-25;2065-11-17;2065-11-25;2066-11-17;2066-11-25;2067-11-17;2067-11-25;2068-11-17;2068-11-25;2069-11-17;2069-11-25;2070-11-17;2070-11-25
