Scenario,Etang,Saison,Nb_Orages_Analyses,Pluie_Moyenne_Orage_mm,CR_Terrain_Moyen,CR_Modele_Moyen,Biais_Moyen_CR
L0.05_Pant10_CN_base_20260519,CARRONNIER,1_Hiver (Sature),17,11.1,32.2,8.5,-23.7
L0.05_Pant10_CN_base_20260519,CARRONNIER,2_Printemps (Maintien),5,15.9,40.2,16.2,-24
L0.05_Pant10_CN_base_20260519,CARRONNIER,3_Ete (Basses Eaux),4,8.8,21.4,0.1,-21.3
L0.05_Pant10_CN_base_20260519,CARRONNIER,4_Automne (Avant Vidange),21,12.5,23.9,12.6,-11.3
L0.05_Pant10_CN_base_20260519,CORVEYZIEUX,1_Hiver (Sature),6,10.7,42.9,7.4,-35.5
L0.05_Pant10_CN_base_20260519,CORVEYZIEUX,2_Printemps (Maintien),1,8.4,13.7,1.6,-12.1
L0.05_Pant10_CN_base_20260519,CORVEYZIEUX,3_Ete (Basses Eaux),2,9,52,1.6,-50.4
L0.05_Pant10_CN_base_20260519,CORVEYZIEUX,4_Automne (Avant Vidange),16,15.1,40.5,10.2,-30.3
L0.05_Pant10_CN_base_20260519,FOUR,1_Hiver (Sature),1,6.2,8.6,5.2,-3.4
L0.05_Pant10_CN_base_20260519,FOUR,2_Printemps (Maintien),2,6.7,4.6,0.6,-4
L0.05_Pant10_CN_base_20260519,FOUR,3_Ete (Basses Eaux),2,7.9,28.6,1.3,-27.3
L0.05_Pant10_CN_base_20260519,FOUR,4_Automne (Avant Vidange),5,10.6,37.1,10,-27.2
L0.05_Pant10_CN_base_20260519,GRAND ETANG LA ROUE,2_Printemps (Maintien),3,23.3,32,17.4,-14.5
L0.05_Pant10_CN_base_20260519,GRAND ETANG LA ROUE,3_Ete (Basses Eaux),3,15.2,39.6,9.7,-29.9
L0.05_Pant10_CN_base_20260519,GRAND ETANG LA ROUE,4_Automne (Avant Vidange),4,12,19,8.3,-10.7
L0.05_Pant10_CN_base_20260519,GRAND RONZUEL,4_Automne (Avant Vidange),1,8.9,1.2,0,-1.2
L0.05_Pant10_CN_base_20260519,LIGNIERE,4_Automne (Avant Vidange),1,8.1,37.3,0,-37.3
L0.05_Pant10_CN_base_20260519,PLAT,1_Hiver (Sature),8,13.8,31.8,10.7,-21.1
L0.05_Pant10_CN_base_20260519,PLAT,2_Printemps (Maintien),5,19.9,29.7,14.2,-15.5
L0.05_Pant10_CN_base_20260519,PLAT,3_Ete (Basses Eaux),3,11.2,36.5,1,-35.5
L0.05_Pant10_CN_base_20260519,PLAT,4_Automne (Avant Vidange),9,20.5,48.9,14.2,-34.7
L0.05_Pant10_CN_base_20260519,POLLET,2_Printemps (Maintien),3,6.5,35.5,3.9,-31.6
L0.05_Pant10_CN_base_20260519,POLLET,4_Automne (Avant Vidange),2,6.7,57.1,0,-57
L0.05_Pant10_CN_base_20260519,REMONDET NORD,1_Hiver (Sature),5,8.7,24.9,8.7,-16.2
L0.05_Pant10_CN_base_20260519,REMONDET NORD,2_Printemps (Maintien),1,5.4,28,6.5,-21.5
L0.05_Pant10_CN_base_20260519,REMONDET NORD,3_Ete (Basses Eaux),4,8.8,10.5,0.2,-10.3
L0.05_Pant10_CN_base_20260519,REMONDET NORD,4_Automne (Avant Vidange),20,15.7,29.4,19.5,-9.9
L0.05_Pant10_CN_base_20260519,ROUE RONZUEL,2_Printemps (Maintien),3,23.8,18.6,25.5,6.8
L0.05_Pant10_CN_base_20260519,ROUE RONZUEL,3_Ete (Basses Eaux),3,15.2,19.9,13.2,-6.7
L0.05_Pant10_CN_base_20260519,ROUE RONZUEL,4_Automne (Avant Vidange),1,5.8,0.8,8.8,8
L0.05_Pant10_CN_modif_20260519,CARRONNIER,1_Hiver (Sature),17,11.1,32.2,12,-20.1
L0.05_Pant10_CN_modif_20260519,CARRONNIER,2_Printemps (Maintien),5,15.9,40.2,21.2,-19
L0.05_Pant10_CN_modif_20260519,CARRONNIER,3_Ete (Basses Eaux),4,8.8,21.4,0.5,-20.9
L0.05_Pant10_CN_modif_20260519,CARRONNIER,4_Automne (Avant Vidange),21,12.5,23.9,16.5,-7.4
L0.05_Pant10_CN_modif_20260519,CORVEYZIEUX,1_Hiver (Sature),6,10.7,42.9,10.9,-32.1
L0.05_Pant10_CN_modif_20260519,CORVEYZIEUX,2_Printemps (Maintien),1,8.4,13.7,3.5,-10.2
L0.05_Pant10_CN_modif_20260519,CORVEYZIEUX,3_Ete (Basses Eaux),2,9,52,2.9,-49.1
L0.05_Pant10_CN_modif_20260519,CORVEYZIEUX,4_Automne (Avant Vidange),16,15.1,40.5,13.8,-26.8
L0.05_Pant10_CN_modif_20260519,FOUR,1_Hiver (Sature),1,6.2,8.6,8.3,-0.3
L0.05_Pant10_CN_modif_20260519,FOUR,2_Printemps (Maintien),2,6.7,4.6,1.4,-3.2
L0.05_Pant10_CN_modif_20260519,FOUR,3_Ete (Basses Eaux),2,7.9,28.6,2.4,-26.2
L0.05_Pant10_CN_modif_20260519,FOUR,4_Automne (Avant Vidange),5,10.6,37.1,13.2,-23.9
L0.05_Pant10_CN_modif_20260519,GRAND ETANG LA ROUE,2_Printemps (Maintien),3,23.3,32,22.6,-9.4
L0.05_Pant10_CN_modif_20260519,GRAND ETANG LA ROUE,3_Ete (Basses Eaux),3,15.2,39.6,12.2,-27.4
L0.05_Pant10_CN_modif_20260519,GRAND ETANG LA ROUE,4_Automne (Avant Vidange),4,12,19,11,-8
L0.05_Pant10_CN_modif_20260519,GRAND RONZUEL,4_Automne (Avant Vidange),1,8.9,1.2,0,-1.1
L0.05_Pant10_CN_modif_20260519,LIGNIERE,4_Automne (Avant Vidange),1,8.1,37.3,0,-37.3
L0.05_Pant10_CN_modif_20260519,PLAT,1_Hiver (Sature),8,13.8,31.8,14.1,-17.7
L0.05_Pant10_CN_modif_20260519,PLAT,2_Printemps (Maintien),5,19.9,29.7,18.6,-11
L0.05_Pant10_CN_modif_20260519,PLAT,3_Ete (Basses Eaux),3,11.2,36.5,2.1,-34.4
L0.05_Pant10_CN_modif_20260519,PLAT,4_Automne (Avant Vidange),9,20.5,48.9,17.8,-31.1
L0.05_Pant10_CN_modif_20260519,POLLET,2_Printemps (Maintien),3,6.5,35.5,6.3,-29.2
L0.05_Pant10_CN_modif_20260519,POLLET,4_Automne (Avant Vidange),2,6.7,57.1,0.4,-56.7
L0.05_Pant10_CN_modif_20260519,REMONDET NORD,1_Hiver (Sature),5,8.7,24.9,13.2,-11.6
L0.05_Pant10_CN_modif_20260519,REMONDET NORD,2_Printemps (Maintien),1,5.4,28,10.9,-17.2
L0.05_Pant10_CN_modif_20260519,REMONDET NORD,3_Ete (Basses Eaux),4,8.8,10.5,0.7,-9.9
L0.05_Pant10_CN_modif_20260519,REMONDET NORD,4_Automne (Avant Vidange),20,15.7,29.4,25.4,-3.9
L0.05_Pant10_CN_modif_20260519,ROUE RONZUEL,2_Printemps (Maintien),3,23.8,18.6,33.6,14.9
L0.05_Pant10_CN_modif_20260519,ROUE RONZUEL,3_Ete (Basses Eaux),3,15.2,19.9,17.3,-2.6
L0.05_Pant10_CN_modif_20260519,ROUE RONZUEL,4_Automne (Avant Vidange),1,5.8,0.8,14.3,13.5
L0.05_Pant5_CN_base_20260519,CARRONNIER,1_Hiver (Sature),17,11.1,32.2,5.9,-26.3
L0.05_Pant5_CN_base_20260519,CARRONNIER,2_Printemps (Maintien),5,15.9,40.2,13.4,-26.8
L0.05_Pant5_CN_base_20260519,CARRONNIER,3_Ete (Basses Eaux),4,8.8,21.4,0.1,-21.3
L0.05_Pant5_CN_base_20260519,CARRONNIER,4_Automne (Avant Vidange),21,12.5,23.9,11.2,-12.7
L0.05_Pant5_CN_base_20260519,CORVEYZIEUX,1_Hiver (Sature),6,10.7,42.9,6.9,-36
L0.05_Pant5_CN_base_20260519,CORVEYZIEUX,2_Printemps (Maintien),1,8.4,13.7,1.6,-12.1
L0.05_Pant5_CN_base_20260519,CORVEYZIEUX,3_Ete (Basses Eaux),2,9,52,0,-52
L0.05_Pant5_CN_base_20260519,CORVEYZIEUX,4_Automne (Avant Vidange),16,15.1,40.5,10,-30.6
L0.05_Pant5_CN_base_20260519,FOUR,1_Hiver (Sature),1,6.2,8.6,0,-8.6
L0.05_Pant5_CN_base_20260519,FOUR,2_Printemps (Maintien),2,6.7,4.6,0.6,-4
L0.05_Pant5_CN_base_20260519,FOUR,3_Ete (Basses Eaux),2,7.9,28.6,0,-28.6
L0.05_Pant5_CN_base_20260519,FOUR,4_Automne (Avant Vidange),5,10.6,37.1,6.1,-31
L0.05_Pant5_CN_base_20260519,GRAND ETANG LA ROUE,2_Printemps (Maintien),3,23.3,32,17.4,-14.5
L0.05_Pant5_CN_base_20260519,GRAND ETANG LA ROUE,3_Ete (Basses Eaux),3,15.2,39.6,9.7,-29.9
L0.05_Pant5_CN_base_20260519,GRAND ETANG LA ROUE,4_Automne (Avant Vidange),4,12,19,8.3,-10.7
L0.05_Pant5_CN_base_20260519,GRAND RONZUEL,4_Automne (Avant Vidange),1,8.9,1.2,0,-1.2
L0.05_Pant5_CN_base_20260519,LIGNIERE,4_Automne (Avant Vidange),1,8.1,37.3,0,-37.3
L0.05_Pant5_CN_base_20260519,PLAT,1_Hiver (Sature),8,13.8,31.8,8.5,-23.3
L0.05_Pant5_CN_base_20260519,PLAT,2_Printemps (Maintien),5,19.9,29.7,10.8,-18.9
L0.05_Pant5_CN_base_20260519,PLAT,3_Ete (Basses Eaux),3,11.2,36.5,0.1,-36.3
L0.05_Pant5_CN_base_20260519,PLAT,4_Automne (Avant Vidange),9,20.5,48.9,12.5,-36.4
L0.05_Pant5_CN_base_20260519,POLLET,2_Printemps (Maintien),3,6.5,35.5,1.9,-33.6
