OBJECTID;CODE_ETANG;NOM;SURFACE_eau;Shape_Leng;Chaine_etu;Position;Exutoire_1;Vidange;Vmax;Profondeur
580;NA;LES RAGES;19310;651.0533498;oui;1;CARRONNIER;-43;NA;0.7
582;NA;QUEUE1;14000;457.976214;oui;1;FOUR;-43;NA;0.7
581;NA;QUEUE2;11300;584.0424037;oui;1;FOUR;-43;NA;0.7
583;NA;FRENE;39100;946.4077652;oui;>3;PETIT ETANG LA ROUE;-12;NA;0.7
695;7429;GRAND RONZUEL;221115.1;2356.835343;oui;3;FRENE;-41;150000;0.8
699;7411;PLAT;167386;2409.566377;oui;>3;POLLET;-12;208391;0.8
589;38137;LECHERE DU FRAYET;74408.8;1163.370877;oui;1;CORVEYZIEUX;-43;NA;0.7
610;7413;GRAND ETANG LA ROUE;102223.3;1657.214463;oui;1;CORVEYZIEUX;-43;86276;0.7
611;38106;REMONDET NORD;175483.2;2412.724866;oui;1;REMONDET SUD;-43;114156;0.6
619;7449;LIGNIERE;240646.7;2377.421199;oui;>3;REMONDET SUD;-12;280000;1
620;7414;CORVEYZIEUX;152401.4;2025.313605;oui;>3;LIGNIERE;-12;215448;1
641;7412;PETIT ETANG LA ROUE;44274.4;1145.432833;oui;>3;CORVEYZIEUX;-12;NA;0.7
672;38129;REMONDET SUD;243877.9;2616.054201;oui;>3;PARADIS;-12;NA;0.7
678;7423;POLLET;180453.2;2006.339687;oui;>3;VIEUX;-12;231108;0.7
716;7447;PETIT RONZUEL;136375;1533.104611;oui;0;GRAND RONZUEL;-36;NA;0.7
728;7418;PARADIS;100834;1608.319581;oui;>3;SALE;-12;NA;0.6
730;7404;FOUR;118767;1735.213005;oui;>3;PLAT;-12;88218;0.8
732;7446;VIEUX BURLAT;32567.9;748.7683794;oui;2;GRAND RONZUEL;-27;NA;0.7
743;7431;VIEUX;62601.8;1064.247962;oui;>3;PARADIS;-12;NA;0.7
757;7426;NEUF DE BURLAT;31323.2;752.4115154;oui;1;VIEUX BURLAT;-43;NA;0.7
762;7409;CARRONNIER;55633.8;1511.554244;oui;2;FOUR;-27;58381;0.8
768;7417;SALE;143645.4;2596.126778;oui;>3;OUTPUT;-12;NA;0.7
775;7445;RIOUX;73410.7;1342.454656;oui;>3;TRIPOUX;-12;NA;0.7
782;7408;LECHERE;36667;1019.402316;oui;1;FOUR;-43;25330;0.8
798;7433;TRIPOUX;83291.6;1654.492349;oui;>3;SALE;-12;NA;0.7
801;7403;BIETONNAY;183124.5;2064.203716;oui;2;TRIPOUX;-27;NA;0.6
826;7407;GRANGES;33804.7;1145.630785;oui;1;BIETONNAY;-43;NA;0.6
844;7425;ONDONNIERE;119890.3;1328.291611;oui;3;TRIPOUX;-41;NA;0.6
853;7416;LONGEVAVRE;66562.8;1031.585852;oui;2;ONDONNIERE;-27;NA;0.7
871;7406;CHANTEMERLE;49493.2;858.6426762;oui;1;LONGEVAVRE;-43;NA;0.7
1279;7459;ROUE RONZUEL;77681.4;1098.001601;oui;>3;PETIT ETANG LA ROUE;-12;41503;0.7
