OBJECTID;NOM;Exutoire_1;Vidange2025;peche2025;Vidange2026;peche2026;Vidange2027;peche2027;Vidange2028;peche2028;Vidange2029;peche2029;Vidange2030;peche2030;Vidange2031;peche2031;Vidange2032;peche2032;Vidange2033;peche2033;Vidange2034;peche2034;Vidange2035;peche2035;Vidange2036;peche2036;Vidange2037;peche2037;Vidange2038;peche2038;Vidange2039;peche2039;Vidange2040;peche2040;Vidange2041;peche2041;Vidange2042;peche2042;Vidange2043;peche2043;Vidange2044;peche2044;Vidange2045;peche2045;Vidange2046;peche2046;Vidange2047;peche2047;Vidange2048;peche2048;Vidange2049;peche2049;Vidange2050;peche2050;Vidange2051;peche2051;Vidange2052;peche2052;Vidange2053;peche2053;Vidange2054;peche2054;Vidange2055;peche2055;Vidange2056;peche2056;Vidange2057;peche2057;Vidange2058;peche2058;Vidange2059;peche2059;Vidange2060;peche2060;Vidange2061;peche2061;Vidange2062;peche2062;Vidange2063;peche2063;Vidange2064;peche2064;Vidange2065;peche2065;Vidange2066;peche2066;Vidange2067;peche2067;Vidange2068;peche2068;Vidange2069;peche2069;Vidange2070;peche2070
620;CORVEYZIEUX;LIGNIERE;2025-12-20;2026-01-05;2026-12-20;2027-01-05;2027-12-20;2028-01-05;2028-12-20;2029-01-05;2029-12-20;2030-01-05;2030-12-27;2031-01-12;2031-12-20;2032-01-05;2032-12-20;2033-01-05;2033-12-20;2034-01-05;2034-12-20;2035-01-05;2035-12-27;2036-01-12;2036-12-20;2037-01-05;2037-12-20;2038-01-05;2038-12-20;2039-01-05;2039-12-20;2040-01-05;2040-12-27;2041-01-12;2041-12-20;2042-01-05;2042-12-20;2043-01-05;2043-12-20;2044-01-05;2044-12-20;2045-01-05;2045-12-27;2046-01-12;2046-12-20;2047-01-05;2047-12-20;2048-01-05;2048-12-20;2049-01-05;2049-12-20;2050-01-05;-Inf;-Inf;2051-12-20;2052-01-05;2052-12-20;2053-01-05;2053-12-20;2054-01-05;2054-12-20;2055-01-05;2055-12-27;2056-01-12;2056-12-20;2057-01-05;2057-12-20;2058-01-05;2058-12-20;2059-01-05;2059-12-20;2060-01-05;2060-12-27;2061-01-12;2061-12-20;2062-01-05;2062-12-20;2063-01-05;2063-12-20;2064-01-05;2064-12-20;2065-01-05;2065-12-27;2066-01-12;2066-12-20;2067-01-05;2067-12-20;2068-01-05;2068-12-20;2069-01-05;2069-12-20;2070-01-05;2070-12-20;2071-01-05
610;GRAND ETANG LA ROUE;CORVEYZIEUX;2026-01-06;2026-01-17;2027-01-06;2027-01-17;2028-01-06;2028-01-17;2029-01-06;2029-01-17;2030-01-06;2030-01-17;2031-01-13;2031-01-24;2032-01-06;2032-01-17;2033-01-06;2033-01-17;2034-01-06;2034-01-17;2035-01-06;2035-01-17;2036-01-13;2036-01-24;2037-01-06;2037-01-17;2038-01-06;2038-01-17;2039-01-06;2039-01-17;2040-01-06;2040-01-17;2041-01-13;2041-01-24;2042-01-06;2042-01-17;2043-01-06;2043-01-17;2044-01-06;2044-01-17;2045-01-06;2045-01-17;2046-01-13;2046-01-24;2047-01-06;2047-01-17;2048-01-06;2048-01-17;2049-01-06;2049-01-17;2050-01-06;2050-01-17;-Inf;-Inf;2051-01-06;2052-01-17;2052-01-06;2053-01-17;2053-01-06;2054-01-17;2054-01-06;2055-01-17;2055-01-13;2056-01-24;2056-01-06;2057-01-17;2057-01-06;2058-01-17;2058-01-06;2059-01-17;2059-01-06;2060-01-17;2060-01-13;2061-01-24;2061-01-06;2062-01-17;2062-01-06;2063-01-17;2063-01-06;2064-01-17;2064-01-06;2065-01-17;2065-01-13;2066-01-24;2066-01-06;2067-01-17;2067-01-06;2068-01-17;2068-01-06;2069-01-17;2069-01-06;2070-01-17;2070-01-06;2071-01-17
589;LECHERE DU FRAYET;CORVEYZIEUX;2026-01-06;2026-01-14;2027-01-06;2027-01-14;2028-01-06;2028-01-14;2029-01-06;2029-01-14;2030-01-06;2030-01-14;2031-01-23;2031-01-31;2032-01-06;2032-01-14;2033-01-06;2033-01-14;2034-01-06;2034-01-14;2035-01-06;2035-01-14;2036-01-23;2036-01-31;2037-01-06;2037-01-14;2038-01-06;2038-01-14;2039-01-06;2039-01-14;2040-01-06;2040-01-14;2041-01-23;2041-01-31;2042-01-06;2042-01-14;2043-01-06;2043-01-14;2044-01-06;2044-01-14;2045-01-06;2045-01-14;2046-01-23;2046-01-31;2047-01-06;2047-01-14;2048-01-06;2048-01-14;2049-01-06;2049-01-14;2050-01-06;2050-01-14;-Inf;-Inf;2051-01-06;2052-01-14;2052-01-06;2053-01-14;2053-01-06;2054-01-14;2054-01-06;2055-01-14;2055-01-23;2056-01-31;2056-01-06;2057-01-14;2057-01-06;2058-01-14;2058-01-06;2059-01-14;2059-01-06;2060-01-14;2060-01-23;2061-01-31;2061-01-06;2062-01-14;2062-01-06;2063-01-14;2063-01-06;2064-01-14;2064-01-06;2065-01-14;2065-01-23;2066-01-31;2066-01-06;2067-01-14;2067-01-06;2068-01-14;2068-01-06;2069-01-14;2069-01-06;2070-01-14;2070-01-06;2071-01-14
580;LES RAGES;CARRONNIER;2026-01-03;2026-01-05;2027-01-03;2027-01-05;2028-01-03;2028-01-05;2029-01-03;2029-01-05;2030-01-03;2030-01-05;2031-01-10;2031-01-12;2032-01-03;2032-01-05;2033-01-03;2033-01-05;2034-01-03;2034-01-05;2035-01-03;2035-01-05;2036-01-10;2036-01-12;2037-01-03;2037-01-05;2038-01-03;2038-01-05;2039-01-03;2039-01-05;2040-01-03;2040-01-05;2041-01-10;2041-01-12;2042-01-03;2042-01-05;2043-01-03;2043-01-05;2044-01-03;2044-01-05;2045-01-03;2045-01-05;2046-01-10;2046-01-12;2047-01-03;2047-01-05;2048-01-03;2048-01-05;2049-01-03;2049-01-05;2050-01-03;2050-01-05;-Inf;-Inf;2051-01-03;2052-01-05;2052-01-03;2053-01-05;2053-01-03;2054-01-05;2054-01-03;2055-01-05;2055-01-10;2056-01-12;2056-01-03;2057-01-05;2057-01-03;2058-01-05;2058-01-03;2059-01-05;2059-01-03;2060-01-05;2060-01-10;2061-01-12;2061-01-03;2062-01-05;2062-01-03;2063-01-05;2063-01-03;2064-01-05;2064-01-03;2065-01-05;2065-01-10;2066-01-12;2066-01-03;2067-01-05;2067-01-03;2068-01-05;2068-01-03;2069-01-05;2069-01-03;2070-01-05;2070-01-03;2071-01-05
757;NEUF DE BURLAT;VIEUX BURLAT;2026-02-15;2026-02-19;2027-02-15;2027-02-19;2028-02-15;2028-02-19;2029-02-15;2029-02-19;2030-02-15;2030-02-19;2031-02-22;2031-02-26;2032-02-15;2032-02-19;2033-02-15;2033-02-19;2034-02-15;2034-02-19;2035-02-15;2035-02-19;2036-02-22;2036-02-26;2037-02-15;2037-02-19;2038-02-15;2038-02-19;2039-02-15;2039-02-19;2040-02-15;2040-02-19;2041-02-22;2041-02-26;2042-02-15;2042-02-19;2043-02-15;2043-02-19;2044-02-15;2044-02-19;2045-02-15;2045-02-19;2046-02-22;2046-02-26;2047-02-15;2047-02-19;2048-02-15;2048-02-19;2049-02-15;2049-02-19;2050-02-15;2050-02-19;-Inf;-Inf;2051-02-15;2052-02-19;2052-02-15;2053-02-19;2053-02-15;2054-02-19;2054-02-15;2055-02-19;2055-02-22;2056-02-26;2056-02-15;2057-02-19;2057-02-15;2058-02-19;2058-02-15;2059-02-19;2059-02-15;2060-02-19;2060-02-22;2061-02-26;2061-02-15;2062-02-19;2062-02-15;2063-02-19;2063-02-15;2064-02-19;2064-02-15;2065-02-19;2065-02-22;2066-02-26;2066-02-15;2067-02-19;2067-02-15;2068-02-19;2068-02-15;2069-02-19;2069-02-15;2070-02-19;2070-02-15;2071-02-19
716;PETIT RONZUEL;GRAND RONZUEL;2026-02-10;2026-02-24;2027-02-10;2027-02-24;2028-02-10;2028-02-24;2029-02-10;2029-02-24;2030-02-10;2030-02-24;2031-02-17;2031-03-03;2032-02-10;2032-02-24;2033-02-10;2033-02-24;2034-02-10;2034-02-24;2035-02-10;2035-02-24;2036-02-17;2036-03-02;2037-02-10;2037-02-24;2038-02-10;2038-02-24;2039-02-10;2039-02-24;2040-02-10;2040-02-24;2041-02-17;2041-03-03;2042-02-10;2042-02-24;2043-02-10;2043-02-24;2044-02-10;2044-02-24;2045-02-10;2045-02-24;2046-02-17;2046-03-03;2047-02-10;2047-02-24;2048-02-10;2048-02-24;2049-02-10;2049-02-24;2050-02-10;2050-02-24;-Inf;-Inf;2051-02-10;2052-02-24;2052-02-10;2053-02-24;2053-02-10;2054-02-24;2054-02-10;2055-02-24;2055-02-17;2056-03-02;2056-02-10;2057-02-24;2057-02-10;2058-02-24;2058-02-10;2059-02-24;2059-02-10;2060-02-24;2060-02-17;2061-03-03;2061-02-10;2062-02-24;2062-02-10;2063-02-24;2063-02-10;2064-02-24;2064-02-10;2065-02-24;2065-02-17;2066-03-03;2066-02-10;2067-02-24;2067-02-10;2068-02-24;2068-02-10;2069-02-24;2069-02-10;2070-02-24;2070-02-10;2071-02-24
1279;ROUE RONZUEL;PETIT ETANG LA ROUE;2026-01-12;2026-01-20;2027-01-12;2027-01-20;2028-01-12;2028-01-20;2029-01-12;2029-01-20;2030-01-12;2030-01-20;2031-01-19;2031-01-27;2032-01-12;2032-01-20;2033-01-12;2033-01-20;2034-01-12;2034-01-20;2035-01-12;2035-01-20;2036-01-19;2036-01-27;2037-01-12;2037-01-20;2038-01-12;2038-01-20;2039-01-12;2039-01-20;2040-01-12;2040-01-20;2041-01-19;2041-01-27;2042-01-12;2042-01-20;2043-01-12;2043-01-20;2044-01-12;2044-01-20;2045-01-12;2045-01-20;2046-01-19;2046-01-27;2047-01-12;2047-01-20;2048-01-12;2048-01-20;2049-01-12;2049-01-20;2050-01-12;2050-01-20;-Inf;-Inf;2051-01-12;2052-01-20;2052-01-12;2053-01-20;2053-01-12;2054-01-20;2054-01-12;2055-01-20;2055-01-19;2056-01-27;2056-01-12;2057-01-20;2057-01-12;2058-01-20;2058-01-12;2059-01-20;2059-01-12;2060-01-20;2060-01-19;2061-01-27;2061-01-12;2062-01-20;2062-01-12;2063-01-20;2063-01-12;2064-01-20;2064-01-12;2065-01-20;2065-01-19;2066-01-27;2066-01-12;2067-01-20;2067-01-12;2068-01-20;2068-01-12;2069-01-20;2069-01-12;2070-01-20;2070-01-12;2071-01-20
768;SALE;OUTPUT;2025-10-01;2025-10-16;2026-10-01;2026-10-16;2027-10-01;2027-10-16;2028-10-01;2028-10-16;2029-10-08;2029-10-23;2030-10-01;2030-10-16;2031-10-01;2031-10-16;2032-10-01;2032-10-16;2033-10-01;2033-10-16;2034-10-08;2034-10-23;2035-10-01;2035-10-16;2036-10-01;2036-10-16;2037-10-01;2037-10-16;2038-10-01;2038-10-16;2039-10-08;2039-10-23;2040-10-01;2040-10-16;2041-10-01;2041-10-16;2042-10-01;2042-10-16;2043-10-01;2043-10-16;2044-10-08;2044-10-23;2045-10-01;2045-10-16;2046-10-01;2046-10-16;2047-10-01;2047-10-16;2048-10-01;2048-10-16;2049-10-08;2049-10-23;2050-10-01;2050-10-16;2051-10-01;2051-10-16;2052-10-01;2052-10-16;2053-10-01;2053-10-16;2054-10-08;2054-10-23;2055-10-01;2055-10-16;2056-10-01;2056-10-16;2057-10-01;2057-10-16;2058-10-01;2058-10-16;2059-10-08;2059-10-23;2060-10-01;2060-10-16;2061-10-01;2061-10-16;2062-10-01;2062-10-16;2063-10-01;2063-10-16;2064-10-08;2064-10-23;2065-10-01;2065-10-16;2066-10-01;2066-10-16;2067-10-01;2067-10-16;2068-10-01;2068-10-16;2069-10-08;2069-10-23;2070-10-01;2070-10-16
728;PARADIS;SALE;2025-10-17;2025-10-28;2026-10-17;2026-10-28;2027-10-17;2027-10-28;2028-10-24;2028-11-04;2029-10-17;2029-10-28;2030-10-17;2030-10-28;2031-10-17;2031-10-28;2032-10-17;2032-10-28;2033-10-24;2033-11-04;2034-10-17;2034-10-28;2035-10-17;2035-10-28;2036-10-17;2036-10-28;2037-10-17;2037-10-28;2038-10-24;2038-11-04;2039-10-17;2039-10-28;2040-10-17;2040-10-28;2041-10-17;2041-10-28;2042-10-17;2042-10-28;2043-10-24;2043-11-04;2044-10-17;2044-10-28;2045-10-17;2045-10-28;2046-10-17;2046-10-28;2047-10-17;2047-10-28;2048-10-24;2048-11-04;2049-10-17;2049-10-28;2050-10-17;2050-10-28;2051-10-17;2051-10-28;2052-10-17;2052-10-28;2053-10-24;2053-11-04;2054-10-17;2054-10-28;2055-10-17;2055-10-28;2056-10-17;2056-10-28;2057-10-17;2057-10-28;2058-10-24;2058-11-04;2059-10-17;2059-10-28;2060-10-17;2060-10-28;2061-10-17;2061-10-28;2062-10-17;2062-10-28;2063-10-24;2063-11-04;2064-10-17;2064-10-28;2065-10-17;2065-10-28;2066-10-17;2066-10-28;2067-10-17;2067-10-28;2068-10-24;2068-11-04;2069-10-17;2069-10-28;2070-10-17;2070-10-28
798;TRIPOUX;SALE;2025-10-17;2025-10-26;2026-10-17;2026-10-26;2027-10-17;2027-10-26;2028-11-02;2028-11-11;2029-10-17;2029-10-26;2030-10-17;2030-10-26;2031-10-17;2031-10-26;2032-10-17;2032-10-26;2033-11-02;2033-11-11;2034-10-17;2034-10-26;2035-10-17;2035-10-26;2036-10-17;2036-10-26;2037-10-17;2037-10-26;2038-11-02;2038-11-11;2039-10-17;2039-10-26;2040-10-17;2040-10-26;2041-10-17;2041-10-26;2042-10-17;2042-10-26;2043-11-02;2043-11-11;2044-10-17;2044-10-26;2045-10-17;2045-10-26;2046-10-17;2046-10-26;2047-10-17;2047-10-26;2048-11-02;2048-11-11;2049-10-17;2049-10-26;2050-10-17;2050-10-26;2051-10-17;2051-10-26;2052-10-17;2052-10-26;2053-11-02;2053-11-11;2054-10-17;2054-10-26;2055-10-17;2055-10-26;2056-10-17;2056-10-26;2057-10-17;2057-10-26;2058-11-02;2058-11-11;2059-10-17;2059-10-26;2060-10-17;2060-10-26;2061-10-17;2061-10-26;2062-10-17;2062-10-26;2063-11-02;2063-11-11;2064-10-17;2064-10-26;2065-10-17;2065-10-26;2066-10-17;2066-10-26;2067-10-17;2067-10-26;2068-11-02;2068-11-11;2069-10-17;2069-10-26;2070-10-17;2070-10-26
