OBJECTID,NOM,Exutoire_1,Vidange2025,peche2025,Vidange2026,peche2026,Vidange2027,peche2027,Vidange2028,peche2028,Vidange2029,peche2029,Vidange2030,peche2030,Vidange2031,peche2031,Vidange2032,peche2032,Vidange2033,peche2033,Vidange2034,peche2034,Vidange2035,peche2035,Vidange2036,peche2036,Vidange2037,peche2037,Vidange2038,peche2038,Vidange2039,peche2039,Vidange2040,peche2040,Vidange2041,peche2041,Vidange2042,peche2042,Vidange2043,peche2043,Vidange2044,peche2044,Vidange2045,peche2045,Vidange2046,peche2046,Vidange2047,peche2047,Vidange2048,peche2048,Vidange2049,peche2049,Vidange2050,peche2050
801,BIETONNAY,TRIPOUX,2025-10-27,2025-11-15,2026-10-27,2026-11-15,2027-10-27,2027-11-15,2028-10-27,2028-11-15,2029-10-27,2029-11-15,2030-10-27,2030-11-15,2031-10-27,2031-11-15,2032-10-27,2032-11-15,2033-10-27,2033-11-15,2034-10-27,2034-11-15,2035-10-27,2035-11-15,2036-10-27,2036-11-15,2037-10-27,2037-11-15,2038-10-27,2038-11-15,2039-10-27,2039-11-15,2040-10-27,2040-11-15,2041-10-27,2041-11-15,2042-10-27,2042-11-15,2043-10-27,2043-11-15,2044-10-27,2044-11-15,2045-10-27,2045-11-15,2046-10-27,2046-11-15,2047-10-27,2047-11-15,2048-10-27,2048-11-15,2049-10-27,2049-11-15,2050-10-27,2050-11-15
762,CARRONNIER,FOUR,2025-12-27,2026-01-02,2026-12-27,2027-01-02,2027-12-27,2028-01-02,2028-12-27,2029-01-02,2029-12-27,2030-01-02,2030-12-27,2031-01-02,2031-12-27,2032-01-02,2032-12-27,2033-01-02,2033-12-27,2034-01-02,2034-12-27,2035-01-02,2035-12-27,2036-01-02,2036-12-27,2037-01-02,2037-12-27,2038-01-02,2038-12-27,2039-01-02,2039-12-27,2040-01-02,2040-12-27,2041-01-02,2041-12-27,2042-01-02,2042-12-27,2043-01-02,2043-12-27,2044-01-02,2044-12-27,2045-01-02,2045-12-27,2046-01-02,2046-12-27,2047-01-02,2047-12-27,2048-01-02,2048-12-27,2049-01-02,2049-12-27,2050-01-02,2050-12-27
871,CHANTEMERLE,LONGEVAVRE,2025-11-17,2025-11-22,2026-11-17,2026-11-22,2027-11-17,2027-11-22,2028-11-17,2028-11-22,2029-11-17,2029-11-22,2030-11-17,2030-11-22,2031-11-17,2031-11-22,2032-11-17,2032-11-22,2033-11-17,2033-11-22,2034-11-17,2034-11-22,2035-11-17,2035-11-22,2036-11-17,2036-11-22,2037-11-17,2037-11-22,2038-11-17,2038-11-22,2039-11-17,2039-11-22,2040-11-17,2040-11-22,2041-11-17,2041-11-22,2042-11-17,2042-11-22,2043-11-17,2043-11-22,2044-11-17,2044-11-22,2045-11-17,2045-11-22,2046-11-17,2046-11-22,2047-11-17,2047-11-22,2048-11-17,2048-11-22,2049-11-17,2049-11-22,2050-11-17,2050-11-22
620,CORVEYZIEUX,LIGNIERE,2025-12-20,2026-01-05,2026-12-20,2027-01-05,2027-12-20,2028-01-05,2028-12-20,2029-01-05,2029-12-20,2030-01-05,2030-12-20,2031-01-05,2031-12-20,2032-01-05,2032-12-20,2033-01-05,2033-12-20,2034-01-05,2034-12-20,2035-01-05,2035-12-20,2036-01-05,2036-12-20,2037-01-05,2037-12-20,2038-01-05,2038-12-20,2039-01-05,2039-12-20,2040-01-05,2040-12-20,2041-01-05,2041-12-20,2042-01-05,2042-12-20,2043-01-05,2043-12-20,2044-01-05,2044-12-20,2045-01-05,2045-12-20,2046-01-05,2046-12-20,2047-01-05,2047-12-20,2048-01-05,2048-12-20,2049-01-05,2049-12-20,2050-01-05,2050-12-20
730,FOUR,PLAT,2025-12-14,2025-12-26,2026-12-14,2026-12-26,2027-12-14,2027-12-26,2028-12-14,2028-12-26,2029-12-14,2029-12-26,2030-12-14,2030-12-26,2031-12-14,2031-12-26,2032-12-14,2032-12-26,2033-12-14,2033-12-26,2034-12-14,2034-12-26,2035-12-14,2035-12-26,2036-12-14,2036-12-26,2037-12-14,2037-12-26,2038-12-14,2038-12-26,2039-12-14,2039-12-26,2040-12-14,2040-12-26,2041-12-14,2041-12-26,2042-12-14,2042-12-26,2043-12-14,2043-12-26,2044-12-14,2044-12-26,2045-12-14,2045-12-26,2046-12-14,2046-12-26,2047-12-14,2047-12-26,2048-12-14,2048-12-26,2049-12-14,2049-12-26,2050-12-14,2050-12-26
583,FRENE,PETIT ETANG LA ROUE,2026-01-12,2026-01-16,2027-01-12,2027-01-16,2028-01-12,2028-01-16,2029-01-12,2029-01-16,2030-01-12,2030-01-16,2031-01-12,2031-01-16,2032-01-12,2032-01-16,2033-01-12,2033-01-16,2034-01-12,2034-01-16,2035-01-12,2035-01-16,2036-01-12,2036-01-16,2037-01-12,2037-01-16,2038-01-12,2038-01-16,2039-01-12,2039-01-16,2040-01-12,2040-01-16,2041-01-12,2041-01-16,2042-01-12,2042-01-16,2043-01-12,2043-01-16,2044-01-12,2044-01-16,2045-01-12,2045-01-16,2046-01-12,2046-01-16,2047-01-12,2047-01-16,2048-01-12,2048-01-16,2049-01-12,2049-01-16,2050-01-12,2050-01-16
610,GRAND ETANG LA ROUE,CORVEYZIEUX,2026-01-06,2026-01-17,2027-01-06,2027-01-17,2028-01-06,2028-01-17,2029-01-06,2029-01-17,2030-01-06,2030-01-17,2031-01-06,2031-01-17,2032-01-06,2032-01-17,2033-01-06,2033-01-17,2034-01-06,2034-01-17,2035-01-06,2035-01-17,2036-01-06,2036-01-17,2037-01-06,2037-01-17,2038-01-06,2038-01-17,2039-01-06,2039-01-17,2040-01-06,2040-01-17,2041-01-06,2041-01-17,2042-01-06,2042-01-17,2043-01-06,2043-01-17,2044-01-06,2044-01-17,2045-01-06,2045-01-17,2046-01-06,2046-01-17,2047-01-06,2047-01-17,2048-01-06,2048-01-17,2049-01-06,2049-01-17,2050-01-06,2050-01-17
695,GRAND RONZUEL,FRENE,2026-01-17,2026-02-09,2027-01-17,2027-02-09,2028-01-17,2028-02-09,2029-01-17,2029-02-09,2030-01-17,2030-02-09,2031-01-17,2031-02-09,2032-01-17,2032-02-09,2033-01-17,2033-02-09,2034-01-17,2034-02-09,2035-01-17,2035-02-09,2036-01-17,2036-02-09,2037-01-17,2037-02-09,2038-01-17,2038-02-09,2039-01-17,2039-02-09,2040-01-17,2040-02-09,2041-01-17,2041-02-09,2042-01-17,2042-02-09,2043-01-17,2043-02-09,2044-01-17,2044-02-09,2045-01-17,2045-02-09,2046-01-17,2046-02-09,2047-01-17,2047-02-09,2048-01-17,2048-02-09,2049-01-17,2049-02-09,2050-01-17,2050-02-09
826,GRANGES,BIETONNAY,2025-11-16,2025-11-20,2026-11-16,2026-11-20,2027-11-16,2027-11-20,2028-11-16,2028-11-20,2029-11-16,2029-11-20,2030-11-16,2030-11-20,2031-11-16,2031-11-20,2032-11-16,2032-11-20,2033-11-16,2033-11-20,2034-11-16,2034-11-20,2035-11-16,2035-11-20,2036-11-16,2036-11-20,2037-11-16,2037-11-20,2038-11-16,2038-11-20,2039-11-16,2039-11-20,2040-11-16,2040-11-20,2041-11-16,2041-11-20,2042-11-16,2042-11-20,2043-11-16,2043-11-20,2044-11-16,2044-11-20,2045-11-16,2045-11-20,2046-11-16,2046-11-20,2047-11-16,2047-11-20,2048-11-16,2048-11-20,2049-11-16,2049-11-20,2050-11-16,2050-11-20
782,LECHERE,FOUR,2025-12-27,2025-12-31,2026-12-27,2026-12-31,2027-12-27,2027-12-31,2028-12-27,2028-12-31,2029-12-27,2029-12-31,2030-12-27,2030-12-31,2031-12-27,2031-12-31,2032-12-27,2032-12-31,2033-12-27,2033-12-31,2034-12-27,2034-12-31,2035-12-27,2035-12-31,2036-12-27,2036-12-31,2037-12-27,2037-12-31,2038-12-27,2038-12-31,2039-12-27,2039-12-31,2040-12-27,2040-12-31,2041-12-27,2041-12-31,2042-12-27,2042-12-31,2043-12-27,2043-12-31,2044-12-27,2044-12-31,2045-12-27,2045-12-31,2046-12-27,2046-12-31,2047-12-27,2047-12-31,2048-12-27,2048-12-31,2049-12-27,2049-12-31,2050-12-27,2050-12-31
