OBJECTID;NOM;Exutoire_1;Assec2010;Assec2011;Assec2012;Assec2013;Assec2014;Assec2015;Assec2016;Assec2017;Assec2018;Assec2019;Assec2020;Assec2021;Assec2022;Assec2023;Assec2024;Assec2025
0;LEYE;VAREPPE;Assec;Assec;Assec;Assec;Assec;Evolage;Evolage;Assec;Assec;Assec;Assec;Assec;Evolage;Assec;Assec;Assec
29;ORCET;RIVIERE;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Assec
120;LONGE ETANG;PETITES VERNAYS;Assec;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Assec;Evolage;Evolage;Evolage;Assec;Evolage;Evolage
199;GRAND PRA;ORCET;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage
207;GRAND VERNAYES;OSIERS;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage
208;OSIERS;LECHERE DE LA MONTAGNE SAINTE;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage
220;GOUILLES;GRAND VERNAYES;Assec;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage
238;PLAT;GRAND PRA;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Assec
239;VAREPPE;LECHERE DE LA MONTAGNE SAINTE;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Assec;Evolage;Evolage
248;BOTTE;FENIERES;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Evolage
260;PETITES VERNAYS;GRAND VERNAYES;Assec;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage
263;FENIERES;VERNOZAN;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage
265;LECHERE DE LA MONTAGNE SAINTE;PETIT FEINIERE;Evolage;Assec;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage
267;PETIT FEINIERE;FENIERES;Assec;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Evolage;Evolage
274;VERNOZAN;RIVIERE;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Assec;Evolage;Evolage;Evolage;Evolage;Assec;Evolage;Evolage;Evolage
