OBJECTID,NOM,Exutoire_1,Vidange2010,peche2010,Vidange2011,peche2011,Vidange2012,peche2012,Vidange2013,peche2013,Vidange2014,peche2014,Vidange2015,peche2015,Vidange2016,peche2016,Vidange2017,peche2017,Vidange2018,peche2018,Vidange2019,peche2019,Vidange2020,peche2020,Vidange2021,peche2021,Vidange2022,peche2022,Vidange2023,peche2023,Vidange2024,peche2024,Vidange2025,peche2025
0,LEYE,VAREPPE,2010-10-01,2010-09-29,2011-10-01,2011-09-29,2012-10-01,2012-09-29,2013-10-01,2013-09-29,2014-10-01,2014-09-29,2015-10-01,2015-09-29,2016-10-01,2016-09-29,2017-10-01,2017-09-29,2018-10-01,2018-09-29,2019-10-01,2019-09-29,2020-10-01,2020-09-29,2021-10-01,2021-09-29,2022-10-01,2022-09-29,2023-10-01,2023-09-29,2024-10-01,2024-09-29,2025-10-01,2025-09-29
29,ORCET,RIVIERE,2010-09-18,2010-10-10,2011-09-18,2011-10-10,2012-09-18,2012-10-10,2013-09-18,2013-10-10,2014-09-18,2014-10-10,2015-09-18,2015-10-10,2016-09-18,2016-10-10,2017-09-18,2017-10-10,2018-09-18,2018-10-10,2019-09-18,2019-10-10,2020-09-18,2020-10-10,2021-09-18,2021-10-10,2022-09-18,2022-10-10,2023-09-18,2023-10-10,2024-09-18,2024-10-10,2025-10-18,2025-10-10
120,LONGE ETANG,PETITES VERNAYS,2010-01-08,2010-01-14,2011-01-08,2011-01-14,2012-01-08,2012-01-14,2013-01-08,2013-01-14,2014-01-08,2014-01-14,2015-01-08,2015-01-14,2016-01-08,2016-01-14,2017-01-08,2017-01-14,2018-01-08,2018-01-14,2019-01-08,2019-01-14,2020-01-08,2020-01-14,2021-01-08,2021-01-14,2022-01-08,2022-01-14,2023-01-08,2023-01-14,2024-01-08,2024-01-14,2025-01-08,2025-01-14
199,GRAND PRA,ORCET,2010-10-10,2010-10-17,2011-10-10,2011-10-17,2012-10-10,2012-10-17,2013-10-10,2013-10-17,2014-10-10,2014-10-17,2015-10-10,2015-10-17,2016-10-10,2016-10-17,2017-10-10,2017-10-17,2018-10-10,2018-10-17,2019-10-10,2019-10-17,2020-10-10,2020-10-17,2021-10-10,2021-10-17,2022-10-10,2022-10-17,2023-10-10,2023-10-17,2099-10-10,2099-10-17,2025-10-10,2025-10-17
207,GRAND VERNAYES,OSIERS,2010-11-19,2010-12-14,2011-11-19,2011-12-14,2012-11-19,2012-12-14,2013-11-19,2013-12-14,2014-11-19,2014-12-14,2015-11-19,2015-12-14,2016-11-19,2016-12-14,2017-11-19,2017-12-14,2018-11-19,2018-12-14,2019-11-19,2019-12-14,2020-11-19,2020-12-14,2021-11-19,2021-12-14,2022-11-19,2022-12-14,2023-11-19,2023-12-14,2024-11-19,2024-12-14,2025-11-19,2025-12-14
208,OSIERS,LECHERE DE LA MONTAGNE SAINTE,2010-10-09,2010-10-26,2011-10-09,2011-10-26,2012-10-09,2012-10-26,2013-10-09,2013-10-26,2014-10-09,2014-10-26,2015-10-09,2015-10-26,2016-10-09,2016-10-26,2017-10-09,2017-10-26,2018-10-09,2018-10-26,2019-10-09,2019-10-26,2020-10-09,2020-10-26,2021-10-09,2021-10-26,2022-10-09,2022-10-26,2023-10-09,2023-10-26,2099-10-09,2099-10-26,2025-10-09,2025-10-26
220,GOUILLES,GRAND VERNAYES,2010-10-01,2010-10-09,2011-10-01,2011-10-09,2012-10-01,2012-10-09,2013-10-01,2013-10-09,2014-10-01,2014-10-09,2015-10-01,2015-10-09,2016-10-01,2016-10-09,2017-10-01,2017-10-09,2018-10-01,2018-10-09,2019-10-01,2019-10-09,2020-10-01,2020-10-09,2021-10-01,2021-10-09,2022-10-01,2022-10-09,2023-10-01,2023-10-09,2024-10-01,2024-10-09,2025-10-01,2025-10-09
238,PLAT,GRAND PRA,2010-10-01,2010-10-09,2011-10-01,2011-10-09,2012-10-01,2012-10-09,2013-10-01,2013-10-09,2014-10-01,2014-10-09,2015-10-01,2015-10-09,2016-10-01,2016-10-09,2017-10-01,2017-10-09,2018-10-01,2018-10-09,2019-10-01,2019-10-09,2020-10-01,2020-10-09,2021-10-01,2021-10-09,2022-10-01,2022-10-09,2023-10-01,2023-10-09,2024-10-01,2024-10-09,2025-10-01,2025-10-09
239,VAREPPE,LECHERE DE LA MONTAGNE SAINTE,2010-10-18,2010-11-08,2011-10-18,2011-11-08,2012-10-18,2012-11-08,2013-10-18,2013-11-08,2014-10-18,2014-11-08,2015-10-18,2015-11-08,2016-10-18,2016-11-08,2017-10-18,2017-11-08,2018-10-18,2018-11-08,2019-10-18,2019-11-08,2020-10-18,2020-11-08,2021-10-18,2021-11-08,2022-10-18,2022-11-08,2023-10-18,2023-11-08,2024-10-18,2024-11-08,2025-10-18,2025-11-08
248,BOTTE,FENIERES,2010-10-01,2010-10-05,2011-10-01,2011-10-05,2012-10-01,2012-10-05,2013-10-01,2013-10-05,2014-10-01,2014-10-05,2015-10-01,2015-10-05,2016-10-01,2016-10-05,2017-10-01,2017-10-05,2018-10-01,2018-10-05,2019-10-01,2019-10-05,2020-10-01,2020-10-05,2021-10-01,2021-10-05,2022-10-01,2022-10-05,2023-10-01,2023-10-05,2024-10-01,2024-10-05,2025-10-01,2025-10-05
