fid;CODE_ETANG;NOM;nature;SURFACE_eau;Exutoire_1;Exutoire_2;Profondeur;Vmax
3;0;LEYE;Retenue;31460;VAREPPE;;0,8;NA
29;0;ORCET;Retenue;221269;RIVIERE;;0,8;NA
120;0;LONGE ETANG;Retenue;66757;PETITES VERNAYS;;0,8;59285
199;0;GRAND PRA;Retenue;61184;ORCET;;0,8;40000
207;0;GRAND VERNAYES;Retenue;343785;OSIERS;VAREPPE;0,8;296441
208;0;OSIERS;Retenue;163305;LECHERE DE LA MONTAGNE SAINTE;;0,8;175721
220;0;GOUILLES;Retenue;76459;GRAND VERNAYES;;0,8;NA
238;0;PLAT;Retenue;77964;GRAND PRA;;0,8;NA
239;0;VAREPPE;Retenue;120157;LECHERE DE LA MONTAGNE SAINTE;;0,8;124348
248;0;BOTTE;Retenue;76230;FENIERES;;0,8;81438
260;0;PETITES VERNAYS;Retenue;33607;GRAND VERNAYES;;0,8;NA
263;0;FENIERES;Retenue;71237;VERNOZAN;;0,8;81820
265;0;LECHERE DE LA MONTAGNE SAINTE;Retenue;90236;PETIT FEINIERE;;0,8;NA
267;0;PETIT FEINIERE;Retenue;80926;FENIERES;;0,8;NA
274;0;VERNOZAN;Retenue;257440;RIVIERE;;0,8;232487
