Classe;NOM_min;area
5;ORCET;4249,675
9;ORCET;755,531
16;ORCET;4368,729
13;ORCET;3207,313
13;ORCET;8017,532
13;ORCET;3497,974
13;ORCET;2080,632
6;ORCET;4015,018
16;ORCET;2315,767
2;ORCET;1492,621
13;ORCET;4017,656
10;ORCET;64696,929
6;ORCET;3090,449
13;ORCET;7412,814
23;ORCET;203334,122
16;ORCET;1090,151
6;ORCET;74268,771
2;ORCET;13290,84
13;ORCET;11117,663
16;ORCET;22263,204
16;ORCET;2221,518
6;ORCET;3983,179
5;ORCET;17711,03
13;ORCET;3360,845
16;ORCET;28828,747
2;ORCET;631,953
5;GRAND PRA;1168,866
9;GRAND PRA;1807,017
23;GRAND PRA;441,074
16;GRAND PRA;1688,314
13;GRAND PRA;43211,373
6;GRAND PRA;3351,635
13;GRAND PRA;122,59
13;GRAND PRA;7019,773
2;GRAND PRA;1180,581
10;GRAND PRA;2400,34
6;GRAND PRA;3683,34
13;GRAND PRA;8817,356
16;GRAND PRA;634,647
12;GRAND PRA;1611,802
6;GRAND PRA;23077,631
23;GRAND PRA;51871,834
9;GRAND PRA;6929,811
2;GRAND PRA;9320,501
9;GRAND PRA;1669,332
16;GRAND PRA;647,094
6;GRAND PRA;2203,987
16;GRAND PRA;1214,845
5;GRAND PRA;11251,968
6;GRAND PRA;3169,099
16;GRAND PRA;32955,563
2;PLAT;567,397
6;PLAT;20518,683
12;PLAT;18039,728
10;PLAT;0,027
13;PLAT;107142,656
6;PLAT;930,092
13;PLAT;20780,99
16;PLAT;1264,105
16;PLAT;4728,431
6;PLAT;1092,025
5;PLAT;32449,101
23;PLAT;108217,161
6;PLAT;8017,683
16;PLAT;15596,397
6;PLAT;753,161
9;PLAT;112,459
16;PLAT;1090,151
5;PLAT;490,602
6;PLAT;2773,288
16;PLAT;32767,975
16;VERNOZAN;1316,094
23;VERNOZAN;267891,213
6;VERNOZAN;1094,663
16;VERNOZAN;203,71
13;VERNOZAN;79,341
6;VERNOZAN;2,066
16;VERNOZAN;1357,876
10;VERNOZAN;52666,588
13;VERNOZAN;1403,472
16;VERNOZAN;10867,271
16;VERNOZAN;669,001
2;VERNOZAN;3917,405
13;VERNOZAN;93333,949
16;VERNOZAN;949,701
6;VERNOZAN;18484,181
16;VERNOZAN;22266,803
5;VERNOZAN;18827,54
16;VERNOZAN;2292,921
2;FENIERES;2416,262
6;FENIERES;23126,339
16;FENIERES;694,223
23;FENIERES;103956,477
12;FENIERES;34003,171
10;FENIERES;22187,603
13;FENIERES;421,359
12;FENIERES;9089,071
13;FENIERES;204,267
16;FENIERES;13726,301
16;FENIERES;1368,974
6;FENIERES;120,48
16;FENIERES;1549,6
13;FENIERES;11207,46
10;FENIERES;8569,491
10;FENIERES;4808,686
16;FENIERES;2023,877
9;FENIERES;10834,459
16;FENIERES;173,766
16;PETIT FEINIERE;5931,163
23;PETIT FEINIERE;60,114
16;PETIT FEINIERE;1025,534
16;PETIT FEINIERE;17319,158
13;PETIT FEINIERE;694,123
23;PETIT FEINIERE;75495,232
10;PETIT FEINIERE;6614,257
16;PETIT FEINIERE;1870,415
2;PETIT FEINIERE;7404,994
16;PETIT FEINIERE;4143,654
5;PETIT FEINIERE;274,496
16;PETIT FEINIERE;60002,466
5;PETIT FEINIERE;3606,428
9;PETIT FEINIERE;3893,341
5;PETIT FEINIERE;23167,56
16;PETIT FEINIERE;2297,039
13;PETIT FEINIERE;158330,011
23;PETIT FEINIERE;464,037
13;PETIT FEINIERE;41509,313
6;PETIT FEINIERE;2147,707
23;BOTTE;19428,709
16;BOTTE;84,741
10;BOTTE;69912,161
16;BOTTE;45112,919
10;BOTTE;55943,287
16;BOTTE;45,749
16;BOTTE;18168,088
13;BOTTE;46451,847
6;BOTTE;4754,924
16;BOTTE;12121,034
23;BOTTE;79511,072
16;LECHERE DE LA MONTAGNE SAINTE;3301,4
10;LECHERE DE LA MONTAGNE SAINTE;1074,947
23;LECHERE DE LA MONTAGNE SAINTE;93113,545
13;LECHERE DE LA MONTAGNE SAINTE;28172,715
16;LECHERE DE LA MONTAGNE SAINTE;8350,687
6;LECHERE DE LA MONTAGNE SAINTE;1525,427
13;LECHERE DE LA MONTAGNE SAINTE;2158,655
16;LECHERE DE LA MONTAGNE SAINTE;2914,113
