OBJECTID;NOM;Exutoire_1;Vidange2026;peche2026;Vidange2027;peche2027;Vidange2028;peche2028;Vidange2029;peche2029;Vidange2030;peche2030;Vidange2031;peche2031;Vidange2032;peche2032;Vidange2033;peche2033;Vidange2034;peche2034;Vidange2035;peche2035;Vidange2036;peche2036;Vidange2037;peche2037;Vidange2038;peche2038;Vidange2039;peche2039;Vidange2040;peche2040;Vidange2041;peche2041;Vidange2042;peche2042;Vidange2043;peche2043;Vidange2044;peche2044;Vidange2045;peche2045;Vidange2046;peche2046;Vidange2047;peche2047;Vidange2048;peche2048;Vidange2049;peche2049;Vidange2050;peche2050;Vidange2051;peche2051;Vidange2052;peche2052;Vidange2053;peche2053;Vidange2054;peche2054;Vidange2055;peche2055;Vidange2056;peche2056;Vidange2057;peche2057;Vidange2058;peche2058;Vidange2059;peche2059;Vidange2060;peche2060;Vidange2061;peche2061;Vidange2062;peche2062;Vidange2063;peche2063;Vidange2064;peche2064;Vidange2065;peche2065;Vidange2066;peche2066;Vidange2067;peche2067;Vidange2068;peche2068;Vidange2069;peche2069;Vidange2070;peche2070
0;LEYE;VAREPPE;2026-12-28;2026-12-26;2027-12-16;2027-12-14;2028-12-15;2028-12-13;2029-12-10;2029-12-08;2030-12-01;2030-11-29;2031-12-26;2031-12-24;2032-12-30;2032-12-28;2033-12-06;2033-12-04;2034-12-09;2034-12-07;2035-12-29;2035-12-27;2036-12-16;2036-12-14;2037-12-02;2037-11-30;2038-12-27;2038-12-25;2039-12-09;2039-12-07;2041-01-12;2041-01-10;2041-12-13;2041-12-11;2042-12-12;2042-12-10;2043-12-10;2043-12-08;2044-12-08;2044-12-06;2045-12-08;2045-12-06;2046-12-08;2046-12-06;2047-12-02;2047-11-30;2049-01-24;2049-01-22;2049-12-21;2049-12-19;2051-01-14;2051-01-12;2051-12-05;2051-12-03;2053-02-12;2053-02-10;2053-12-13;2053-12-11;2055-01-01;2054-12-30;2055-12-15;2055-12-13;2057-01-23;2057-01-21;2057-12-04;2057-12-02;2058-12-01;2058-11-29;2060-01-03;2060-01-01;2061-01-07;2061-01-05;2062-01-09;2062-01-07;2063-01-05;2063-01-03;2063-12-22;2063-12-20;2064-12-02;2064-11-30;2066-01-07;2066-01-05;2066-12-21;2066-12-19;2067-12-28;2067-12-26;2068-12-12;2068-12-10;2069-12-22;2069-12-20;2071-01-06;2071-01-04
29;ORCET;RIVIERE;2027-01-10;2027-01-02;2027-12-17;2027-12-09;2028-12-26;2028-12-18;2029-12-14;2029-12-06;2030-12-08;2030-11-30;2032-01-05;2031-12-28;2032-12-30;2032-12-22;2033-12-31;2033-12-23;2034-12-01;2034-11-23;2036-01-12;2036-01-04;2037-01-14;2037-01-06;2037-12-08;2037-11-30;2038-12-04;2038-11-26;2039-12-02;2039-11-24;2040-12-04;2040-11-26;2041-12-01;2041-11-23;2042-12-04;2042-11-26;2043-12-06;2043-11-28;2045-01-19;2045-01-11;2045-12-01;2045-11-23;2046-12-16;2046-12-08;2048-01-24;2048-01-16;2048-12-01;2048-11-23;2049-12-08;2049-11-30;2050-12-10;2050-12-02;2051-12-26;2051-12-18;2053-01-01;2052-12-24;2053-12-05;2053-11-27;2054-12-01;2054-11-23;2056-02-05;2056-01-28;2057-01-24;2057-01-16;2057-12-06;2057-11-28;2058-12-06;2058-11-28;2059-12-12;2059-12-04;2060-12-08;2060-11-30;2061-12-01;2061-11-23;2063-01-06;2062-12-29;2064-01-06;2063-12-29;2064-12-09;2064-12-01;2065-12-10;2065-12-02;2066-12-22;2066-12-14;2067-12-22;2067-12-14;2068-12-14;2068-12-06;2069-12-02;2069-11-24;2070-12-16;2070-12-08
120;LONGE ETANG;PETITES VERNAYS;2027-01-11;2027-01-17;2027-12-14;2027-12-20;2028-12-06;2028-12-12;2029-12-01;2029-12-07;2031-01-01;2031-01-07;2031-12-06;2031-12-12;2032-12-08;2032-12-14;2033-12-11;2033-12-17;2034-12-29;2035-01-04;2036-01-15;2036-01-21;2037-01-18;2037-01-24;2037-12-18;2037-12-24;2038-12-10;2038-12-16;2040-01-13;2040-01-19;2040-12-06;2040-12-12;2041-12-21;2041-12-27;2042-12-10;2042-12-16;2044-01-03;2044-01-09;2044-12-22;2044-12-28;2045-12-08;2045-12-14;2047-01-08;2047-01-14;2047-12-01;2047-12-07;2049-01-18;2049-01-24;2049-12-22;2049-12-28;2050-12-28;2051-01-03;2052-01-06;2052-01-12;2052-12-06;2052-12-12;2054-01-28;2054-02-03;2054-12-06;2054-12-12;2055-12-03;2055-12-09;2056-12-03;2056-12-09;2058-02-14;2058-02-20;2059-02-14;2059-02-20;2059-12-01;2059-12-07;2060-12-04;2060-12-10;2062-01-02;2062-01-08;2063-01-11;2063-01-17;2063-12-18;2063-12-24;2064-12-06;2064-12-12;2065-12-06;2065-12-12;2066-12-29;2067-01-04;2067-12-05;2067-12-11;2069-01-27;2069-02-02;2069-12-02;2069-12-08;2070-12-08;2070-12-14
199;GRAND PRA;ORCET;2026-12-03;2026-12-10;2028-01-15;2028-01-22;2029-01-08;2029-01-15;2030-01-09;2030-01-16;2031-01-07;2031-01-14;2032-01-01;2032-01-08;2032-12-14;2032-12-21;2033-12-12;2033-12-19;2035-01-04;2035-01-11;2035-12-17;2035-12-24;2036-12-19;2036-12-26;2037-12-19;2037-12-26;2038-12-30;2039-01-06;2039-12-05;2039-12-12;2040-12-31;2041-01-07;2041-12-16;2041-12-23;2042-12-04;2042-12-11;2044-01-11;2044-01-18;2044-12-12;2044-12-19;2045-12-08;2045-12-15;2046-12-08;2046-12-15;2047-12-22;2047-12-29;2048-12-12;2048-12-19;2050-01-24;2050-01-31;2050-12-06;2050-12-13;2051-12-27;2052-01-03;2052-12-04;2052-12-11;2053-12-03;2053-12-10;2054-12-04;2054-12-11;2055-12-20;2055-12-27;2057-01-09;2057-01-16;2058-01-15;2058-01-22;2058-12-01;2058-12-08;2059-12-24;2059-12-31;2060-12-04;2060-12-11;2061-12-09;2061-12-16;2062-12-15;2062-12-22;2063-12-03;2063-12-10;2064-12-21;2064-12-28;2065-12-19;2065-12-26;2066-12-22;2066-12-29;2067-12-12;2067-12-19;2068-12-20;2068-12-27;2070-01-15;2070-01-22;2070-12-22;2070-12-29
207;GRAND VERNAYES;OSIERS;2026-10-15;2026-11-09;2027-11-04;2027-11-29;2028-12-02;2028-12-27;2029-10-15;2029-11-09;2030-11-02;2030-11-27;2031-11-14;2031-12-09;2032-11-05;2032-11-30;2033-11-18;2033-12-13;2034-10-19;2034-11-13;2035-10-16;2035-11-10;2036-11-16;2036-12-11;2037-11-16;2037-12-11;2038-10-16;2038-11-10;2039-10-25;2039-11-19;2040-10-23;2040-11-17;2041-11-07;2041-12-02;2042-10-30;2042-11-24;2043-10-25;2043-11-19;2044-11-07;2044-12-02;2045-11-04;2045-11-29;2046-10-30;2046-11-24;2047-11-15;2047-12-10;2048-11-12;2048-12-07;2049-11-14;2049-12-09;2050-12-15;2051-01-09;2051-10-27;2051-11-21;2052-11-15;2052-12-10;2053-11-06;2053-12-01;2054-11-03;2054-11-28;2055-10-27;2055-11-21;2056-11-16;2056-12-11;2057-10-15;2057-11-09;2058-11-13;2058-12-08;2059-10-18;2059-11-12;2060-10-29;2060-11-23;2061-10-19;2061-11-13;2062-10-17;2062-11-11;2063-10-31;2063-11-25;2064-10-16;2064-11-10;2065-10-20;2065-11-14;2066-10-19;2066-11-13;2067-11-04;2067-11-29;2068-11-08;2068-12-03;2069-11-05;2069-11-30;2070-11-11;2070-12-06
208;OSIERS;LECHERE DE LA MONTAGNE SAINTE;2026-10-29;2026-11-15;2027-11-11;2027-11-28;2028-11-19;2028-12-06;2029-11-09;2029-11-26;2030-11-08;2030-11-25;2031-11-15;2031-12-02;2032-11-27;2032-12-14;2033-10-27;2033-11-13;2034-11-06;2034-11-23;2035-11-13;2035-11-30;2036-11-17;2036-12-04;2037-10-23;2037-11-09;2038-10-18;2038-11-04;2039-11-11;2039-11-28;2040-10-21;2040-11-07;2041-10-16;2041-11-02;2042-11-14;2042-12-01;2043-12-01;2043-12-18;2044-11-06;2044-11-23;2045-11-10;2045-11-27;2046-11-22;2046-12-09;2047-10-20;2047-11-06;2048-11-05;2048-11-22;2049-10-28;2049-11-14;2050-10-20;2050-11-06;2051-11-28;2051-12-15;2052-10-18;2052-11-04;2053-10-20;2053-11-06;2054-11-03;2054-11-20;2055-10-27;2055-11-13;2056-11-06;2056-11-23;2057-11-13;2057-11-30;2058-11-03;2058-11-20;2059-10-20;2059-11-06;2060-10-27;2060-11-13;2061-10-17;2061-11-03;2062-11-27;2062-12-14;2063-11-06;2063-11-23;2064-10-30;2064-11-16;2065-10-21;2065-11-07;2066-11-03;2066-11-20;2067-11-16;2067-12-03;2068-10-25;2068-11-11;2069-11-21;2069-12-08;2070-11-07;2070-11-24
220;GOUILLES;GRAND VERNAYES;2026-12-14;2026-12-22;2027-10-25;2027-11-02;2028-11-01;2028-11-09;2029-11-06;2029-11-14;2030-11-01;2030-11-09;2031-10-25;2031-11-02;2032-11-06;2032-11-14;2033-10-24;2033-11-01;2034-10-26;2034-11-03;2035-10-23;2035-10-31;2036-11-23;2036-12-01;2037-11-11;2037-11-19;2038-10-29;2038-11-06;2039-10-24;2039-11-01;2040-11-05;2040-11-13;2041-11-09;2041-11-17;2042-10-16;2042-10-24;2043-12-02;2043-12-10;2044-11-27;2044-12-05;2045-11-01;2045-11-09;2046-10-25;2046-11-02;2047-10-24;2047-11-01;2048-10-24;2048-11-01;2049-11-01;2049-11-09;2050-10-20;2050-10-28;2051-11-05;2051-11-13;2052-12-27;2053-01-04;2053-11-04;2053-11-12;2054-10-15;2054-10-23;2055-10-25;2055-11-02;2056-10-24;2056-11-01;2057-10-28;2057-11-05;2058-10-28;2058-11-05;2059-11-08;2059-11-16;2060-10-19;2060-10-27;2061-11-13;2061-11-21;2062-10-24;2062-11-01;2063-12-01;2063-12-09;2064-11-04;2064-11-12;2065-12-09;2065-12-17;2066-11-01;2066-11-09;2067-11-28;2067-12-06;2068-10-18;2068-10-26;2069-11-05;2069-11-13;2070-11-10;2070-11-18
238;PLAT;GRAND PRA;2026-11-01;2026-11-09;2027-10-17;2027-10-25;2028-10-23;2028-10-31;2029-10-25;2029-11-02;2030-11-05;2030-11-13;2031-10-16;2031-10-24;2032-12-02;2032-12-10;2033-10-23;2033-10-31;2034-11-11;2034-11-19;2035-10-25;2035-11-02;2036-12-06;2036-12-14;2037-11-04;2037-11-12;2038-11-06;2038-11-14;2039-10-29;2039-11-06;2040-10-17;2040-10-25;2041-10-25;2041-11-02;2042-10-28;2042-11-05;2043-11-20;2043-11-28;2044-11-08;2044-11-16;2045-10-18;2045-10-26;2046-11-01;2046-11-09;2047-10-30;2047-11-07;2048-10-15;2048-10-23;2049-11-10;2049-11-18;2050-11-08;2050-11-16;2051-10-31;2051-11-08;2052-11-17;2052-11-25;2053-10-19;2053-10-27;2054-10-19;2054-10-27;2055-12-25;2056-01-02;2056-10-15;2056-10-23;2057-10-15;2057-10-23;2058-11-01;2058-11-09;2059-10-20;2059-10-28;2060-11-02;2060-11-10;2061-10-30;2061-11-07;2062-10-24;2062-11-01;2063-10-16;2063-10-24;2064-11-03;2064-11-11;2065-10-20;2065-10-28;2066-12-02;2066-12-10;2067-11-14;2067-11-22;2068-12-18;2068-12-26;2069-10-25;2069-11-02;2070-10-22;2070-10-30
239;VAREPPE;LECHERE DE LA MONTAGNE SAINTE;2026-12-24;2027-01-14;2027-12-05;2027-12-26;2028-11-10;2028-12-01;2029-12-19;2030-01-09;2030-10-17;2030-11-07;2031-11-10;2031-12-01;2032-10-26;2032-11-16;2033-10-15;2033-11-05;2034-10-27;2034-11-17;2035-10-27;2035-11-17;2036-10-29;2036-11-19;2037-10-29;2037-11-19;2038-10-21;2038-11-11;2039-11-01;2039-11-22;2040-10-31;2040-11-21;2041-10-19;2041-11-09;2042-11-23;2042-12-14;2043-10-26;2043-11-16;2044-11-25;2044-12-16;2045-11-09;2045-11-30;2046-11-17;2046-12-08;2047-10-28;2047-11-18;2048-10-29;2048-11-19;2049-10-31;2049-11-21;2050-11-14;2050-12-05;2051-11-08;2051-11-29;2052-10-28;2052-11-18;2053-11-21;2053-12-12;2054-11-04;2054-11-25;2055-11-15;2055-12-06;2056-10-25;2056-11-15;2057-10-28;2057-11-18;2058-12-20;2059-01-10;2059-10-26;2059-11-16;2060-11-15;2060-12-06;2061-10-28;2061-11-18;2062-11-21;2062-12-12;2063-11-21;2063-12-12;2064-10-23;2064-11-13;2065-12-13;2066-01-03;2066-10-30;2066-11-20;2067-10-29;2067-11-19;2068-11-10;2068-12-01;2069-11-29;2069-12-20;2070-12-08;2070-12-29
248;BOTTE;FENIERES;2026-12-18;2026-12-22;2027-12-27;2027-12-31;2029-01-21;2029-01-25;2030-01-07;2030-01-11;2031-01-08;2031-01-12;2031-12-02;2031-12-06;2032-12-08;2032-12-12;2033-12-26;2033-12-30;2035-01-05;2035-01-09;2035-12-11;2035-12-15;2036-12-23;2036-12-27;2038-01-10;2038-01-14;2038-12-18;2038-12-22;2039-12-08;2039-12-12;2040-12-10;2040-12-14;2041-12-07;2041-12-11;2042-12-14;2042-12-18;2043-12-27;2043-12-31;2045-01-18;2045-01-22;2045-12-24;2045-12-28;2046-12-06;2046-12-10;2047-12-26;2047-12-30;2048-12-24;2048-12-28;2049-12-10;2049-12-14;2051-01-21;2051-01-25;2051-12-31;2052-01-04;2052-12-09;2052-12-13;2053-12-11;2053-12-15;2055-01-01;2055-01-05;2056-01-03;2056-01-07;2056-12-06;2056-12-10;2057-12-06;2057-12-10;2058-12-18;2058-12-22;2059-12-07;2059-12-11;2060-12-04;2060-12-08;2061-12-24;2061-12-28;2062-12-22;2062-12-26;2063-12-03;2063-12-07;2064-12-05;2064-12-09;2066-01-19;2066-01-23;2066-12-15;2066-12-19;2067-12-01;2067-12-05;2068-12-01;2068-12-05;2069-12-02;2069-12-06;2071-01-19;2071-01-23
