OBJECTID;NOM;Exutoire_1;Vidange2026;peche2026;Vidange2027;peche2027;Vidange2028;peche2028;Vidange2029;peche2029;Vidange2030;peche2030;Vidange2031;peche2031;Vidange2032;peche2032;Vidange2033;peche2033;Vidange2034;peche2034;Vidange2035;peche2035;Vidange2036;peche2036;Vidange2037;peche2037;Vidange2038;peche2038;Vidange2039;peche2039;Vidange2040;peche2040;Vidange2041;peche2041;Vidange2042;peche2042;Vidange2043;peche2043;Vidange2044;peche2044;Vidange2045;peche2045;Vidange2046;peche2046;Vidange2047;peche2047;Vidange2048;peche2048;Vidange2049;peche2049;Vidange2050;peche2050;Vidange2051;peche2051;Vidange2052;peche2052;Vidange2053;peche2053;Vidange2054;peche2054;Vidange2055;peche2055;Vidange2056;peche2056;Vidange2057;peche2057;Vidange2058;peche2058;Vidange2059;peche2059;Vidange2060;peche2060;Vidange2061;peche2061;Vidange2062;peche2062;Vidange2063;peche2063;Vidange2064;peche2064;Vidange2065;peche2065;Vidange2066;peche2066;Vidange2067;peche2067;Vidange2068;peche2068;Vidange2069;peche2069;Vidange2070;peche2070
0;LEYE;VAREPPE;2026-11-09;2026-11-07;2027-11-09;2027-11-07;2028-11-09;2028-11-07;2029-11-09;2029-11-07;2030-11-09;2030-11-07;2031-11-09;2031-11-07;2032-11-09;2032-11-07;2033-11-09;2033-11-07;2034-11-09;2034-11-07;2035-11-09;2035-11-07;2036-11-09;2036-11-07;2037-11-09;2037-11-07;2038-11-09;2038-11-07;2039-11-09;2039-11-07;2040-11-09;2040-11-07;2041-11-09;2041-11-07;2042-11-09;2042-11-07;2043-11-09;2043-11-07;2044-11-09;2044-11-07;2045-11-09;2045-11-07;2046-11-09;2046-11-07;2047-11-09;2047-11-07;2048-11-09;2048-11-07;2049-11-09;2049-11-07;2050-11-09;2050-11-07;2051-11-09;2051-11-07;2052-11-09;2052-11-07;2053-11-09;2053-11-07;2054-11-09;2054-11-07;2055-11-09;2055-11-07;2056-11-09;2056-11-07;2057-11-09;2057-11-07;2058-11-09;2058-11-07;2059-11-09;2059-11-07;2060-11-09;2060-11-07;2061-11-09;2061-11-07;2062-11-09;2062-11-07;2063-11-09;2063-11-07;2064-11-09;2064-11-07;2065-11-09;2065-11-07;2066-11-09;2066-11-07;2067-11-09;2067-11-07;2068-11-09;2068-11-07;2069-11-09;2069-11-07;2070-11-09;2070-11-07
29;ORCET;RIVIERE;2026-11-13;2026-11-05;2027-11-13;2027-11-05;2028-11-13;2028-11-05;2029-11-13;2029-11-05;2030-11-13;2030-11-05;2031-11-13;2031-11-05;2032-11-13;2032-11-05;2033-11-13;2033-11-05;2034-11-13;2034-11-05;2035-11-13;2035-11-05;2036-11-13;2036-11-05;2037-11-13;2037-11-05;2038-11-13;2038-11-05;2039-11-13;2039-11-05;2040-11-13;2040-11-05;2041-11-13;2041-11-05;2042-11-13;2042-11-05;2043-11-13;2043-11-05;2044-11-13;2044-11-05;2045-11-13;2045-11-05;2046-11-13;2046-11-05;2047-11-13;2047-11-05;2048-11-13;2048-11-05;2049-11-13;2049-11-05;2050-11-13;2050-11-05;2051-11-13;2051-11-05;2052-11-13;2052-11-05;2053-11-13;2053-11-05;2054-11-13;2054-11-05;2055-11-13;2055-11-05;2056-11-13;2056-11-05;2057-11-13;2057-11-05;2058-11-13;2058-11-05;2059-11-13;2059-11-05;2060-11-13;2060-11-05;2061-11-13;2061-11-05;2062-11-13;2062-11-05;2063-11-13;2063-11-05;2064-11-13;2064-11-05;2065-11-13;2065-11-05;2066-11-13;2066-11-05;2067-11-13;2067-11-05;2068-11-13;2068-11-05;2069-11-13;2069-11-05;2070-11-13;2070-11-05
120;LONGE ETANG;PETITES VERNAYS;2026-12-15;2026-12-21;2027-12-15;2027-12-21;2028-12-15;2028-12-21;2029-12-15;2029-12-21;2030-12-15;2030-12-21;2031-12-15;2031-12-21;2032-12-15;2032-12-21;2033-12-15;2033-12-21;2034-12-15;2034-12-21;2035-12-15;2035-12-21;2036-12-15;2036-12-21;2037-12-15;2037-12-21;2038-12-15;2038-12-21;2039-12-15;2039-12-21;2040-12-15;2040-12-21;2041-12-15;2041-12-21;2042-12-15;2042-12-21;2043-12-15;2043-12-21;2044-12-15;2044-12-21;2045-12-15;2045-12-21;2046-12-15;2046-12-21;2047-12-15;2047-12-21;2048-12-15;2048-12-21;2049-12-15;2049-12-21;2050-12-15;2050-12-21;2051-12-15;2051-12-21;2052-12-15;2052-12-21;2053-12-15;2053-12-21;2054-12-15;2054-12-21;2055-12-15;2055-12-21;2056-12-15;2056-12-21;2057-12-15;2057-12-21;2058-12-15;2058-12-21;2059-12-15;2059-12-21;2060-12-15;2060-12-21;2061-12-15;2061-12-21;2062-12-15;2062-12-21;2063-12-15;2063-12-21;2064-12-15;2064-12-21;2065-12-15;2065-12-21;2066-12-15;2066-12-21;2067-12-15;2067-12-21;2068-12-15;2068-12-21;2069-12-15;2069-12-21;2070-12-15;2070-12-21
199;GRAND PRA;ORCET;2026-10-22;2026-10-29;2027-10-22;2027-10-29;2028-10-22;2028-10-29;2029-10-22;2029-10-29;2030-10-22;2030-10-29;2031-10-22;2031-10-29;2032-10-22;2032-10-29;2033-10-22;2033-10-29;2034-10-22;2034-10-29;2035-10-22;2035-10-29;2036-10-22;2036-10-29;2037-10-22;2037-10-29;2038-10-22;2038-10-29;2039-10-22;2039-10-29;2040-10-22;2040-10-29;2041-10-22;2041-10-29;2042-10-22;2042-10-29;2043-10-22;2043-10-29;2044-10-22;2044-10-29;2045-10-22;2045-10-29;2046-10-22;2046-10-29;2047-10-22;2047-10-29;2048-10-22;2048-10-29;2049-10-22;2049-10-29;2050-10-22;2050-10-29;2051-10-22;2051-10-29;2052-10-22;2052-10-29;2053-10-22;2053-10-29;2054-10-22;2054-10-29;2055-10-22;2055-10-29;2056-10-22;2056-10-29;2057-10-22;2057-10-29;2058-10-22;2058-10-29;2059-10-22;2059-10-29;2060-10-22;2060-10-29;2061-10-22;2061-10-29;2062-10-22;2062-10-29;2063-10-22;2063-10-29;2064-10-22;2064-10-29;2065-10-22;2065-10-29;2066-10-22;2066-10-29;2067-10-22;2067-10-29;2068-10-22;2068-10-29;2069-10-22;2069-10-29;2070-10-22;2070-10-29
207;GRAND VERNAYES;OSIERS;2026-11-13;2026-12-08;2027-11-13;2027-12-08;2028-11-13;2028-12-08;2029-11-13;2029-12-08;2030-11-13;2030-12-08;2031-11-13;2031-12-08;2032-11-13;2032-12-08;2033-11-13;2033-12-08;2034-11-13;2034-12-08;2035-11-13;2035-12-08;2036-11-13;2036-12-08;2037-11-13;2037-12-08;2038-11-13;2038-12-08;2039-11-13;2039-12-08;2040-11-13;2040-12-08;2041-11-13;2041-12-08;2042-11-13;2042-12-08;2043-11-13;2043-12-08;2044-11-13;2044-12-08;2045-11-13;2045-12-08;2046-11-13;2046-12-08;2047-11-13;2047-12-08;2048-11-13;2048-12-08;2049-11-13;2049-12-08;2050-11-13;2050-12-08;2051-11-13;2051-12-08;2052-11-13;2052-12-08;2053-11-13;2053-12-08;2054-11-13;2054-12-08;2055-11-13;2055-12-08;2056-11-13;2056-12-08;2057-11-13;2057-12-08;2058-11-13;2058-12-08;2059-11-13;2059-12-08;2060-11-13;2060-12-08;2061-11-13;2061-12-08;2062-11-13;2062-12-08;2063-11-13;2063-12-08;2064-11-13;2064-12-08;2065-11-13;2065-12-08;2066-11-13;2066-12-08;2067-11-13;2067-12-08;2068-11-13;2068-12-08;2069-11-13;2069-12-08;2070-11-13;2070-12-08
208;OSIERS;LECHERE DE LA MONTAGNE SAINTE;2026-11-07;2026-11-24;2027-11-07;2027-11-24;2028-11-07;2028-11-24;2029-11-07;2029-11-24;2030-11-07;2030-11-24;2031-11-07;2031-11-24;2032-11-07;2032-11-24;2033-11-07;2033-11-24;2034-11-07;2034-11-24;2035-11-07;2035-11-24;2036-11-07;2036-11-24;2037-11-07;2037-11-24;2038-11-07;2038-11-24;2039-11-07;2039-11-24;2040-11-07;2040-11-24;2041-11-07;2041-11-24;2042-11-07;2042-11-24;2043-11-07;2043-11-24;2044-11-07;2044-11-24;2045-11-07;2045-11-24;2046-11-07;2046-11-24;2047-11-07;2047-11-24;2048-11-07;2048-11-24;2049-11-07;2049-11-24;2050-11-07;2050-11-24;2051-11-07;2051-11-24;2052-11-07;2052-11-24;2053-11-07;2053-11-24;2054-11-07;2054-11-24;2055-11-07;2055-11-24;2056-11-07;2056-11-24;2057-11-07;2057-11-24;2058-11-07;2058-11-24;2059-11-07;2059-11-24;2060-11-07;2060-11-24;2061-11-07;2061-11-24;2062-11-07;2062-11-24;2063-11-07;2063-11-24;2064-11-07;2064-11-24;2065-11-07;2065-11-24;2066-11-07;2066-11-24;2067-11-07;2067-11-24;2068-11-07;2068-11-24;2069-11-07;2069-11-24;2070-11-07;2070-11-24
220;GOUILLES;GRAND VERNAYES;2026-11-01;2026-11-09;2027-11-01;2027-11-09;2028-11-01;2028-11-09;2029-11-01;2029-11-09;2030-11-01;2030-11-09;2031-11-01;2031-11-09;2032-11-01;2032-11-09;2033-11-01;2033-11-09;2034-11-01;2034-11-09;2035-11-01;2035-11-09;2036-11-01;2036-11-09;2037-11-01;2037-11-09;2038-11-01;2038-11-09;2039-11-01;2039-11-09;2040-11-01;2040-11-09;2041-11-01;2041-11-09;2042-11-01;2042-11-09;2043-11-01;2043-11-09;2044-11-01;2044-11-09;2045-11-01;2045-11-09;2046-11-01;2046-11-09;2047-11-01;2047-11-09;2048-11-01;2048-11-09;2049-11-01;2049-11-09;2050-11-01;2050-11-09;2051-11-01;2051-11-09;2052-11-01;2052-11-09;2053-11-01;2053-11-09;2054-11-01;2054-11-09;2055-11-01;2055-11-09;2056-11-01;2056-11-09;2057-11-01;2057-11-09;2058-11-01;2058-11-09;2059-11-01;2059-11-09;2060-11-01;2060-11-09;2061-11-01;2061-11-09;2062-11-01;2062-11-09;2063-11-01;2063-11-09;2064-11-01;2064-11-09;2065-11-01;2065-11-09;2066-11-01;2066-11-09;2067-11-01;2067-11-09;2068-11-01;2068-11-09;2069-11-01;2069-11-09;2070-11-01;2070-11-09
238;PLAT;GRAND PRA;2026-11-08;2026-11-16;2027-11-08;2027-11-16;2028-11-08;2028-11-16;2029-11-08;2029-11-16;2030-11-08;2030-11-16;2031-11-08;2031-11-16;2032-11-08;2032-11-16;2033-11-08;2033-11-16;2034-11-08;2034-11-16;2035-11-08;2035-11-16;2036-11-08;2036-11-16;2037-11-08;2037-11-16;2038-11-08;2038-11-16;2039-11-08;2039-11-16;2040-11-08;2040-11-16;2041-11-08;2041-11-16;2042-11-08;2042-11-16;2043-11-08;2043-11-16;2044-11-08;2044-11-16;2045-11-08;2045-11-16;2046-11-08;2046-11-16;2047-11-08;2047-11-16;2048-11-08;2048-11-16;2049-11-08;2049-11-16;2050-11-08;2050-11-16;2051-11-08;2051-11-16;2052-11-08;2052-11-16;2053-11-08;2053-11-16;2054-11-08;2054-11-16;2055-11-08;2055-11-16;2056-11-08;2056-11-16;2057-11-08;2057-11-16;2058-11-08;2058-11-16;2059-11-08;2059-11-16;2060-11-08;2060-11-16;2061-11-08;2061-11-16;2062-11-08;2062-11-16;2063-11-08;2063-11-16;2064-11-08;2064-11-16;2065-11-08;2065-11-16;2066-11-08;2066-11-16;2067-11-08;2067-11-16;2068-11-08;2068-11-16;2069-11-08;2069-11-16;2070-11-08;2070-11-16
239;VAREPPE;LECHERE DE LA MONTAGNE SAINTE;2026-10-16;2026-11-06;2027-10-16;2027-11-06;2028-10-16;2028-11-06;2029-10-16;2029-11-06;2030-10-16;2030-11-06;2031-10-16;2031-11-06;2032-10-16;2032-11-06;2033-10-16;2033-11-06;2034-10-16;2034-11-06;2035-10-16;2035-11-06;2036-10-16;2036-11-06;2037-10-16;2037-11-06;2038-10-16;2038-11-06;2039-10-16;2039-11-06;2040-10-16;2040-11-06;2041-10-16;2041-11-06;2042-10-16;2042-11-06;2043-10-16;2043-11-06;2044-10-16;2044-11-06;2045-10-16;2045-11-06;2046-10-16;2046-11-06;2047-10-16;2047-11-06;2048-10-16;2048-11-06;2049-10-16;2049-11-06;2050-10-16;2050-11-06;2051-10-16;2051-11-06;2052-10-16;2052-11-06;2053-10-16;2053-11-06;2054-10-16;2054-11-06;2055-10-16;2055-11-06;2056-10-16;2056-11-06;2057-10-16;2057-11-06;2058-10-16;2058-11-06;2059-10-16;2059-11-06;2060-10-16;2060-11-06;2061-10-16;2061-11-06;2062-10-16;2062-11-06;2063-10-16;2063-11-06;2064-10-16;2064-11-06;2065-10-16;2065-11-06;2066-10-16;2066-11-06;2067-10-16;2067-11-06;2068-10-16;2068-11-06;2069-10-16;2069-11-06;2070-10-16;2070-11-06
248;BOTTE;FENIERES;2026-10-27;2026-10-31;2027-10-27;2027-10-31;2028-10-27;2028-10-31;2029-10-27;2029-10-31;2030-10-27;2030-10-31;2031-10-27;2031-10-31;2032-10-27;2032-10-31;2033-10-27;2033-10-31;2034-10-27;2034-10-31;2035-10-27;2035-10-31;2036-10-27;2036-10-31;2037-10-27;2037-10-31;2038-10-27;2038-10-31;2039-10-27;2039-10-31;2040-10-27;2040-10-31;2041-10-27;2041-10-31;2042-10-27;2042-10-31;2043-10-27;2043-10-31;2044-10-27;2044-10-31;2045-10-27;2045-10-31;2046-10-27;2046-10-31;2047-10-27;2047-10-31;2048-10-27;2048-10-31;2049-10-27;2049-10-31;2050-10-27;2050-10-31;2051-10-27;2051-10-31;2052-10-27;2052-10-31;2053-10-27;2053-10-31;2054-10-27;2054-10-31;2055-10-27;2055-10-31;2056-10-27;2056-10-31;2057-10-27;2057-10-31;2058-10-27;2058-10-31;2059-10-27;2059-10-31;2060-10-27;2060-10-31;2061-10-27;2061-10-31;2062-10-27;2062-10-31;2063-10-27;2063-10-31;2064-10-27;2064-10-31;2065-10-27;2065-10-31;2066-10-27;2066-10-31;2067-10-27;2067-10-31;2068-10-27;2068-10-31;2069-10-27;2069-10-31;2070-10-27;2070-10-31
