OBJECTID;NOM;Exutoire_1;Vidange2026;peche2026;Vidange2027;peche2027;Vidange2028;peche2028;Vidange2029;peche2029;Vidange2030;peche2030;Vidange2031;peche2031;Vidange2032;peche2032;Vidange2033;peche2033;Vidange2034;peche2034;Vidange2035;peche2035;Vidange2036;peche2036;Vidange2037;peche2037;Vidange2038;peche2038;Vidange2039;peche2039;Vidange2040;peche2040;Vidange2041;peche2041;Vidange2042;peche2042;Vidange2043;peche2043;Vidange2044;peche2044;Vidange2045;peche2045;Vidange2046;peche2046;Vidange2047;peche2047;Vidange2048;peche2048;Vidange2049;peche2049;Vidange2050;peche2050;Vidange2051;peche2051;Vidange2052;peche2052;Vidange2053;peche2053;Vidange2054;peche2054;Vidange2055;peche2055;Vidange2056;peche2056;Vidange2057;peche2057;Vidange2058;peche2058;Vidange2059;peche2059;Vidange2060;peche2060;Vidange2061;peche2061;Vidange2062;peche2062;Vidange2063;peche2063;Vidange2064;peche2064;Vidange2065;peche2065;Vidange2066;peche2066;Vidange2067;peche2067;Vidange2068;peche2068;Vidange2069;peche2069;Vidange2070;peche2070
0;LEYE;VAREPPE;2026-11-18;2026-11-16;2027-12-05;2027-12-03;2028-12-06;2028-12-04;2029-10-16;2029-10-14;2031-01-13;2031-01-11;2031-12-31;2031-12-29;2032-10-25;2032-10-23;2034-01-26;2034-01-24;2034-10-29;2034-10-27;2035-10-20;2035-10-18;2036-10-27;2036-10-25;2037-11-12;2037-11-10;2038-12-27;2038-12-25;2039-10-25;2039-10-23;2040-10-20;2040-10-18;2041-10-24;2041-10-22;2042-11-22;2042-11-20;2043-11-01;2043-10-30;2044-10-19;2044-10-17;2045-12-31;2045-12-29;2046-11-24;2046-11-22;2047-11-05;2047-11-03;2049-01-01;2048-12-30;2049-10-26;2049-10-24;2050-12-11;2050-12-09;2051-11-16;2051-11-14;2052-12-21;2052-12-19;2053-10-24;2053-10-22;2054-10-16;2054-10-14;2056-02-10;2056-02-08;2057-01-09;2057-01-07;2057-10-15;2057-10-13;2058-11-25;2058-11-23;2059-10-30;2059-10-28;2060-10-19;2060-10-17;2061-11-16;2061-11-14;2062-10-16;2062-10-14;2064-01-05;2064-01-03;2064-10-25;2064-10-23;2065-12-25;2065-12-23;2067-01-17;2067-01-15;2067-11-14;2067-11-12;2068-11-02;2068-10-31;2069-11-14;2069-11-12;2071-01-07;2071-01-05
29;ORCET;RIVIERE;2026-12-16;2026-12-08;2027-10-30;2027-10-22;2028-10-26;2028-10-18;2029-12-31;2029-12-23;2030-11-13;2030-11-05;2031-10-29;2031-10-21;2033-02-01;2033-01-24;2034-02-02;2034-01-25;2034-12-07;2034-11-29;2035-10-25;2035-10-17;2036-10-25;2036-10-17;2037-11-02;2037-10-25;2038-11-01;2038-10-24;2039-10-28;2039-10-20;2040-12-22;2040-12-14;2041-10-30;2041-10-22;2042-10-21;2042-10-13;2043-11-26;2043-11-18;2044-11-04;2044-10-27;2045-11-05;2045-10-28;2046-11-04;2046-10-27;2047-10-22;2047-10-14;2048-11-12;2048-11-04;2049-10-15;2049-10-07;2050-10-18;2050-10-10;2052-01-04;2051-12-27;2052-10-15;2052-10-07;2053-10-19;2053-10-11;2054-11-05;2054-10-28;2055-11-18;2055-11-10;2056-12-28;2056-12-20;2057-12-01;2057-11-23;2058-10-16;2058-10-08;2059-11-03;2059-10-26;2060-12-12;2060-12-04;2061-12-01;2061-11-23;2062-11-01;2062-10-24;2063-11-23;2063-11-15;2064-10-20;2064-10-12;2065-10-27;2065-10-19;2066-11-03;2066-10-26;2067-10-19;2067-10-11;2069-01-04;2068-12-27;2069-12-08;2069-11-30;2070-11-07;2070-10-30
120;LONGE ETANG;PETITES VERNAYS;2026-10-21;2026-10-27;2027-10-23;2027-10-29;2028-10-30;2028-11-05;2029-11-10;2029-11-16;2030-10-23;2030-10-29;2031-12-24;2031-12-30;2032-10-15;2032-10-21;2033-11-08;2033-11-14;2034-10-30;2034-11-05;2035-11-11;2035-11-17;2036-10-27;2036-11-02;2038-01-14;2038-01-20;2038-12-14;2038-12-20;2039-10-30;2039-11-05;2040-12-16;2040-12-22;2041-10-31;2041-11-06;2042-11-03;2042-11-09;2043-11-23;2043-11-29;2044-10-23;2044-10-29;2045-11-06;2045-11-12;2046-10-18;2046-10-24;2047-12-14;2047-12-20;2048-11-21;2048-11-27;2049-10-25;2049-10-31;2050-11-17;2050-11-23;2051-11-07;2051-11-13;2052-12-14;2052-12-20;2053-12-14;2053-12-20;2054-10-15;2054-10-21;2055-10-25;2055-10-31;2057-01-06;2057-01-12;2057-11-16;2057-11-22;2058-12-13;2058-12-19;2059-11-30;2059-12-06;2060-12-19;2060-12-25;2061-10-26;2061-11-01;2062-10-30;2062-11-05;2063-11-11;2063-11-17;2064-11-28;2064-12-04;2065-11-04;2065-11-10;2066-12-01;2066-12-07;2067-12-30;2068-01-05;2068-12-04;2068-12-10;2069-10-17;2069-10-23;2070-11-29;2070-12-05
199;GRAND PRA;ORCET;2026-12-26;2027-01-02;2027-10-16;2027-10-23;2028-11-13;2028-11-20;2029-10-28;2029-11-04;2030-11-17;2030-11-24;2031-12-07;2031-12-14;2032-10-25;2032-11-01;2033-11-30;2033-12-07;2034-11-13;2034-11-20;2035-10-31;2035-11-07;2036-11-17;2036-11-24;2038-01-01;2038-01-08;2038-10-25;2038-11-01;2039-11-03;2039-11-10;2040-10-17;2040-10-24;2041-11-17;2041-11-24;2042-10-31;2042-11-07;2043-12-19;2043-12-26;2044-10-21;2044-10-28;2045-11-15;2045-11-22;2046-11-28;2046-12-05;2047-10-21;2047-10-28;2048-12-03;2048-12-10;2049-10-17;2049-10-24;2050-11-15;2050-11-22;2052-01-05;2052-01-12;2052-11-05;2052-11-12;2053-12-11;2053-12-18;2054-11-17;2054-11-24;2055-10-21;2055-10-28;2056-12-07;2056-12-14;2057-10-18;2057-10-25;2058-10-18;2058-10-25;2059-10-20;2059-10-27;2060-10-20;2060-10-27;2061-12-12;2061-12-19;2062-10-21;2062-10-28;2063-10-19;2063-10-26;2064-10-28;2064-11-04;2065-11-21;2065-11-28;2066-11-29;2066-12-06;2067-11-17;2067-11-24;2068-10-17;2068-10-24;2069-11-09;2069-11-16;2070-10-23;2070-10-30
207;GRAND VERNAYES;OSIERS;2026-11-08;2026-12-03;2027-10-21;2027-11-15;2028-11-01;2028-11-26;2029-12-19;2030-01-13;2030-12-05;2030-12-30;2031-12-10;2032-01-04;2032-11-23;2032-12-18;2033-10-31;2033-11-25;2034-11-10;2034-12-05;2035-11-10;2035-12-05;2036-11-30;2036-12-25;2037-10-25;2037-11-19;2038-12-06;2038-12-31;2039-11-11;2039-12-06;2040-11-29;2040-12-24;2041-12-23;2042-01-17;2042-12-12;2043-01-06;2044-01-08;2044-02-02;2044-10-27;2044-11-21;2045-11-06;2045-12-01;2046-10-21;2046-11-15;2047-12-29;2048-01-23;2048-11-21;2048-12-16;2049-10-26;2049-11-20;2050-10-21;2050-11-15;2052-01-21;2052-02-15;2052-11-26;2052-12-21;2053-10-29;2053-11-23;2055-01-07;2055-02-01;2055-12-09;2056-01-03;2056-10-19;2056-11-13;2057-11-02;2057-11-27;2058-12-27;2059-01-21;2059-11-07;2059-12-02;2060-10-21;2060-11-15;2061-11-06;2061-12-01;2062-11-03;2062-11-28;2064-01-07;2064-02-01;2064-12-14;2065-01-08;2065-11-17;2065-12-12;2066-10-16;2066-11-10;2067-10-17;2067-11-11;2068-10-20;2068-11-14;2069-10-16;2069-11-10;2070-10-27;2070-11-21
208;OSIERS;LECHERE DE LA MONTAGNE SAINTE;2026-12-26;2027-01-12;2027-10-23;2027-11-09;2028-10-22;2028-11-08;2029-10-26;2029-11-12;2030-11-26;2030-12-13;2031-10-25;2031-11-11;2032-10-15;2032-11-01;2033-12-15;2034-01-01;2034-12-06;2034-12-23;2035-11-18;2035-12-05;2036-10-20;2036-11-06;2038-01-11;2038-01-28;2038-11-16;2038-12-03;2039-12-23;2040-01-09;2040-11-14;2040-12-01;2041-12-22;2042-01-08;2042-11-03;2042-11-20;2043-11-17;2043-12-04;2044-11-16;2044-12-03;2045-10-19;2045-11-05;2046-10-29;2046-11-15;2047-12-27;2048-01-13;2049-01-03;2049-01-20;2049-11-05;2049-11-22;2050-10-29;2050-11-15;2051-11-26;2051-12-13;2052-10-20;2052-11-06;2053-11-08;2053-11-25;2054-11-01;2054-11-18;2056-01-23;2056-02-09;2056-10-15;2056-11-01;2057-11-06;2057-11-23;2058-10-18;2058-11-04;2059-10-16;2059-11-02;2060-11-15;2060-12-02;2061-11-17;2061-12-04;2062-11-09;2062-11-26;2063-11-02;2063-11-19;2064-11-23;2064-12-10;2065-10-16;2065-11-02;2067-01-08;2067-01-25;2067-11-26;2067-12-13;2068-12-13;2068-12-30;2069-12-03;2069-12-20;2070-10-16;2070-11-02
220;GOUILLES;GRAND VERNAYES;2026-10-27;2026-11-04;2027-11-13;2027-11-21;2028-10-28;2028-11-05;2029-12-09;2029-12-17;2030-10-26;2030-11-03;2031-10-17;2031-10-25;2032-10-16;2032-10-24;2033-11-07;2033-11-15;2034-10-22;2034-10-30;2035-10-26;2035-11-03;2036-11-13;2036-11-21;2037-12-22;2037-12-30;2038-11-06;2038-11-14;2039-12-04;2039-12-12;2041-01-07;2041-01-15;2041-11-04;2041-11-12;2042-11-08;2042-11-16;2043-11-14;2043-11-22;2044-10-22;2044-10-30;2045-11-04;2045-11-12;2046-11-22;2046-11-30;2047-10-24;2047-11-01;2048-10-18;2048-10-26;2049-10-15;2049-10-23;2050-11-02;2050-11-10;2051-10-30;2051-11-07;2052-11-10;2052-11-18;2053-11-22;2053-11-30;2054-10-27;2054-11-04;2056-01-23;2056-01-31;2056-11-01;2056-11-09;2057-10-31;2057-11-08;2058-10-24;2058-11-01;2059-11-09;2059-11-17;2060-10-17;2060-10-25;2061-10-22;2061-10-30;2062-10-17;2062-10-25;2063-11-03;2063-11-11;2064-11-14;2064-11-22;2065-11-10;2065-11-18;2066-11-14;2066-11-22;2067-11-22;2067-11-30;2068-12-09;2068-12-17;2069-11-29;2069-12-07;2070-11-01;2070-11-09
238;PLAT;GRAND PRA;2026-10-18;2026-10-26;2027-12-12;2027-12-20;2028-11-02;2028-11-10;2029-11-24;2029-12-02;2030-11-02;2030-11-10;2031-10-16;2031-10-24;2032-11-20;2032-11-28;2034-02-05;2034-02-13;2034-11-08;2034-11-16;2035-12-02;2035-12-10;2036-12-18;2036-12-26;2037-11-29;2037-12-07;2038-12-16;2038-12-24;2040-01-11;2040-01-19;2040-12-29;2041-01-06;2041-12-03;2041-12-11;2042-11-08;2042-11-16;2044-01-06;2044-01-14;2045-01-14;2045-01-22;2045-10-24;2045-11-01;2046-11-04;2046-11-12;2047-11-14;2047-11-22;2048-10-16;2048-10-24;2049-11-03;2049-11-11;2050-12-12;2050-12-20;2051-10-25;2051-11-02;2053-01-02;2053-01-10;2053-11-03;2053-11-11;2054-11-15;2054-11-23;2055-10-20;2055-10-28;2056-10-27;2056-11-04;2057-12-03;2057-12-11;2058-12-07;2058-12-15;2059-12-10;2059-12-18;2060-11-11;2060-11-19;2061-10-24;2061-11-01;2063-01-27;2063-02-04;2063-11-22;2063-11-30;2064-10-16;2064-10-24;2066-01-09;2066-01-17;2066-11-28;2066-12-06;2067-10-18;2067-10-26;2068-10-17;2068-10-25;2069-10-15;2069-10-23;2070-11-06;2070-11-14
239;VAREPPE;LECHERE DE LA MONTAGNE SAINTE;2026-10-17;2026-11-07;2027-10-20;2027-11-10;2028-11-18;2028-12-09;2029-11-07;2029-11-28;2030-10-31;2030-11-21;2031-10-29;2031-11-19;2032-11-17;2032-12-08;2033-12-11;2034-01-01;2034-11-13;2034-12-04;2035-10-22;2035-11-12;2036-11-30;2036-12-21;2037-11-13;2037-12-04;2038-10-29;2038-11-19;2039-11-01;2039-11-22;2040-11-09;2040-11-30;2041-12-10;2041-12-31;2042-11-20;2042-12-11;2043-12-25;2044-01-15;2045-01-07;2045-01-28;2045-12-01;2045-12-22;2046-10-18;2046-11-08;2047-11-13;2047-12-04;2048-11-15;2048-12-06;2049-11-18;2049-12-09;2050-10-23;2050-11-13;2051-10-31;2051-11-21;2052-11-17;2052-12-08;2053-11-04;2053-11-25;2054-10-20;2054-11-10;2055-11-21;2055-12-12;2056-12-09;2056-12-30;2057-11-04;2057-11-25;2058-10-24;2058-11-14;2059-11-10;2059-12-01;2060-10-15;2060-11-05;2061-10-23;2061-11-13;2062-12-29;2063-01-19;2063-12-02;2063-12-23;2064-10-29;2064-11-19;2065-10-26;2065-11-16;2066-10-17;2066-11-07;2067-11-07;2067-11-28;2068-12-28;2069-01-18;2069-11-10;2069-12-01;2070-10-20;2070-11-10
248;BOTTE;FENIERES;2027-01-22;2027-01-26;2027-12-25;2027-12-29;2028-12-12;2028-12-16;2029-10-19;2029-10-23;2030-12-28;2031-01-01;2031-11-02;2031-11-06;2032-10-27;2032-10-31;2033-11-11;2033-11-15;2034-11-10;2034-11-14;2035-11-29;2035-12-03;2036-10-31;2036-11-04;2037-11-10;2037-11-14;2038-11-10;2038-11-14;2039-12-14;2039-12-18;2040-12-06;2040-12-10;2041-12-01;2041-12-05;2042-11-05;2042-11-09;2043-11-06;2043-11-10;2045-02-01;2045-02-05;2045-10-15;2045-10-19;2046-12-20;2046-12-24;2047-10-22;2047-10-26;2048-10-27;2048-10-31;2049-11-20;2049-11-24;2050-11-13;2050-11-17;2051-12-18;2051-12-22;2052-12-30;2053-01-03;2053-12-30;2054-01-03;2054-11-03;2054-11-07;2055-12-19;2055-12-23;2056-11-12;2056-11-16;2057-11-21;2057-11-25;2058-11-05;2058-11-09;2059-10-26;2059-10-30;2060-12-17;2060-12-21;2061-12-15;2061-12-19;2063-01-22;2063-01-26;2063-10-24;2063-10-28;2064-10-16;2064-10-20;2065-11-27;2065-12-01;2066-12-31;2067-01-04;2067-11-23;2067-11-27;2068-12-01;2068-12-05;2069-11-19;2069-11-23;2070-12-18;2070-12-22
