Type_OS;Code_OS;CN sol C Fav;CN sol C Defav;CN sol D Fav;CN sol D Defav
batis denses;1;99;99;99;99
batis diffus;2;89,03;91,94;93,39;96,25
zones ind et com;3;99;99;99;99
routes;4;99;99;99;99
colza;5;81,72;83,18;87,57;89,03
cereales pailles;6;81,72;83,18;87,57;89,03
protéagineux;7;81,72;83,18;87,57;89,03
soja;8;84,64;89,03;90,49;93,39
tournesol;9;84,64;89,03;90,49;93,39
maïs;10;84,64;89,03;90,49;93,39
riz;11;84,64;89,03;90,49;93,39
tubercules racines;12;81,72;83,18;87,57;89,03
prairies;13;68,93;84,64;77,38;89,03
vergers;14;84,64;89,03;90,49;93,39
vignes;15;84,64;89,03;90,49;93,39
forets feuillus;16;63,51;67,55;73,11;75,95
forets coniferes;17;63,51;67,55;73,11;75,95
pelouses;18;68,93;84,64;77,38;89,03
landes ligneuses;19;57,03;63,51;67,55;73,11
