OBJECTID,NOM,Exutoire_1,Vidange2010,peche2010,Vidange2011,peche2011,Vidange2012,peche2012,Vidange2013,peche2013,Vidange2014,peche2014,Vidange2015,peche2015,Vidange2016,peche2016,Vidange2017,peche2017,Vidange2018,peche2018,Vidange2019,peche2019,Vidange2020,peche2020,Vidange2021,peche2021,Vidange2022,peche2022,Vidange2023,peche2023,Vidange2024,peche2024,Vidange2025,peche2025
801,BIETONNAY,TRIPOUX,2010-12-05,2010-12-15,2011-12-05,2011-12-15,2012-12-05,2012-12-15,2013-12-05,2013-12-15,2014-12-05,2014-12-15,2015-12-05,2015-12-15,2016-12-05,2016-12-15,2017-12-05,2017-12-15,2018-12-05,2018-12-15,2019-12-05,2019-12-15,2020-12-05,2020-12-15,2021-12-05,2021-12-15,2022-12-05,2022-12-15,2023-12-05,2023-12-15,2024-12-05,2024-12-15,2025-12-05,2025-12-15
762,CARRONNIER,FOUR,2010-11-20,2010-11-30,2011-11-20,2011-11-30,2012-11-20,2012-11-30,2013-11-20,2013-11-30,2014-11-20,2014-11-30,2015-11-20,2015-11-30,2016-11-20,2016-11-30,2017-11-20,2017-11-30,2018-11-20,2018-11-30,2019-11-20,2019-11-30,2020-11-20,2020-11-30,2021-11-20,2021-11-30,2022-11-20,2022-11-30,2023-06-24,2023-07-04,2024-11-20,2024-11-30,2025-10-27,2025-11-06
871,CHANTEMERLE,LONGEVAVRE,2010-12-26,2010-12-31,2011-12-26,2011-12-31,2012-12-26,2012-12-31,2013-12-26,2013-12-31,2014-12-26,2014-12-31,2015-12-26,2015-12-31,2016-12-26,2016-12-31,2017-12-26,2017-12-31,2018-12-26,2018-12-31,2019-12-26,2019-12-31,2020-12-26,2020-12-31,2021-12-26,2021-12-31,2022-12-26,2022-12-31,2023-12-26,2023-12-31,2024-12-26,2024-12-31,2025-12-26,2025-12-31
620,CORVEYZIEUX,LIGNIERE,2010-11-05,2010-11-15,2011-11-05,2011-11-15,2012-11-05,2012-11-15,2013-11-05,2013-11-15,2014-11-05,2014-11-15,2015-11-05,2015-11-15,2016-11-05,2016-11-15,2017-11-05,2017-11-15,2018-11-05,2018-11-15,2019-11-05,2019-11-15,2020-11-05,2020-11-15,2021-11-05,2021-11-15,2022-11-05,2022-11-15,2023-11-05,2023-11-15,2024-11-05,2024-11-15,2025-11-01,2025-11-11
730,FOUR,PLAT,2010-10-18,2010-10-28,2011-10-18,2011-10-28,2012-10-18,2012-10-28,2013-10-18,2013-10-28,2014-10-18,2014-10-28,2015-10-18,2015-10-28,2016-10-18,2016-10-28,2017-10-18,2017-10-28,2018-10-18,2018-10-28,2019-10-18,2019-10-28,2020-10-18,2020-10-28,2021-10-18,2021-10-28,2022-10-18,2022-10-28,2023-10-18,2023-10-28,2024-10-18,2024-10-28,2025-10-18,2025-10-28
583,FRENE,PETIT ETANG LA ROUE,2010-10-31,2010-11-04,2011-10-31,2011-11-04,2012-10-31,2012-11-04,2013-10-31,2013-11-04,2014-10-31,2014-11-04,2015-10-31,2015-11-04,2016-10-31,2016-11-04,2017-10-31,2017-11-04,2018-10-31,2018-11-04,2019-10-31,2019-11-04,2020-10-31,2020-11-04,2021-10-31,2021-11-04,2022-10-31,2022-11-04,2023-10-31,2023-11-04,2024-10-31,2024-11-04,2025-10-31,2025-11-04
610,GRAND ETANG LA ROUE,CORVEYZIEUX,2010-11-20,2010-11-30,2011-11-20,2011-11-30,2012-11-20,2012-11-30,2013-11-20,2013-11-30,2014-11-20,2014-11-30,2015-11-20,2015-11-30,2016-11-20,2016-11-30,2017-11-20,2017-11-30,2018-11-20,2018-11-30,2019-11-20,2019-11-30,2020-11-20,2020-11-30,2021-11-20,2021-11-30,2022-11-20,2022-11-30,2023-11-20,2023-11-30,2024-11-20,2024-11-30,2025-11-04,2025-11-14
695,GRAND RONZUEL,FRENE,2010-11-16,2010-11-26,2011-11-16,2011-11-26,2012-11-16,2012-11-26,2013-11-16,2013-11-26,2014-11-16,2014-11-26,2015-11-16,2015-11-26,2016-11-16,2016-11-26,2017-11-16,2017-11-26,2018-11-16,2018-11-26,2019-11-16,2019-11-26,2020-11-16,2020-11-26,2021-11-16,2021-11-26,2022-11-16,2022-11-26,2023-11-16,2023-11-26,2024-11-16,2024-11-26,2025-11-16,2025-11-26
826,GRANGES,BIETONNAY,2010-12-28,2010-12-31,2011-12-28,2011-12-31,2012-12-28,2012-12-31,2013-12-28,2013-12-31,2014-12-28,2014-12-31,2015-12-28,2015-12-31,2016-12-28,2016-12-31,2017-12-28,2017-12-31,2018-12-28,2018-12-31,2019-12-28,2019-12-31,2020-12-28,2020-12-31,2021-12-28,2021-12-31,2022-12-28,2022-12-31,2023-12-28,2023-12-31,2024-12-28,2024-12-31,2025-12-28,2025-12-31
782,LECHERE,FOUR,2010-06-01,2010-06-05,2011-06-01,2011-06-05,2012-06-01,2012-06-05,2013-06-01,2013-06-05,2014-06-01,2014-06-05,2015-06-01,2015-06-05,2016-06-01,2016-06-05,2017-06-01,2017-06-05,2018-06-01,2018-06-05,2019-06-01,2019-06-05,2020-06-01,2020-06-05,2021-06-01,2021-06-05,2022-06-01,2022-06-05,2023-06-01,2023-06-05,2024-06-01,2024-06-05,2025-06-01,2025-06-05
