LAMBX;LAMBY;DATE;PRENEI;PRELIQ;T;FF;Q;DLI;SSI;HU;EVAP;ETP;PE;SWI;SSWI_10J;DRAINC;RUNC;RESR_NEIGE;RESR_NEIGE6;HTEURNEIGE;HTEURNEIGE6;HTEURNEIGEX;SNOW_FRAC;ECOULEMENT;WG_RACINE;WGI_RACINE;TINF_H;TSUP_H
804000;2105000;20100101;0,3;4,2;3,6;1,8;4,794;2853,9;94,8;93,6;0,6;0,1;3,9;1,023;0,368;2,3;0,7;0;0;0;0;0,001;0;0,3;0,341;0;1,4;5,7
804000;2105000;20100102;0;0;-0,9;1,4;2,854;2121,7;641,2;79;0,6;0,6;-0,6;1,016;0,432;2,3;0;0;0,1;0;0;0;0;0,1;0,341;0,001;-1,1;1,4
804000;2105000;20100103;3,7;0;-2,8;0,6;2,77;2242,2;97,6;87,9;0,1;0,2;3,6;1,004;0,436;2,3;0;0,4;0;0,004;0;0;0,1;0;0,334;0,006;-5,1;-0,5
804000;2105000;20100104;1,2;0;-2,9;1,7;2,919;2652,9;62,4;92,8;0,1;0,2;1,1;0,994;0,445;2,2;0;4,4;3,7;0,037;0,032;0,038;0,8;0;0,329;0,01;-3,3;-2,5
804000;2105000;20100105;0,8;0;-3,2;1;2,787;2479,9;403,4;90,8;0;0,3;0,8;0,985;0,465;2;0;4,9;4,7;0,041;0,04;0,042;0,9;0;0,327;0,01;-4,2;-2,7
804000;2105000;20100106;0;0;-2,3;0,6;2,925;2220,2;468,1;88,8;0;0,2;0;0,977;0,48;1,9;0;5,3;5,5;0,043;0,045;0,045;0,9;0,3;0,326;0,01;-3,1;-0,1
804000;2105000;20100107;0;0;-2,5;1,2;2,837;2167,8;287,5;87,6;-0,1;0,3;0,1;0,97;0,482;1,7;0;5,2;5,2;0,042;0,042;0,042;0,8;0;0,323;0,012;-5,7;1,3
804000;2105000;20100108;4;0,1;-2,2;4;2,996;2499,5;108,9;90,3;0,1;0,3;4;0,962;0,447;1,6;0;7,6;5,2;0,056;0,042;0,067;0,9;0;0,32;0,014;-2,5;-1,5
804000;2105000;20100109;7,1;0;-4,8;2,7;2,404;2434,8;114,2;88,2;0,1;0,2;7;0,955;0,391;1,5;0;11,9;9,3;0,088;0,067;0,105;0,9;0;0,318;0,014;-5,1;-4,7
804000;2105000;20100110;0,8;0;-4,3;0,5;2,461;2407,8;229,1;87,1;0;0,3;0,8;0,949;0,307;1,4;0;17;16,3;0,131;0,127;0,133;0,9;0;0,316;0,015;-4,8;-1,4
804000;2105000;20100111;0,2;0;-6,5;0,6;2,112;2206,8;617,4;87;0;0,3;0,2;0,942;0,198;1,3;0;17,1;17;0,127;0,129;0,129;0,9;0;0,315;0,016;-12;-3,3
804000;2105000;20100112;1,6;5,2;-2,2;2;2,947;2563,6;525,7;88;0,1;0,7;6,7;0,938;0,067;1,3;1,8;17,6;17,2;0,123;0,126;0,128;0,9;4,8;0,314;0,016;-4,5;2
804000;2105000;20100113;0;3;1,8;2,7;4,269;2807,1;116,2;96,3;0;0,1;3;0,964;-0,032;1,3;2,9;15,1;18,6;0,083;0,115;0,13;0,9;7,7;0,316;0,014;0,2;2,4
804000;2105000;20100114;0,9;10,6;0,3;0,8;3,897;2666,6;68;97,7;0;0;11,5;0,967;-0,085;1,3;5,7;13,7;13,7;0,069;0,071;0,072;0,8;9,9;0,321;0,013;-2,3;1,9
804000;2105000;20100115;0;0;2;1,2;4,338;2768,1;241,3;96,8;0;0,3;0;0,989;-0,079;1,6;0,7;11,8;13,5;0,054;0,065;0,071;0,8;3,4;0,325;0,012;0,6;3,7
804000;2105000;20100116;0;11,9;4;3,5;4,696;2787,7;186,2;90,3;-0,1;0,3;12;1,007;-0,048;1,8;5,2;6,9;10,2;0,029;0,044;0,048;0,8;17,1;0,328;0,009;0,3;6,1
804000;2105000;20100117;0;0,9;5,1;1,8;4,916;2742,5;509,9;87,6;0,1;0,7;0,8;1,054;0,04;2,4;0,6;0,2;2,2;0,001;0,009;0,02;0,1;2,6;0,339;0,007;2,2;8,9
804000;2105000;20100118;0;0;2,4;1,3;4,128;2523,5;708,2;89,8;0,7;0,8;-0,7;1,042;0,128;2,6;0;0;0;0;0;0;0;0;0,345;0,001;-0,4;8,6
804000;2105000;20100119;0;0,4;-1,5;0,6;3,444;2728,8;376;98,4;0,4;0,4;0;1,029;0,217;2,8;0;0;0;0;0;0;0;0;0,343;0;-3;-0,2
