"LAMBX";"LAMBY";"DATE";"PRENEI";"PRELIQ";"T";"FF";"Q";"DLI";"SSI";"HU";"EVAP";"ETP";"PE";"SWI";"SSWI_10J";"DRAINC";"RUNC";"RESR_NEIGE";"RESR_NEIGE6";"HTEURNEIGE";"HTEURNEIGE6";"HTEURNEIGEX";"SNOW_FRAC";"ECOULEMENT";"WG_RACINE";"WGI_RACINE";"TINF_H";"TSUP_H"
7960;21050;20100101;0,3;4,2;3,8;1,9;4,848;2863,7;93,5;93,6;0,6;0,2;3,9;0,999;0,315;2,3;0,7;0;0;0;0;0,001;0;0,3;0,333;0;1,7;5,8
7960;21050;20100102;0;0;-0,8;1,4;2,888;2138;641,8;79,1;0,7;0,6;-0,7;0,991;0,382;2,3;0;0;0,1;0;0;0;0;0;0,333;0,001;-1;1,5
7960;21050;20100103;3,7;0;-2,7;0,6;2,791;2253,3;97,9;87,7;0,1;0,2;3,6;0,98;0,389;2,2;0;0,4;0;0,004;0;0;0,1;0;0,326;0,005;-4,8;-0,4
7960;21050;20100104;1,1;0;-2,7;1,7;2,948;2655;62,5;92,7;0,1;0,2;1;0,971;0,399;2;0;4,3;3,6;0,037;0,031;0,037;0,9;0;0,321;0,009;-3,1;-2,3
7960;21050;20100105;0,8;0;-3;1;2,809;2507,9;403,6;90,6;0;0,4;0,8;0,962;0,419;1,9;0;4,8;4,7;0,04;0,039;0,041;0,9;0;0,32;0,009;-4;-2,5
7960;21050;20100106;0;0;-2,1;0,6;2,947;2252,5;468,5;88,7;0;0,3;0;0,955;0,44;1,8;0,1;5,1;5,3;0,041;0,044;0,044;0,9;0,4;0,319;0,009;-2,8;0,1
7960;21050;20100107;0;0;-2,4;1,3;2,852;2204,2;287,7;87,8;-0,1;0,3;0,1;0,948;0,439;1,7;0;5;5;0,04;0,04;0,04;0,9;0;0,316;0,01;-5,7;1,2
7960;21050;20100108;3,8;0,3;-1,9;4,1;3,049;2518,9;108,1;90,4;0,1;0,3;4;0,941;0,412;1,6;0;7,3;5;0,053;0,04;0,064;0,9;0;0,313;0,012;-2,2;-1,3
7960;21050;20100109;7;0;-4,4;2,8;2,466;2449,4;113,8;88,4;0,1;0,2;6,9;0,934;0,36;1,5;0;11,6;9;0,085;0,063;0,101;0,9;0;0,312;0,012;-4,8;-4,4
7960;21050;20100110;0,8;0;-4;0,5;2,523;2428,2;228,9;87,4;0;0,3;0,8;0,928;0,282;1,4;0;16,6;15,9;0,127;0,123;0,129;0,9;0;0,311;0,013;-4,5;-1,1
7960;21050;20100111;0,2;0;-6,3;0,6;2,145;2235,2;617,9;87;0;0,3;0,2;0,922;0,172;1,3;0;16,7;16,6;0,123;0,125;0,126;0,9;0;0,309;0,013;-11,8;-3
7960;21050;20100112;1,5;5,2;-2;2,1;2,965;2569,9;526,1;87,8;0,1;0,8;6,6;0,919;0,061;1,2;1,6;17,2;16,8;0,119;0,122;0,123;0,9;5,1;0,308;0,013;-4,3;2,2
7960;21050;20100113;0;3;1,9;2,7;4,305;2822,9;114,7;96,4;0;0,1;3;0,946;-0,021;1,4;2,8;14,1;17,9;0,077;0,109;0,124;0,9;8,1;0,311;0,012;0,3;2,6
7960;21050;20100114;0,8;10,5;0,5;0,8;3,929;2675,1;68,1;97,5;0;0;11,3;0,951;-0,072;1,4;3,4;12,4;12,5;0,061;0,063;0,064;0,8;9,5;0,316;0,011;-2;2,1
7960;21050;20100115;0;0;2,2;1,2;4,383;2784,9;241,5;96,7;0;0,3;0;0,982;-0,05;1,9;0,6;10,4;12,3;0,047;0,058;0,063;0,8;3,9;0,321;0,009;0,8;3,9
7960;21050;20100116;0;11,8;4,2;3,6;4,716;2792,4;186,3;89,7;-0,1;0,3;11,9;1,002;-0,001;2,3;3,8;4,6;8,4;0,019;0,036;0,04;0,7;14,1;0,325;0,007;0,5;6,3
7960;21050;20100117;0;0,9;5,3;1,8;4,963;2756,1;510,3;87,5;0,3;0,8;0,6;1,042;0,11;2,9;0,2;0;0,1;0;0;0,009;0;0,1;0,337;0,004;2,4;9,2
7960;21050;20100118;0;0;2,6;1,3;4,167;2544,4;708,7;89,7;0,7;0,8;-0,7;1,028;0,22;2,9;0;0;0;0;0;0;0;0;0,339;0;-0,3;8,9
7960;21050;20100119;0;0,4;-1,3;0,6;3,451;2743,8;376,3;98;0,4;0,4;0;1,013;0,332;3;0;0;0;0;0;0;0;0;0,337;0;-2,8;-0,1
7960;21050;20100120;0;5;0,6;1,2;4,034;2784;131,2;98,9;0,2;0,2;4,8;1,009;0,444;2,9;0,8;0;0;0;0;0;0;0;0,334;0;-1,7;2,7
7960;21050;20100121;0;0;2;0,7;4,235;2544,1;515,2;94;0,5;0,5;-0,5;1,005;0,568;2,8;0;0;0;0;0;0;0;0;0,336;0;1,3;5,7
7960;21050;20100122;0;0;-0,5;0,2;3,698;2877,7;238,1;98,5;0,4;0,4;-0,4;0,991;0,681;2,6;0;0;0;0;0;0;0;0;0,333;0;-1,8;0,4
7960;21050;20100123;0;0;1,5;0,8;4,035;2802,8;345,5;93,2;0,4;0,5;-0,4;0,979;0,72;2,4;0;0;0;0;0;0;0;0;0,332;0;-0,6;3,6
7960;21050;20100124;0;3,7;3,4;0,6;4,569;2477,4;341,7;92,4;0;0,2;3,7;0,97;0,731;2,3;0,5;0;0;0;0;0;0;0;0,33;0;0,7;6,8
7960;21050;20100125;0;0,1;2,9;2,2;4,283;2683,5;334,9;89,7;0,4;0,5;-0,3;0,971;0,69;2,1;0;0;0;0;0;0;0;0;0,33;0;2;4,4
7960;21050;20100126;0;0;0,4;3,9;3,425;2503;389,8;85,7;0,6;0,6;-0,6;0,96;0,621;2;0;0;0;0;0;0;0;0;0,329;0;0,4;1
7960;21050;20100127;0;0;-3;1,7;2,568;2440,7;530,9;82,9;0,5;0,5;-0,5;0,949;0,495;1,9;0;0;0;0;0;0;0;0;0,324;0,003;-4,2;-2,5
7960;21050;20100128;1,1;0;-2;0,6;3,12;2540,1;96,1;92,5;0;0,1;1,1;0,94;0,38;1,8;0;1,1;0;0,009;0;0,01;0,7;0;0,319;0,006;-3;-1
7960;21050;20100129;1,2;3,7;0,7;2,4;3,839;2683,9;109,2;94,1;0;0,2;4,9;0,942;0,3;1,6;0,8;0,9;1,1;0,006;0,009;0,015;0,5;3,9;0,316;0,008;-1,2;2,7
7960;21050;20100130;1,3;0;-0,3;1,4;3,295;2509,5;272,4;86,3;0,3;0,3;1;0,948;0,246;1,5;0;0,3;0,1;0,002;0,001;0,004;0,2;0,3;0,321;0,006;-0,6;0,3
7960;21050;20100131;0;0;-3,7;1,3;2,523;2088,8;654;86;0;0,4;0;0,941;0,198;1,5;0;1;1,1;0,008;0,009;0,009;0,7;0,1;0,317;0,009;-6,4;1
7960;21050;20100201;1,9;0;-3,6;1,1;2,617;2121,9;530,2;87;0;0,1;1,9;0,935;0,163;1,4;0;1,2;0,9;0,009;0,008;0,008;0,7;0;0,31;0,014;-8,5;-0,4
