"Saison_Hydro","Categorie","Remplissage_20Mars","Remplissage_1Sept","Pluie_Totale_mm","Vol_Pluie_BV_m3","Coef_Écoulement","Coef_Évaporation","Coef_Captage","Scenario","Modele_Meteo","Modele_Meteo_Desc"
2026,"1. Étang de Tête",95.17463533389399,78.87207748670018,982.67904,9551640.2688,0.08082654347315896,0.19025233762504318,0.38560864183272353,"1. Aléatoire (Taille)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2026,"2. Étang de Milieu",87.14832030390322,82.9114778400016,982.67904,9551640.2688,0.08082654347315896,0.19025233762504318,0.38560864183272353,"1. Aléatoire (Taille)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2026,"3. Étang Exutoire",100,81.13235952006771,982.67904,9551640.2688,0.08082654347315896,0.19025233762504318,0.38560864183272353,"1. Aléatoire (Taille)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2027,"1. Étang de Tête",18.62680711634702,0,965.68416,9386450.0352,0.1238475893261326,0.2048086109504788,0.33315602531691285,"1. Aléatoire (Taille)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2027,"2. Étang de Milieu",47.483997056255554,16.728390179390303,965.68416,9386450.0352,0.1238475893261326,0.2048086109504788,0.33315602531691285,"1. Aléatoire (Taille)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2027,"3. Étang Exutoire",33.336504575799616,2.4265479613224494,965.68416,9386450.0352,0.1238475893261326,0.2048086109504788,0.33315602531691285,"1. Aléatoire (Taille)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2028,"1. Étang de Tête",33.208378193065684,37.724457293829,1124.6515200000001,10931612.774400001,0.08421989499596524,0.160743536045745,0.3646149723519125,"1. Aléatoire (Taille)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2028,"2. Étang de Milieu",57.046094825156054,55.862147500162465,1124.6515200000001,10931612.774400001,0.08421989499596524,0.160743536045745,0.3646149723519125,"1. Aléatoire (Taille)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2028,"3. Étang Exutoire",97.54640189378027,85.42402861897858,1124.6515200000001,10931612.774400001,0.08421989499596524,0.160743536045745,0.3646149723519125,"1. Aléatoire (Taille)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2029,"1. Étang de Tête",27.830489262190817,10.793642930818326,966.384,9393252.48,0.14117337645645345,0.13471435261522902,0.3638796547646788,"1. Aléatoire (Taille)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2029,"2. Étang de Milieu",47.6704921612363,32.08053106078659,966.384,9393252.48,0.14117337645645345,0.13471435261522902,0.3638796547646788,"1. Aléatoire (Taille)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2029,"3. Étang Exutoire",99.45961978214555,71.20582413311475,966.384,9393252.48,0.14117337645645345,0.13471435261522902,0.3638796547646788,"1. Aléatoire (Taille)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2030,"1. Étang de Tête",55.1082601291387,33.50102240237295,1098.99936,10682273.7792,0.12161599505417867,0.12083828855873298,0.3772735661759633,"1. Aléatoire (Taille)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2030,"2. Étang de Milieu",58.05719020038309,41.95215425777793,1098.99936,10682273.7792,0.12161599505417867,0.12083828855873298,0.3772735661759633,"1. Aléatoire (Taille)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2030,"3. Étang Exutoire",99.51501152691358,74.58273926402698,1098.99936,10682273.7792,0.12161599505417867,0.12083828855873298,0.3772735661759633,"1. Aléatoire (Taille)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2031,"1. Étang de Tête",59.43149853900056,64.02499589773967,1544.7456,15014927.231999999,0.1137294029398514,0.09601600541947906,0.3811531159973804,"1. Aléatoire (Taille)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2031,"2. Étang de Milieu",71.72006410885966,70.59881673397756,1544.7456,15014927.231999999,0.1137294029398514,0.09601600541947906,0.3811531159973804,"1. Aléatoire (Taille)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2031,"3. Étang Exutoire",0,0,1544.7456,15014927.231999999,0.1137294029398514,0.09601600541947906,0.3811531159973804,"1. Aléatoire (Taille)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
2032,"1. Étang de Tête",24.931559971040382,22.88314620421665,954.77184,9280382.2848,0.193205524527882,0.1570547497860559,0.37568780801547597,"1. Aléatoire (Taille)","CNRM-CM5  ALADIN63","CNRM-CM5 (Modéré)"
