Type_OS;Code_OS;CN sol C Fav;CN sol C Defav;CN sol D Fav;CN sol D Defav
batis denses;1;97,91;97,91;97,91;97,91
batis diffus;2;84,03;86,94;88,39;91,25
zones ind et com;3;97,91;97,91;97,91;97,91
routes;4;97,91;97,91;97,91;97,91
colza;5;76,72;78,18;82,57;84,03
cereales pailles;6;76,72;78,18;82,57;84,03
protéagineux;7;76,72;78,18;82,57;84,03
soja;8;79,64;84,03;85,49;88,39
tournesol;9;79,64;84,03;85,49;88,39
maïs;10;79,64;84,03;85,49;88,39
riz;11;79,64;84,03;85,49;88,39
tubercules racines;12;76,72;78,18;82,57;84,03
prairies;13;63,93;79,64;72,38;84,03
vergers;14;79,64;84,03;85,49;88,39
vignes;15;79,64;84,03;85,49;88,39
forets feuillus;16;58,51;62,55;68,11;70,95
forets coniferes;17;58,51;62,55;68,11;70,95
pelouses;18;63,93;79,64;72,38;84,03
landes ligneuses;19;52,03;58,51;62,55;68,11
